gene,log2FC,p_value_neg,p_value_pos,p_value_twosided,fdr_neg,fdr_pos,fdr_twosided
RPS19,-2.089832763656245,3.1110951210314447e-29,0.985892913114658,0.985892913114658,3.214798291732493e-28,1,1
NUP93,-1.73716524462602,1.04877395859161e-25,0.8653912490496695,0.8653912490496695,5.418665452723319e-25,1,1
PSMD11,-1.6247486598704797,3.1305997736116827e-30,1,1,4.159225413512664e-29,1,1
RPS3A,-1.480103956099982,8.778639092390312e-18,0.9999999999999905,0.9999999999999905,2.3459854910133315e-17,1,1
PSMB3,-0.8214203937801224,5.140806144583297e-16,2.6082564387230244e-4,2.6082564387230244e-4,1.2921485714763423e-15,4.4103245236589317e-4,4.4103245236589317e-4
POLR2A,-1.7250506567013204,1.45908171890669e-28,0.27995894388923787,0.27995894388923787,1.3569459985832217e-27,0.3885997280850615,0.3885997280850615
RPS8,-1.7447497186111665,1.8595337528815644e-25,0.2503229072927952,0.2503229072927952,8.646831950899275e-25,0.35815431351123006,0.35815431351123006
RPL36,-1.6395727254584416,3.1276074414107995e-26,0.22285829513754993,0.22285829513754993,1.9391166136746957e-25,0.32384096012175223,0.32384096012175223
RPS13,-2.148651468783254,5.008709445693434e-32,1,1,9.316199568989788e-31,1,1
RPS11,-0.9888846658204139,5.337516572001118e-20,0.2785662291859924,0.2785662291859924,1.7129768923967658e-19,0.3885997280850615,0.3885997280850615
PSMC1,-1.2531381263703911,1.0805871463825482e-27,0.1980389705480172,0.1980389705480172,7.666221497664788e-27,0.2923432422375492,0.2923432422375492
RPS9,-1.4552944243739507,5.785112390537082e-16,0.010780627765625552,0.010780627765625552,1.4158301376840751e-15,0.016709973036719606,0.016709973036719606
COPB1,-1.5764905113783285,2.989972718141176e-24,0.532136121681144,0.532136121681144,1.2639430126687698e-23,0.706980847376377,0.706980847376377
RPL5,-0.9321909911022608,6.662548748252303e-20,0.0017922961406915546,0.0017922961406915546,2.065390111958214e-19,0.0028738541566261135,0.0028738541566261135
RPL11,-2.1188107564655447,1.0501405036140145e-32,1,1,2.4415766709025837e-31,1,1
PSMB2,-1.7692233316470574,3.874054066233242e-65,0.8000470547618507,0.8000470547618507,3.6028702815969144e-63,1,1
COPZ1,-0.8095182909785895,1.9151841603642215e-21,5.1898854348328415e-5,5.1898854348328415e-5,7.124485076554904e-21,9.106780102631212e-5,9.106780102631212e-5
