sgRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RPS19-10,5189.760160391351,-3.0812548687379056,0.058213265654657,-52.93045896131423,0,0
NUP93-4,4426.2879834699215,-3.733218432661201,0.14315539251528042,-26.078084569973267,6.463460202342038e-150,4.50100380757297e-149
PSMD11-2,5017.916518208202,-3.082418331467549,0.13179393885914473,-23.388164570769035,5.639717334153483e-121,3.0794138398417598e-120
RPS3A-3,4881.963395072666,-2.6702146503062782,0.04524882130979091,-59.011805678317174,0,0
PSMB3-3,3622.9448396628054,-3.6906639985183665,0.18115004080256733,-20.37352010613547,2.87268056904597e-92,1.3272336667563352e-91
POLR2A-5,3928.639608931021,-3.2445760822977636,0.06448617678179275,-50.314288181119906,0,0
RPS8-8,3599.591792416083,-3.3602144709918487,0.06914742064159042,-48.59493586042405,0,0
RPL36-3,2878.2967690768173,-4.387715032640346,0.07567510995131449,-57.98095351910526,0,0
RPS13-4,2700.185272443264,-4.67588990187292,0.08248769285784163,-56.68590961722371,0,0
RPS11-2,5439.062428182856,-2.1007541469943867,0.057423411426397016,-36.58358315557493,5.217494254269922e-293,9.642330727602683e-292
NUP93-7,4280.423879248683,-2.4920919953739142,0.0752666007621207,-33.11019722081172,2.1197529666752534e-240,2.869130423908336e-239
PSMC1-10,3553.4457845153147,-2.8496132567707444,0.06561545499190205,-43.42899484766859,0,0
RPS9-10,3557.3421956259854,-2.820968743028473,0.05560952405182117,-50.72815837085174,0,0
COPB1-3,3248.588686455698,-3.044754673347647,0.1575950645238263,-19.32011438649667,3.638433837452634e-83,1.554015519018658e-82
PSMC1-6,4206.554428183646,-2.3861546499461883,0.04400833650796109,-54.220514549886104,0,0
PSMC1-9,4291.368737203829,-2.3310381126998534,0.04968319678450576,-46.918037959804,0,0
RPL5-6,3908.935789457644,-2.5216240985127714,0.0530277618500462,-47.552904564282954,0,0
RPL11-2,3544.294474770048,-2.7338175036388206,0.06202755216502396,-44.074244560957595,0,0
PSMB2-1,3213.126389505395,-3.013423541178923,0.07076578634628154,-42.583057389247344,0,0
RPS11-10,2871.887646063989,-3.4064061089154913,0.10077685656741904,-33.80147213300535,1.8763811931521885e-250,2.7321247373018987e-249
PSMB2-13,3074.4056383701327,-3.1185964495773746,0.07542672429060542,-41.346041193065616,0,0
NUP93-1,3967.0423675626957,-2.4029552389342594,0.07763978920983292,-30.9500484659988,2.536822601107851e-210,2.7703255905280053e-209
COPZ1-18,4801.383905746155,-2.0654193004106296,0.048261433037246566,-42.79647682273769,0,0
RPS8-7,2812.2653899436295,-3.3454180990429596,0.07565710846514816,-44.21815962718221,0,0
PSMC1-8,3764.5242087450083,-2.4709815612749755,0.06027539985408112,-40.99485971485713,0,0
PSMD6-7,3105.7530317636015,-2.9426563808562656,0.06415240899135136,-45.86977211179984,0,0
COPA-8,2724.495524814875,-3.3936728558270275,0.07790027074651636,-43.56432684130036,0,0
RPL18A-6,2912.7612460130576,-3.0952537772978785,0.17672311025704918,-17.51470859015404,1.1065109512123306e-68,4.305089166457691e-68
RPL5-5,3612.1617247074882,-2.485562454209892,0.05407321241255429,-45.9666134729738,0,0
POLR2F-2,3721.1471947377227,-2.4072682811705817,0.07006644008162238,-34.35693719227474,1.1095412972555186e-258,1.6404141333270052e-257
PSMB3-9,2923.178323009858,-3.0244695762068052,0.08389472185063017,-36.05077303422858,1.3411944660361715e-284,2.3434325124741106e-283
POLR2D-9,2554.107663602355,-3.5734133101900794,0.08468803263905535,-42.195020935486205,0,0
PSMB2-2,2209.625330995249,-4.545395822708624,0.09621087064715975,-47.244098220233795,0,0
PSMA3-6,2846.5108084627946,-3.0768506547489696,0.1884855677004877,-16.32406497901329,6.655256445858165e-60,2.4043990392743225e-59
