id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,twosided.p.value
PSMD6,19,1.1993e-7,4.992e-6,2.32e-4,1,18,-1.5682,0.99997,1,0.999995,91,1,-1.5682,9.984e-6
NUP98,16,1.328e-6,1.4976e-5,4.64e-4,2,16,-0.74642,1,1,0.999995,93,0,-0.74642,2.9952e-5
PSMB2,24,1.8956e-6,4.992e-6,2.32e-4,3,21,-2.331,0.98322,0.99921,0.999995,71,3,-2.331,9.984e-6
RPS13,10,1.365e-5,9.4847e-5,0.002205,4,10,-2.2568,0.99999,1,0.999995,92,0,-2.2568,1.89694e-4
PSMD11,10,3.2112e-5,2.4461e-4,0.003946,5,10,-1.6795,0.99997,0.99995,0.999995,90,0,-1.6795,4.8922e-4
PSMC4,10,3.4043e-5,2.5459e-4,0.003946,6,10,-1.4636,0.99997,0.99995,0.999995,89,0,-1.4636,5.0918e-4
RPL3,11,6.9577e-5,5.1417e-4,0.006289,7,11,-0.66743,0.99993,0.99992,0.999995,88,0,-0.66743,0.00102834
RPL11,10,7.2552e-5,5.5411e-4,0.006289,8,10,-2.4754,0.99993,0.99992,0.999995,87,0,-2.4754,0.00110822
PSMC1,10,7.8418e-5,6.3398e-4,0.006289,9,9,-1.8538,0.99107,0.99612,0.999995,74,1,-1.8538,0.00126796
PSMD7,10,9.9789e-5,7.3382e-4,0.006289,10,10,-2.0191,0.9999,0.99988,0.999995,86,0,-2.0191,0.00146764
COPB1,10,1.0014e-4,7.438e-4,0.006289,11,9,-1.7775,0.9074,0.97416,0.999995,62,1,-1.7775,0.0014876
COPS4,10,1.2056e-4,8.9356e-4,0.006607,12,9,-1.923,0.92316,0.97882,0.999995,65,1,-1.923,0.00178712
NUP205,10,1.325e-4,9.2351e-4,0.006607,13,10,-1.2108,0.99987,0.99983,0.999995,85,0,-1.2108,0.00184702
RPL18A,8,1.6489e-4,0.0010333,0.006864,14,8,-2.0755,0.99984,0.99979,0.999995,84,0,-2.0755,0.0020666
POLR2F,10,1.8795e-4,0.0013628,0.008449,15,10,-1.3668,0.99981,0.99977,0.999995,83,0,-1.3668,0.0027256
POLR2D,10,2.1924e-4,0.0015924,0.008821,16,10,-2.307,0.99969,0.99964,0.999995,79,0,-2.307,0.0031848
RPS19,10,2.2285e-4,0.0016124,0.008821,17,10,-2.4228,0.99978,0.99974,0.999995,81,0,-2.4228,0.0032248
RPS8,10,2.5729e-4,0.0017921,0.009259,18,10,-2.3043,0.99974,0.99969,0.999995,80,0,-2.3043,0.0035842
