Gene,pos.pvalue,pos.fdr,neg.pvalue,neg.fdr,p.value.twosides
ABCG8,0.005232804938964719,0.018717340743219957,0.999153610716531,0.9999999983423613,0.010465609877929438
ADH7,0.0012180795420067003,0.006293410967034618,0.999887241731364,0.9999999983423613,0.0024361590840134006
CABP5,1.6941536003167723e-4,0.0012119714217650756,0.9999168424637721,0.9999999983423613,3.3883072006335446e-4
COPA,0.9999971459898086,0.9999999944099812,5.535008805979125e-5,3.676827278257562e-4,1.107001761195825e-4
COPB1,0.9999858707972881,0.9999999944099812,2.7333316025535126e-4,0.0014952931708086864,5.466663205107025e-4
COPS2,0.9938140206277528,0.9999999944099812,0.04124770430227154,0.11282460294444861,0.08249540860454307
COPS4,0.9999963598688313,0.9999999944099812,5.2151628289642815e-5,3.676827278257562e-4,1.0430325657928563e-4
COPS6,0.9980323862253928,0.9999999944099812,0.017579744184950563,0.05273923255485169,0.035159488369901126
COPS8,0.9285766501875715,0.9999999944099812,0.25006488210266054,0.5408380008266844,0.5001297642053211
COPZ1,0.9796399002426027,0.9999999944099812,0.10287847979436737,0.23335850294819915,0.20575695958873474
CRYGB,9.920055482135481e-4,0.005426853881403528,0.999938725517202,0.9999999983423613,0.0019840110964270963
CYP7A1,0.021318707090809852,0.06395612127242956,0.9933035498795336,0.9999999983423613,0.042637414181619704
DEFB129,4.394467343250552e-4,0.0029191818780164385,0.9999676516297397,0.9999999983423613,8.788934686501104e-4
DMRTB1,0.30247548420812564,0.6541911635198996,0.9009123151972358,0.9999999983423613,0.6049509684162513
DMRTC2,0.35330221538633244,0.7467524097938391,0.8772332221023714,0.9999999983423613,0.7066044307726649
FAM71B,7.741668574312577e-6,1.4399503548221393e-4,0.9999989786321042,0.9999999983423613,1.5483337148625154e-5
FCRL4,0.04317667857737639,0.11153975299155569,0.9902378647808918,0.9999999983423613,0.08635335715475279
HTR3D,0.0719827880861238,0.17165126389767982,0.9707051178987084,0.9999999983423613,0.1439655761722476
IL1F10,0.6429168679444237,0.9999999944099812,0.6607140980320958,0.9999999983423613,1
IL22,0.009121627792555542,0.03029683516813091,0.9984527985297275,0.9999999983423613,0.018243255585111084
KRT25,0.0673014336541764,0.16471140341680013,0.9807069728248642,0.9999999983423613,0.1346028673083528
KRT74,0.09751145584820498,0.2211845218020259,0.9797646448795515,0.9999999983423613,0.19502291169640995
KRT77,0.0018243886442045332,0.00848340719555108,0.9997895343868721,0.9999999983423613,0.0036487772884090663
KRT9,0.03617650714323417,0.09612614755202223,0.9860205666439583,0.9999999983423613,0.07235301428646834
LHX5,0.009713911779935414,0.03115151019082736,0.9987458938751286,0.9999999983423613,0.019427823559870827
LUZP4,0.002363207855982097,0.009989924118469773,0.9995281416458618,0.9999999983423613,0.004726415711964194
LYZL6,0.6154644308639541,0.9999999944099812,0.6910934811674612,0.9999999983423613,1
MAGEB3,1.6111041164978968e-4,0.0012119714217650756,0.9999475092838029,0.9999999983423613,3.2222082329957935e-4
MRGPRD,0.4621368340881601,0.9550827904488642,0.8110681795695609,0.9999999983423613,0.9242736681763202
NLRP5,0,0,0.999999994391902,0.9999999983423613,0
NPHS2,0.001531107771731044,0.0074943696195256355,0.9998453872126182,0.9999999983423613,0.003062215543462088
NPSR1,4.892759550187975e-4,0.0030335109211165447,0.9999251800653504,0.9999999983423613,9.78551910037595e-4
NUP133,0.999644855960068,0.9999999944099812,0.004454351230518627,0.015932871709162782,0.008908702461037254
NUP205,0.998868517804008,0.9999999944099812,0.011340534260154134,0.03636792021359774,0.022681068520308267
NUP54,0.997417019617526,0.9999999944099812,0.021814997231699884,0.06147862856206331,0.04362999446339977
NUP93,0.9999996430091023,0.9999999944099812,1.1343851262890503e-5,1.0549781674488168e-4,2.2687702525781006e-5
NUP98,0.9909107114296435,0.9999999944099812,0.057228474921932504,0.14005916230894006,0.11445694984386501
OC90,0.223778833114591,0.49551027332516584,0.9312064720684726,0.9999999983423613,0.447557666229182
OLIG2,0.0025012463905872417,0.010113735405417977,0.9997972659781302,0.9999999983423613,0.0050024927811744835
OR12D2,0.00721178594236338,0.02484059602369609,0.9988969055170723,0.9999999983423613,0.01442357188472676
OR52E8,0,0,0.9999999983423613,0.9999999983423613,0
OR9Q2,0.028253862763058968,0.07728262461660247,0.9953811326828623,0.9999999983423613,0.056507725526117936
OTUD6A,0.004072625679256259,0.015150167526833283,0.9946546429894422,0.9999999983423613,0.008145251358512517
PIWIL3,0.0958306183350417,0.2211845218020259,0.9726111106427566,0.9999999983423613,0.1916612366700834
PLA2G2E,1.5776770600683943e-4,0.0012119714217650756,0.9999330515802055,0.9999999983423613,3.1553541201367885e-4
POLA1,0.9990414601466703,0.9999999944099812,0.00943248026670751,0.03248965425199254,0.01886496053341502
POLR2A,0.9998754394323062,0.9999999944099812,0.0017919327650420813,0.00793570224518636,0.0035838655300841626
POLR2D,0.999999793062702,0.9999999944099812,4.271902791952442e-6,5.675527995022531e-5,8.543805583904884e-6
POLR2F,0.9996447386112602,0.9999999944099812,0.004427209738981808,0.015932871709162782,0.008854419477963615
POU4F2,0,0,0.9999529703946151,0.9999999983423613,0
PSMA3,0.9988120030058998,0.9999999944099812,0.011832592661935148,0.03668103725199896,0.023665185323870297
PSMB2,0.9999999290515768,0.9999999944099812,2.706149257791779e-6,4.1945313495772574e-5,5.412298515583558e-6
PSMB3,0.9880033823311498,0.9999999944099812,0.0707891748228382,0.168804955346768,0.1415783496456764
PSMC1,0.9999932231132023,0.9999999944099812,9.774602120682374e-5,6.060253314823073e-4,1.9549204241364748e-4
PSMC2,0.9997461349718726,0.9999999944099812,0.0032583862095157956,0.012626246561873708,0.006516772419031591
PSMC4,0.9997922087795931,0.9999999944099812,0.002833691341421418,0.011978786125099632,0.005667382682842836
PSMD1,0.9931584708912603,0.9999999944099812,0.04644734886631363,0.12341724127334765,0.09289469773262726
PSMD11,0.9999658966472315,0.9999999944099812,5.027489672558838e-4,0.0025975363308220665,0.0010054979345117676
PSMD6,0.9999036710406882,0.9999999944099812,0.0014846746717879222,0.006903737223813839,0.0029693493435758445
PSMD7,0.9999989863989273,0.9999999944099812,2.91559724493462e-5,2.4650049434447245e-4,5.83119448986924e-5
RNASE9,0.0531917956393364,0.13369829714752124,0.9892371816539987,0.9999999983423613,0.1063835912786728
RPL11,0.9999999867495846,0.9999999944099812,5.397556900321732e-7,1.6732426390997368e-5,1.0795113800643463e-6
RPL18A,0.9999983490458515,0.9999999944099812,3.985966802311225e-5,3.0891242717911993e-4,7.97193360462245e-5
RPL27,0.9158884095521226,0.9999999944099812,0.2768779303747384,0.5852192619284243,0.5537558607494768
RPL3,0.9866970129538004,0.9999999944099812,0.07382465958741136,0.1716423335407314,0.1476493191748227
RPL30,0.97751362519733,0.9999999944099812,0.11018906669978978,0.24399007626382024,0.22037813339957957
RPL34,0.9999999867495846,0.9999999944099812,5.397556900321732e-7,1.6732426390997368e-5,1.0795113800643463e-6
RPL35A,0.9999999553159515,0.9999999944099812,1.8816213988026576e-6,3.4998158017729435e-5,3.763242797605315e-6
RPL36,0.999991922519051,0.9999999944099812,1.723876762165233e-4,0.0010020033680085416,3.447753524330466e-4
RPL5,0.9918710011268295,0.9999999944099812,0.04960874048138564,0.12523745307084713,0.09921748096277128
RPL6,0.9998235675008189,0.9999999944099812,0.0014680437071118435,0.006903737223813839,0.002936087414223687
RPL9,0.9988849009212608,0.9999999944099812,0.010921425616943314,0.03627473508484744,0.02184285123388663
RPS11,0.9974476171082806,0.9999999944099812,0.02152485415646921,0.06147862856206331,0.04304970831293842
RPS13,0.9999998492590495,0.9999999944099812,5.026085486137255e-6,5.842824377634559e-5,1.005217097227451e-5
RPS19,0.9999999552918848,0.9999999944099812,1.4532117652565901e-6,3.378717354221572e-5,2.9064235305131803e-6
RPS24,0.9001983140324887,0.9999999944099812,0.29975702027032214,0.6194978418919992,0.5995140405406443
RPS27,0.9922736626837071,0.9999999944099812,0.049825653372272516,0.12523745307084713,0.09965130674454503
RPS3A,0.9997600824068276,0.9999999944099812,0.003183406577770387,0.012626246561873708,0.006366813155540774
RPS7,0.7272983214936979,0.9999999944099812,0.5650217196464796,0.9999999983423613,1
RPS8,0.9999997931962381,0.9999999944099812,6.131003767340104e-6,6.335370559584774e-5,1.2262007534680208e-5
