sgRNA,gene,counts,control mean,control stdev,fold change,p-value,p-value (adj.),significant
RPS13-4,RPS13,59.7603514036,1301.124802,44.5407473111,0.0459297611664,0.0,0.0,True
RPL36-3,RPL36,85.3262771378,1403.40863625,46.8799138057,0.0607993102891,0.0,0.0,True
PSMB3-3,PSMB3,143.169184111,1704.60397725,53.6326060943,0.0839897043664,0.0,0.0,True
NUP93-4,NUP93,178.961480139,2068.93968059,61.6056885494,0.0864991289103,0.0,0.0,True
POLR2A-5,POLR2A,237.443535256,1823.6620933,56.2576872433,0.130201497376,0.0,0.0,True
PSMD11-2,PSMD11,321.811090179,2317.32979883,66.9555557041,0.138871510797,0.0,0.0,True
RPS19-10,RPS19,333.954904903,2340.20686041,67.4454979535,0.142703156098,0.0,0.0,True
RPS8-8,RPS8,207.72314659,1663.94296347,52.7309804882,0.124837900788,2.2633147236e-320,2.71880866447e-318,True
PSMB2-2,PSMB2,49.8535551817,1066.12289348,39.0450833636,0.0467615464283,1.15559749971e-307,1.23392133024e-305,True
RPS8-7,RPS8,140.93216561,1385.93278257,46.4821606296,0.101687590757,2.12641682372e-305,2.0434865676e-303,True
PSMB2-13,PSMB2,189.826998576,1513.12899088,49.3609503959,0.125453282384,2.06225587694e-298,1.80166172522e-296,True
RPS3A-3,RPS3A,412.889700607,2146.93130563,63.2918469516,0.192316214089,3.68832816245e-297,2.95373613676e-295,True
RPS11-10,RPS11,145.725776685,1299.782186,44.5098554371,0.112115536168,1.18035371321e-279,8.72553783378e-278,True
COPB1-3,COPB1,198.455498512,1458.85306891,48.1370200972,0.136035288777,3.59756490637e-279,2.4694713393e-277,True
COPA-8,COPA,135.499406391,1257.47090194,43.5336519172,0.107755500491,6.94734257641e-277,4.45093081062e-275,True
NUP93-2,NUP93,106.418165869,1148.1004818,40.9841606076,0.0926906377586,1.12464969413e-272,6.75492722539e-271,True
PSMB2-1,PSMB2,200.05336887,1421.70456038,47.295538123,0.140713742113,5.49812984219e-269,3.10806045785e-267,True
RPL11-8,RPL11,40.2663330313,892.279439157,34.8334627657,0.0451274917523,8.49979057947e-267,4.53794374826e-265,True
POLR2D-9,POLR2D,121.118573166,1170.53063784,41.5103118955,0.103473219112,9.46638807031e-266,4.78799943977e-264,True
RPL34-1,RPL34,152.43683219,1263.88232828,43.6819158876,0.120609987796,4.13550346652e-265,1.98710941566e-263,True
RPS9-10,RPS9,270.679238711,1584.30900274,50.9568524124,0.170850028778,2.76376847422e-261,1.26475309701e-259,True
PSMB2-12,PSMB2,73.5020364858,988.67361672,37.1871943487,0.0743440860996,3.13523284212e-259,1.36952670967e-257,True
PSMB3-9,PSMB3,176.404887566,1308.9074152,44.7197151394,0.134772624494,1.40806372112e-258,5.8832575478e-257,True
PSMC1-10,PSMC1,270.040090567,1554.17117277,50.2823651828,0.173751833323,1.20166460893e-254,4.81166537157e-253,True
RPL11-2,RPL11,269.400942424,1548.77081882,50.1613181432,0.173945001514,4.77088601897e-254,1.83392858569e-252,True
PSMD6-7,PSMD6,210.599313235,1379.76236661,46.3415403832,0.152634481365,2.62183822575e-252,9.6907174421e-251,True
PSMA3-6,PSMA3,176.724461638,1278.84054216,44.0273467302,0.138191162863,3.65989033003e-251,1.3026498545e-249,True
RPL5-6,RPL5,322.769812394,1667.65046391,52.8133060165,0.193547640455,1.55517374819e-249,5.33757847147e-248,True
PSMB2-10,PSMB2,175.126591279,1265.73769267,43.7247980548,0.138359308009,1.24977187144e-248,4.14148540847e-247,True
