gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
RPS13,10,10,-2.1564074047113797,-5.433406769675016,5.5288176276778274e-8,1.1177826942913869e-7,0.319910839407845
RPL11,10,10,-2.1315266484100226,-4.553695811619632,5.271156099049126e-6,9.078102170584606e-6,0.4025795663464594
RPS19,10,10,-2.1021762294967345,-4.8221613736798306,1.4201098103162569e-6,2.5896120070472917e-6,0.3681152584633653
RPL35A,7,7,-1.8556985169544078,-2.6376799512291895,0.008347532313301702,0.010082084482299459,0.6500258278045757
PSMB2,24,24,-1.778285967445985,-5.796401728508374,6.7752855712379916e-9,1.4653524607561237e-8,0.27896399623121426
POLR2D,10,10,-1.7517071605339993,-4.462435764692575,8.103322410570103e-6,1.3457303288982494e-5,0.3396270163811153
RPS8,10,10,-1.743655122269089,-3.575274019748364,3.498612629474258e-4,5.0057073006324e-4,0.44395099031509166
NUP93,11,11,-1.7405348436265176,-3.918738402367915,8.901365911359802e-5,1.3797117162607693e-4,0.40145539255126966
POLR2A,10,10,-1.7264246822183542,-3.3448919958033896,8.23146178225975e-4,0.0011094578923915314,0.4751125556016572
RPL18A,8,8,-1.7052497703112974,-4.222566816965357,2.4153576195092172e-5,3.8729010105923654e-5,0.3419248464231
RPL34,7,7,-1.7040346063687721,-3.0084280881374017,0.002626029421491595,0.0033919546694266434,0.5122081184573645
RPL36,10,10,-1.6470984684532073,-3.2173525576238884,0.0012937950695169657,0.0017188991637868258,0.47400581007803966
PSMD11,10,10,-1.6352090375425377,-5.208508857005031,1.9036426612225402e-7,3.688307656118672e-7,0.2576287640233597
COPB1,10,10,-1.5830459363049716,-4.722773881838235,2.326494699620511e-6,4.1608462897059144e-6,0.28501338170155177
PSMD7,10,10,-1.5489799121715062,-4.5710076714203165,4.853845107169106e-6,8.517124433334469e-6,0.291112630979175
COPA,10,10,-1.5196767350382967,-3.7954855075450036,1.4735480326791492e-4,2.210322049018724e-4,0.36032953759466024
COPS4,10,10,-1.503017862372379,-4.467422300409384,7.916775150090212e-6,1.338654707197072e-5,0.290991303373053
RPS3A,6,6,-1.493998345799081,-3.623149087976315,2.9103795638787673e-4,4.2291453037613335e-4,0.347565422703187
RPS9,10,10,-1.456859089247666,-2.738212305237998,0.006177418271247432,0.007559209200342252,0.5024336793592357
PSMC4,10,10,-1.4506044526928639,-4.106357589740222,4.0194707874067e-5,6.335775986929205e-5,0.3124114395039079
PSMD6,19,19,-1.4191831528414427,-6.869995542505396,6.420391038322963e-12,2.3883854662561422e-11,0.17389473784998608
RPL9,10,10,-1.3365229752594636,-2.5514020712681784,0.010729047103101963,0.012501359540918045,0.49804431866736254
RPL6,2,2,-1.2751795046907364,-2.4465790176766595,0.014421918063392193,0.016356565608481387,0.3745946792821246
PSMC1,10,10,-1.2558122423381712,-3.3876020307884622,7.050648722273231e-4,9.642798987814859e-4,0.340558265609716
POLR2F,10,10,-1.0878763413466306,-3.4911920982667377,4.808703722021574e-4,6.775900699212219e-4,0.2848392102906379
PSMC2,14,14,-1.0444608228623715,-3.8146914565367664,1.363531894671487e-4,2.078827314827021e-4,0.254258398529531
POLA1,10,10,-1.0340772390992288,-2.830428042990886,0.004648576638476585,0.0058421300997070595,0.343791662030126
RPS11,10,10,-0.9911327222546287,-2.2361370245646586,0.025342796833708093,0.027728001241586503,0.42576891509398723
NUP205,10,10,-0.9856916994883891,-3.149816676317357,0.0016337294290050374,0.0021399554492601194,0.29061360272365877
COPS6,10,10,-0.9689618247022291,-3.4136743225640918,6.409314108986539e-4,8.896510628891764e-4,0.26043868135437626
NUP133,10,10,-0.9494106263379178,-2.5505970568218688,0.010753857669606919,0.012501359540918045,0.3539116854220505
RPL5,10,10,-0.9343997886335973,-2.365094531291412,0.018025469279411482,0.020197212566087565,0.37798181845892526
NUP54,11,11,-0.9148836064178449,-2.80184753589369,0.005081088037159353,0.006300549166077598,0.30940067035381
RPL3,11,11,-0.8371042021518649,-2.8670263546914305,0.004143485062482734,0.005278686449464305,0.27602746543152895
PSMA3,10,10,-0.8352396177443067,-2.245167016649839,0.02475741266035192,0.02740999258824677,0.3572592753546649
PSMB3,10,10,-0.8231996927899967,-1.7786425029182762,0.07529839118914188,0.07957670887034313,0.4501506024936459
COPZ1,16,16,-0.8185496793871396,-2.6065426151059414,0.00914614420257383,0.010905018087684182,0.3041878365887459
NUP98,16,16,-0.7885116681946597,-4.236279626260126,2.2725374313958176e-5,3.7078242301721235e-5,0.17205631152591758
COPS2,10,10,-0.7366124042128697,-2.1907736945458476,0.028468173116878232,0.030785349998484597,0.3234257779912828
RPL30,10,10,-0.6619861847045017,-1.765957796441066,0.07740292956544666,0.0808817129167027,0.36470488322948513
RPS27,5,5,-0.5735715043778624,-2.103081372745124,0.035458656953930266,0.0379040815714427,0.2522568763989168
PSMD1,12,12,-0.565360261464714,-2.4530785836570383,0.014163939225916923,0.01626230059271943,0.22169965979568174
RPL27,10,10,-0.5152209763616209,-1.2172179669456877,0.22352129597100256,0.2284338519264092,0.41636532968850826
COPS8,16,16,-0.3020166040679426,-1.5029485871010415,0.13285230240068116,0.1372807124807039,0.19830842953439237
RPS24,13,13,-0.19640034394700595,-0.8254527115684365,0.4091146193486591,0.4135615173850576,0.23593104226788272
RPS7,8,8,-0.07623961543478804,-0.32483512235047046,0.7453058609811176,0.7453058609811176,0.232547646572405
IL1F10,10,10,0.25262883372432066,4.861798758482994,1.1632385001110276e-6,2.1636236102065115e-6,0.043754254538801884
LYZL6,10,10,0.253772946003103,3.668268753520797,2.4419842106143403e-4,3.604833834716407e-4,0.0626773026606331
MRGPRD,10,10,0.2938651703696913,4.889490464888032,1.0109731941317046e-6,1.91878585824997e-6,0.05050775307948212
DMRTC2,10,10,0.3467609198935213,6.169854154888485,6.835301168154586e-10,1.6728500227325696e-9,0.04244578849376527
DMRTB1,10,10,0.37418714562189775,5.851654009775185,4.867083010915829e-9,1.0777112381313623e-8,0.0497351578864172
KRT25,10,10,0.38310679841357076,5.526273209983345,3.271046182691282e-8,6.91380215887021e-8,0.05545424878613411
HTR3D,10,10,0.3864424467038722,6.09912101291585,1.0665330717086878e-9,2.5432711709976403e-9,0.04817374132493551
PIWIL3,10,10,0.38664738034163704,6.422159924829334,1.3435415969130328e-10,3.9046677660285016e-10,0.04435784872807372
OC90,10,10,0.39649805960916246,5.359906763656245,8.326491349939734e-8,1.647582330945522e-7,0.05998401291365067
OR9Q2,10,10,0.3991179470007115,6.255110030904908,3.972357459338682e-10,1.026192343662493e-9,0.04779441419807746
TPH2,10,10,0.4146571899220429,6.3926216532886855,1.6306539633171552e-10,4.5954793511665287e-10,0.047932820736029426
KRT74,10,10,0.4163840907664541,6.27451457639069,3.5072677513446394e-10,9.319311453572898e-10,0.04961395975518217
RNASE9,11,11,0.4277947844236675,6.572492089161845,4.948001725063289e-11,1.5338805347696196e-10,0.04881570500890602
RPTN,10,10,0.43367271861167095,6.28653418570696,3.246315573312253e-10,8.879627891707044e-10,0.05151462864953446
FCRL4,10,10,0.43762165466627645,6.962214002429196,3.3496614043213713e-12,1.2979937941745314e-11,0.04373216672076813
KRT9,10,10,0.4422336044319713,7.2106963452286985,5.566646582516926e-13,3.235613326087963e-12,0.04147420068631184
CRYGB,10,10,0.4497642867358722,6.2222580895964565,4.900500267034429e-10,1.231747364416762e-9,0.054316308872289464
OTUD6A,10,10,0.4543431575181733,5.504110563283832,3.710366533402526e-8,7.668090835698555e-8,0.0661520765698703
CYP7A1,10,10,0.46242608998250473,6.581575873243435,4.6548785797879575e-11,1.4927714066216553e-10,0.05093010116525392
IL22,10,10,0.467233331697623,6.002321220994965,1.945163896335522e-9,4.522506058980089e-9,0.05972080968403324
LUZP4,10,10,0.47191301917500367,7.045369310312741,1.8497024919165095e-12,8.60111658741177e-12,0.04616790480996726
SPATA16,10,10,0.47751689198327707,5.987767242181113,2.1274121126650766e-9,4.8255933287281e-9,0.06126567433351152
NPHS2,10,10,0.47757132709507893,6.4831285576369035,8.98398832934348e-11,2.695196498803044e-10,0.05394000734071566
ABCG8,10,10,0.48073301224832515,8.048760705866929,8.363659158285691e-16,8.642447796895215e-15,0.03632983553298813
RXFP2,10,10,0.4826375985505455,6.7916351733164975,1.1086963288462897e-11,3.818842910470554e-11,0.05037804019145165
