gene,m.x,NScore.x,p.value.pos,FDR.pos,rank.pos,m.y,NScore.y,p.value.neg,FDR.neg,rank.neg,p.value.twosides
OR52E8,30,3.039163423826105,3.5829451809387314e-4,0.003702376686970023,1,30,3.039163423826105,1,1,93,7.165890361877463e-4
FAM71B,30,2.8861600789544153,3.5829451809387314e-4,0.003702376686970023,2,30,2.8861600789544153,1,1,92,7.165890361877463e-4
NLRP5,30,2.838073123307794,3.5829451809387314e-4,0.003702376686970023,3,30,2.838073123307794,1,1,91,7.165890361877463e-4
DEFB129,30,2.692845154538933,3.5829451809387314e-4,0.003702376686970023,4,30,2.692845154538933,1,1,90,7.165890361877463e-4
PLA2G2E,30,2.557777334340192,3.5829451809387314e-4,0.003702376686970023,5,30,2.557777334340192,1,1,89,7.165890361877463e-4
MAGEB3,30,2.536731591013464,3.5829451809387314e-4,0.003702376686970023,6,30,2.536731591013464,1,1,88,7.165890361877463e-4
TAAR1,30,2.513101053550868,3.5829451809387314e-4,0.003702376686970023,7,30,2.513101053550868,1,1,87,7.165890361877463e-4
TRIM42,30,2.5125367645116587,3.5829451809387314e-4,0.003702376686970023,8,30,2.5125367645116587,1,1,86,7.165890361877463e-4
VN1R2,30,2.5109600869920636,3.5829451809387314e-4,0.003702376686970023,9,30,2.5109600869920636,1,1,85,7.165890361877463e-4
TAS2R9,30,2.5066711863443265,7.165890361877463e-4,0.0051263677204200315,10,30,2.5066711863443265,0.9996417054819061,1,84,0.0014331780723754925
SAGE1,30,2.4914256774374772,7.165890361877463e-4,0.0051263677204200315,11,30,2.4914256774374772,0.9996417054819061,1,83,0.0014331780723754925
TAAR8,30,2.472895567425342,7.165890361877463e-4,0.0051263677204200315,12,30,2.472895567425342,0.9996417054819061,1,82,0.0014331780723754925
IL22,30,2.469184498874758,7.165890361877463e-4,0.0051263677204200315,13,30,2.469184498874758,0.9996417054819061,1,81,0.0014331780723754925
KRT77,30,2.399331174076876,0.0014331780723754925,0.00869253656940788,14,30,2.399331174076876,0.9989251164457184,1,80,0.002866356144750985
CABP5,30,2.3875285908758213,0.0017914725904693658,0.00869253656940788,15,30,2.3875285908758213,0.9985668219276245,1,79,0.0035829451809387316
TGM6,42,2.375449806230246,0.0017914725904693658,0.00869253656940788,16,42,2.375449806230246,0.9985668219276245,1,78,0.0035829451809387316
POU4F2,30,2.3743991708060803,0.0017914725904693658,0.00869253656940788,17,30,2.3743991708060803,0.9985668219276245,1,77,0.0035829451809387316
NPHS2,30,2.35008327664294,0.0017914725904693658,0.00869253656940788,18,30,2.35008327664294,0.9985668219276245,1,76,0.0035829451809387316
RXFP2,30,2.3139217542101296,0.002149767108563239,0.00869253656940788,19,30,2.3139217542101296,0.9982085274095306,1,75,0.004299534217126478
ABCG8,30,2.313288773741078,0.002149767108563239,0.00869253656940788,20,30,2.313288773741078,0.9982085274095306,1,74,0.004299534217126478
NPSR1,30,2.3094094791854762,0.002149767108563239,0.00869253656940788,21,30,2.3094094791854762,0.9982085274095306,1,73,0.004299534217126478
CRYGB,30,2.3066136371249497,0.002149767108563239,0.00869253656940788,22,30,2.3066136371249497,0.9982085274095306,1,72,0.004299534217126478
TAS2R13,30,2.2883433445125663,0.002149767108563239,0.00869253656940788,23,30,2.2883433445125663,0.9982085274095306,1,71,0.004299534217126478
CYP7A1,30,2.266531322854872,0.0025080616266571123,0.00971873880329631,24,30,2.266531322854872,0.9978502328914367,1,70,0.005016123253314225
LHX5,30,2.2330646099147353,0.0035829451809387316,0.012217843067001074,25,30,2.2330646099147353,0.9967753493371552,1,69,0.007165890361877463
ADH7,30,2.2294378614647394,0.0035829451809387316,0.012217843067001074,26,30,2.2294378614647394,0.9967753493371552,1,68,0.007165890361877463
LUZP4,30,2.205698409681744,0.0035829451809387316,0.012217843067001074,27,30,2.205698409681744,0.9967753493371552,1,67,0.007165890361877463
OR12D2,30,2.194670314551518,0.003941239699032604,0.012217843067001074,28,30,2.194670314551518,0.9964170548190613,1,66,0.007882479398065209
OLIG2,30,2.1887656320211857,0.003941239699032604,0.012217843067001074,29,30,2.1887656320211857,0.9964170548190613,1,65,0.007882479398065209
SPATA16,30,2.1876520292134445,0.003941239699032604,0.012217843067001074,30,30,2.1876520292134445,0.9964170548190613,1,64,0.007882479398065209
RPTN,30,2.1621288306243995,0.005016123253314225,0.014578108204944465,31,30,2.1621288306243995,0.9953421712647796,1,63,0.01003224650662845
KRT74,30,2.1540992241108627,0.005016123253314225,0.014578108204944465,32,30,2.1540992241108627,0.9953421712647796,1,62,0.01003224650662845
RNASE9,33,2.136400079441464,0.006091006807595844,0.01716556463958829,33,33,2.136400079441464,0.994267287710498,1,61,0.012182013615191688
KRT9,30,2.1017145777177877,0.008599068434252956,0.023520981305456615,34,30,2.1017145777177877,0.9917592260838409,1,60,0.017198136868505912
OTUD6A,30,2.0791662730738882,0.010390541024722321,0.027609151865690736,35,30,2.0791662730738882,0.9899677534933715,1,59,0.020781082049444642
FCRL4,30,2.029256928104037,0.015406664278036546,0.03980054938492775,36,30,2.029256928104037,0.9849516302400573,1,58,0.03081332855607309
PIWIL3,30,1.9861022881770076,0.023647438194195628,0.05943815546108631,37,30,1.9861022881770076,0.9767108563238982,1,57,0.047294876388391256
TPH2,30,1.9479339470014905,0.03045503403797922,0.07453468856663335,38,30,1.9479339470014905,0.9699032604801147,1,56,0.06091006807595844
KRT25,30,1.945220471481657,0.03188821211035471,0.07604112118623046,39,30,1.945220471481657,0.9684700824077391,1,55,0.06377642422070942
DMRTC2,30,1.9389052031735823,0.03367968470082408,0.07774991042637047,40,30,1.9389052031735823,0.9666786098172698,1,54,0.06735936940164816
HTR3D,30,1.93384475067121,0.0347545682551057,0.07774991042637047,41,30,1.93384475067121,0.9656037262629882,1,53,0.0695091365102114
OR9Q2,30,1.9332519968600665,0.03511286277319957,0.07774991042637047,42,30,1.9332519968600665,0.9652454317448943,1,52,0.07022572554639914
DMRTB1,30,1.9165559543578585,0.03977069150841992,0.0860156816344896,43,30,1.9165559543578585,0.9605876030096739,1,51,0.07954138301683984
OC90,30,1.7354147744502637,0.14188462916517378,0.29989251164457187,44,30,1.7354147744502637,0.8584736653529201,1,50,0.28376925833034755
MRGPRD,30,1.7244176151015318,0.15012540308133285,0.3102591663680879,45,30,1.7244176151015318,0.8502328914367611,1,49,0.3002508061626657
LYZL6,30,1.7072408687913743,0.1587244715155858,0.32089947502064087,46,30,1.7072408687913743,0.8416338230025081,1,48,0.3174489430311716
RPS7,24,1.494520175519984,0.2164098889286994,0.419988355428162,47,24,1.494520175519984,0.7839484055893945,1,47,0.4328197778573988
IL1F10,30,1.4559306887362353,0.21676818344679327,0.419988355428162,48,30,1.4559306887362353,0.7835901110713006,1,46,0.43353636689358654
COPS8,48,-0.1319008792372387,0.2504478681476173,0.4753398313822125,49,48,-0.1319008792372387,0.7499104263704766,1,45,0.5008957362952347
RPS24,39,-0.28704960421127673,0.3633106413471874,0.6757577929057685,50,39,-0.28704960421127673,0.6370476531709065,1,44,0.7266212826943748
RPL27,30,-0.5703309212457813,0.6972411322106772,1,51,30,-0.5703309212457813,0.3031171623074167,0.6555789789439477,43,0.6062343246148334
PSMD1,36,-0.7342743474747893,0.838767466857757,1,52,36,-0.7342743474747893,0.1615908276603368,0.35780826124788867,42,0.3231816553206736
COPS2,30,-0.7606844912856648,0.8595485489072017,1,53,30,-0.7606844912856648,0.14080974561089216,0.31939771565397485,41,0.2816194912217843
RPS27,15,-0.7720931603873251,0.8685059118595485,1,54,15,-0.7720931603873251,0.13185238265854532,0.3065567896811179,40,0.26370476531709064
RPL3,33,-0.7908742678346891,0.8781798638480831,1,55,33,-0.7908742678346891,0.12217843067001075,0.2913485654438718,39,0.2443568613400215
RPL30,30,-0.8023472671074826,0.8846291651737729,1,56,30,-0.8023472671074826,0.11572912934432103,0.28323181655320673,38,0.23145825868864206
COPZ1,48,-0.9844460231711893,0.9595127194553923,1,57,48,-0.9844460231711893,0.04084557506270154,0.1026659048873309,37,0.08169115012540308
PSMA3,30,-1.0783052584726949,0.9781440343962737,1,58,30,-1.0783052584726949,0.022214260121820137,0.05738683864803536,36,0.044428520243640274
NUP98,48,-1.0824014492381147,0.9785023289143676,1,59,48,-1.0824014492381147,0.02185596560372626,0.05738683864803536,35,0.04371193120745252
COPS6,30,-1.1066027065818151,0.9820852740953063,1,60,30,-1.1066027065818151,0.01827302042278753,0.04998208527409531,34,0.03654604084557506
PSMB3,30,-1.1085449679818236,0.9824435686134002,1,61,30,-1.1085449679818236,0.01791472590469366,0.04998208527409531,33,0.03582945180938732
NUP54,33,-1.1359257530895492,0.9842350412038696,1,62,33,-1.1359257530895492,0.016123253314224293,0.046858204944464354,32,0.032246506628448586
NUP205,30,-1.163606460483109,0.9863848083124328,1,63,30,-1.163606460483109,0.013973486205661053,0.04192045861698316,31,0.027946972411322105
POLA1,30,-1.264860189419143,0.9921175206019348,1,64,30,-1.264860189419143,0.008240773916159082,0.025546399140093157,30,0.016481547832318165
RPL5,30,-1.2799038819040347,0.9931924041562165,1,65,30,-1.2799038819040347,0.007165890361877463,0.02298026909153807,29,0.014331780723754926
NUP133,30,-1.2974258863342756,0.9939089931924041,1,66,30,-1.2974258863342756,0.006449301325689717,0.021420893688897987,28,0.012898602651379433
RPL9,30,-1.3072930849380557,0.994267287710498,1,67,30,-1.3072930849380557,0.006091006807595844,0.020980134559496797,27,0.012182013615191688
RPL6,6,-1.4462022878963272,0.9996417054819061,1,68,6,-1.4462022878963272,7.165890361877463e-4,0.0025631838602100158,26,0.0014331780723754925
RPS11,30,-1.5103643323624458,0.9996417054819061,1,69,30,-1.5103643323624458,7.165890361877463e-4,0.0025631838602100158,25,0.0014331780723754925
PSMC2,42,-1.6523214898445655,1,1,70,42,-1.6523214898445655,3.5829451809387314e-4,0.0013883912576137583,24,7.165890361877463e-4
RPS9,30,-1.7296545550265592,1,1,71,30,-1.7296545550265592,3.5829451809387314e-4,0.0013883912576137583,23,7.165890361877463e-4
POLR2F,30,-1.854668618230998,1,1,72,30,-1.854668618230998,3.5829451809387314e-4,0.0013883912576137583,22,7.165890361877463e-4
PSMC4,30,-1.8588721992543067,1,1,73,30,-1.8588721992543067,3.5829451809387314e-4,0.0013883912576137583,21,7.165890361877463e-4
COPA,30,-1.899673555494319,1,1,74,30,-1.899673555494319,3.5829451809387314e-4,0.0013883912576137583,20,7.165890361877463e-4
PSMD7,30,-1.9400817381135966,1,1,75,30,-1.9400817381135966,3.5829451809387314e-4,0.0013883912576137583,19,7.165890361877463e-4
RPL34,21,-2.009094708718646,1,1,76,21,-2.009094708718646,3.5829451809387314e-4,0.0013883912576137583,18,7.165890361877463e-4
RPL36,30,-2.0134917512860495,1,1,77,30,-2.0134917512860495,3.5829451809387314e-4,0.0013883912576137583,17,7.165890361877463e-4
POLR2A,30,-2.0296540303240187,1,1,78,30,-2.0296540303240187,3.5829451809387314e-4,0.0013883912576137583,16,7.165890361877463e-4
RPL35A,21,-2.088116917482049,1,1,79,21,-2.088116917482049,3.5829451809387314e-4,0.0013883912576137583,15,7.165890361877463e-4
RPS8,30,-2.1007750221470904,1,1,80,30,-2.1007750221470904,3.5829451809387314e-4,0.0013883912576137583,14,7.165890361877463e-4
PSMD11,30,-2.215091172384629,1,1,81,30,-2.215091172384629,3.5829451809387314e-4,0.0013883912576137583,13,7.165890361877463e-4
PSMC1,30,-2.2233452490285766,1,1,82,30,-2.2233452490285766,3.5829451809387314e-4,0.0013883912576137583,12,7.165890361877463e-4
COPS4,30,-2.231600288443782,1,1,83,30,-2.231600288443782,3.5829451809387314e-4,0.0013883912576137583,11,7.165890361877463e-4
POLR2D,30,-2.252761478409172,1,1,84,30,-2.252761478409172,3.5829451809387314e-4,0.0013883912576137583,10,7.165890361877463e-4
COPB1,30,-2.273901539031827,1,1,85,30,-2.273901539031827,3.5829451809387314e-4,0.0013883912576137583,9,7.165890361877463e-4
RPS3A,18,-2.3639506109344186,1,1,86,18,-2.3639506109344186,3.5829451809387314e-4,0.0013883912576137583,8,7.165890361877463e-4
RPL18A,24,-2.431261186555488,1,1,87,24,-2.431261186555488,3.5829451809387314e-4,0.0013883912576137583,7,7.165890361877463e-4
PSMD6,57,-2.4525847246431027,1,1,88,57,-2.4525847246431027,3.5829451809387314e-4,0.0013883912576137583,6,7.165890361877463e-4
PSMB2,72,-2.4659959364886315,1,1,89,72,-2.4659959364886315,3.5829451809387314e-4,0.0013883912576137583,5,7.165890361877463e-4
NUP93,33,-2.4725651110935534,1,1,90,33,-2.4725651110935534,3.5829451809387314e-4,0.0013883912576137583,4,7.165890361877463e-4
RPL11,30,-2.5597684300524635,1,1,91,30,-2.5597684300524635,3.5829451809387314e-4,0.0013883912576137583,3,7.165890361877463e-4
RPS19,30,-2.7176157149110662,1,1,92,30,-2.7176157149110662,3.5829451809387314e-4,0.0013883912576137583,2,7.165890361877463e-4
