gene,pvalue,log2FoldChange,stat,padj
ABCG8,1.766016938343681e-89,0.4012439387765043,6.29393298992588,3.284791505319247e-89
ADH7,2.0116782784863875e-27,0.1787684348205846,2.5600331682689257,2.398539485887616e-27
CABP5,2.1200530730059016e-34,0.19903664216699485,3.2630974590051607,2.6643910241830926e-34
COPA,0,-2.02943436563858,-12.314506329916119,0
COPB1,0,-1.9910671141951963,-16.58576274988538,0
COPS2,0,-1.220307909226886,-10.7377198148944,0
COPS4,0,-1.681946442939936,-15.521291312315379,0
COPS6,2.9282137585175906e-202,-0.7244410793202404,-6.011433879494649,6.808096988553399e-202
COPS8,0,-0.46942656929483223,-3.7937452312791935,0
COPZ1,0,-0.8645963911713578,-5.880715011129527,0
CRYGB,3.325554331053556e-63,0.2952365898744198,4.823824048638956,5.154609213133013e-63
CYP7A1,1.0842473379569608e-47,0.26055989913130884,4.133780168911588,1.461376846811556e-47
DEFB129,3.2302893843861914e-59,0.35071754605910643,5.03830484916821,4.621798657660244e-59
DMRTB1,8.923701068680208e-39,0.21870636697637247,3.266352436370786,1.1526447213711937e-38
DMRTC2,2.1239872349722124e-10,0.09794017883969436,1.5724289513466427,2.1470740527436497e-10
FAM71B,1.5827856255963486e-125,0.39886983752191646,6.762592052623339,3.1999796343578353e-125
FCRL4,2.009723280597236e-25,0.11858148078828543,2.303855717956154,2.2518586156089514e-25
HTR3D,1.1338912910227428e-88,0.42388401295373757,5.868920550768821,2.067684118923825e-88
IL1F10,1.1068280444855985e-28,0.12946854663888513,1.9991987152890245,1.3544080018047456e-28
IL22,1.0751608288932348e-59,0.11354122676148257,2.368683551509906,1.562343079485482e-59
KRT25,2.8190639474767724e-11,-0.03869086524899617,-0.404066677245345,2.8810213968718662e-11
KRT74,1.6925911084103003e-9,0.06918833650177851,0.8929253636965516,1.6925911084103003e-9
KRT77,4.2412709917728905e-26,0.14116528123354968,2.546060616588661,4.810221978474132e-26
KRT9,3.3405096334571715e-19,0.09507329134585384,1.4346021800267086,3.5708896081783556e-19
LHX5,1.3734290654123733e-27,0.18879183994867627,2.526447475205487,1.658816923160399e-27
LUZP4,2.0307946052637706e-100,0.37223887041756076,6.065277088944667,3.8543652712149117e-100
LYZL6,2.0463781895225014e-20,-0.09695149280543582,-1.2259387138037756,2.212943856111542e-20
MAGEB3,6.929927906508154e-85,0.3138434545075312,5.122994326017831,1.2160062175570912e-84
MRGPRD,3.165494592457645e-12,-0.03067916656772697,-0.14528181496020467,3.2710110788729004e-12
NLRP5,2.9032621599688535e-128,0.4015247041201102,6.707450449709191,6.000075130602298e-128
NPHS2,9.587673954827698e-27,0.17424737985795094,2.564011258151802,1.11456709724872e-26
NPSR1,1.4164790227093867e-50,0.31671112908633486,4.600490589932888,1.9372433692937202e-50
NUP133,2.9905335440115317e-281,-0.7212054087496501,-5.727302338033699,7.946274845516355e-281
NUP205,5.1607508764589435e-241,-0.9733894168246289,-8.317243390283055,1.3331939764185605e-240
NUP54,0,-0.8923669150726055,-9.172213723282841,0
NUP93,0,-2.161472259744188,-15.242270637198404,0
NUP98,2.9819445081209123e-230,-0.4444539332467728,-4.407768314697385,7.297916822506443e-230
OC90,1.4339891939391255e-32,0.30796094776755667,3.4399953665100798,1.7781466004845156e-32
OLIG2,3.6066314350248373e-60,0.40233868706846926,5.228833952700775,5.324074975512856e-60
OR12D2,7.232207808016944e-37,0.29175774830409706,3.8532835959632195,9.213634604733915e-37
