Gene,pos.pvalue,pos.fdr,neg.pvalue,neg.fdr,p.value.twosides
ABCG8,6.529752871065053e-5,6.0726701700905e-4,0.9999971506244397,0.9999999983423613,1.3059505742130106e-4
ADH7,0.17470557920734764,0.47787114312598034,0.9480275352604903,0.9999999983423613,0.3494111584146953
CABP5,0.07366517138080297,0.22836203128048924,0.9866522655071008,0.9999999983423613,0.14733034276160595
COPA,0.9999999553159515,0.9999999944039635,1.8816213988026576e-6,2.9165131681441192e-5,3.763242797605315e-6
COPB1,0.9999997931962381,0.9999999944039635,6.131003767340104e-6,5.701833503626297e-5,1.2262007534680208e-5
COPS2,0.9998618057835287,0.9999999944039635,0.0019008787622157852,0.008058512970478205,0.0038017575244315704
COPS4,0.9999932644280929,0.9999999944039635,1.4946902247070515e-4,8.176834758691517e-4,2.989380449414103e-4
COPS6,0.9976437341326241,0.9999999944039635,0.01854414589032627,0.05563243767097881,0.03708829178065254
COPS8,0.8253576841715041,0.9999999944039635,0.38315588288360536,0.8145269856019219,0.7663117657672107
COPZ1,0.9758412450773535,0.9999999944039635,0.11073619525773715,0.2511821014382818,0.2214723905154743
CRYGB,0.0014990401684374932,0.007745040870260382,0.9998748224444912,0.9999999983423613,0.0029980803368749864
CYP7A1,0.015805669376462217,0.059904396115329724,0.9969117742577146,0.9999999983423613,0.031611338752924434
DEFB129,7.116510251113928e-4,0.004412236355690636,0.9998614049479053,0.9999999983423613,0.0014233020502227856
DMRTB1,0.04576125534848907,0.15199274097891013,0.9877743816890767,0.9999999983423613,0.09152251069697814
DMRTC2,0.43206925865857515,0.9567247870297022,0.8256758925074803,0.9999999983423613,0.8641385173171503
FAM71B,2.706149257791779e-6,5.0334376194927094e-5,0.9999999290515768,0.9999999983423613,5.412298515583558e-6
FCRL4,0.19550762311722203,0.5095845214705892,0.931887721279242,0.9999999983423613,0.39101524623444406
HTR3D,0,0,0.9999512788666207,0.9999999983423613,0
IL1F10,0.2988421042407293,0.7126234793432776,0.8939778253229701,0.9999999983423613,0.5976842084814586
IL22,0.4943054435481383,0.9999999944039635,0.770473863947757,0.9999999983423613,0.9886108870962766
KRT25,0.695405467737672,0.9999999944039635,0.6062298481391931,0.9999999983423613,1
KRT74,0.48691130987977593,0.9999999944039635,0.7693044923327409,0.9999999983423613,0.9738226197595519
KRT77,0.35280418131076297,0.820269721547524,0.8602920382747148,0.9999999983423613,0.7056083626215259
KRT9,0.45794130324637394,0.9904311907421576,0.7840350126763259,0.9999999983423613,0.9158826064927479
LHX5,0.14919634860899922,0.43360188814490397,0.9664280033257031,0.9999999983423613,0.29839269721799844
LUZP4,7.652261869317556e-5,6.469639580423025e-4,0.9999944247388134,0.9999999983423613,1.5304523738635112e-4
LYZL6,0.8529738191136882,0.9999999944039635,0.3853676060912319,0.8145269856019219,0.7707352121824638
MAGEB3,0.0012016043019974498,0.006688258107607909,0.9996938326692083,0.9999999983423613,0.0024032086039948997
MRGPRD,0.6226218042949383,0.9999999944039635,0.681202295200591,0.9999999983423613,1
NLRP5,5.7202446193449497e-5,5.910919439989781e-4,0.9999867573290477,0.9999999983423613,1.1440489238689899e-4
NPHS2,0.17448403257563228,0.47787114312598034,0.9489887925330409,0.9999999983423613,0.34896806515126455
NPSR1,5.833246025187533e-4,0.003874942002446004,0.9999349230189762,0.9999999983423613,0.0011666492050375066
NUP133,0.9988656700636963,0.9999999944039635,0.011037978020524863,0.03770002144692533,0.022075956041049727
NUP205,0.9987309143835601,0.9999999944039635,0.012196149096435294,0.03780806219894941,0.024392298192870587
NUP54,0.9957176344599323,0.9999999944039635,0.030408984155539498,0.0856980462565204,0.060817968311078996
NUP93,0.9999998939537132,0.9999999944039635,2.29844463073281e-6,3.053647866545019e-5,4.59688926146562e-6
NUP98,0.9859713280355036,0.9999999944039635,0.07590312686378031,0.1852674409225984,0.15180625372756062
OC90,0.014373856167329002,0.05812037493746075,0.993006393041509,0.9999999983423613,0.028747712334658004
OLIG2,1.1343851262890503e-5,1.758296945748028e-4,0.9999971117410158,0.9999999983423613,2.2687702525781006e-5
OR12D2,0.007588742627405942,0.03207968474312512,0.9974631288597485,0.9999999983423613,0.015177485254811884
OR52E8,2.0923067560296715e-5,2.4323066038844932e-4,0.9999991538561748,0.9999999983423613,4.184613512059343e-5
OR9Q2,0.033368180940532954,0.11493484546183574,0.9924473152914889,0.9999999983423613,0.06673636188106591
OTUD6A,0.020390191890882314,0.07293414791738674,0.9952426464205583,0.9999999983423613,0.04078038378176463
PIWIL3,0.14739597283057393,0.43360188814490397,0.9581308844961395,0.9999999983423613,0.29479194566114786
PLA2G2E,0.05487505270296,0.17597861728880276,0.9886974482378544,0.9999999983423613,0.10975010540592
POLA1,0.9946025734737128,0.9999999944039635,0.03860744730800525,0.10258550284698537,0.0772148946160105
POLR2A,0.9994737851582151,0.9999999944039635,0.0058130706595772574,0.02286623622275845,0.011626141319154515
POLR2D,0.9999977995163122,0.9999999944039635,3.249308266373152e-5,2.1584690626621654e-4,6.498616532746304e-5
POLR2F,0.998810635003702,0.9999999944039635,0.011667278820909122,0.03770002144692533,0.023334557641818243
POU4F2,1.654380437089431e-4,0.001282144838744309,0.9999689117583729,0.9999999983423613,3.308760874178862e-4
PSMA3,0.9993493402354036,0.9999999944039635,0.00645338598891243,0.02400659587875424,0.01290677197782486
PSMB2,0.9999999944039635,0.9999999944039635,0,0,0
PSMB3,0.9420645246386947,0.9999999944039635,0.20122449988266877,0.4455685354544809,0.40244899976533755
PSMC1,0.9999037239079065,0.9999999944039635,0.0015090776809340012,0.007017211216343106,0.0030181553618680024
PSMC2,0.9994977871126253,0.9999999944039635,0.005900964186518309,0.02286623622275845,0.011801928373036619
PSMC4,0.9987864106798342,0.9999999944039635,0.011274024488827639,0.03770002144692533,0.022548048977655277
PSMD1,0.9987266279987798,0.9999999944039635,0.011755920666245534,0.03770002144692533,0.023511841332491068
PSMD11,0.9999938487621937,0.9999999944039635,1.0016202106122307e-4,5.821917474183591e-4,2.0032404212244614e-4
PSMD6,0.9998951064586116,0.9999999944039635,0.0012360789914940273,0.006237670396089432,0.0024721579829880547
PSMD7,0.9999999553159515,0.9999999944039635,1.8816213988026576e-6,2.9165131681441192e-5,3.763242797605315e-6
RNASE9,0.19725852444022807,0.5095845214705892,0.9448627914850888,0.9999999983423613,0.39451704888045613
RPL11,0.9999999553159515,0.9999999944039635,1.8816213988026576e-6,2.9165131681441192e-5,3.763242797605315e-6
RPL18A,0.9999980916192323,0.9999999944039635,5.161560704491919e-5,3.2001676367849897e-4,1.0323121408983837e-4
RPL27,0.7132003790805909,0.9999999944039635,0.5830615449972228,0.9999999983423613,1
RPL3,0.9857379697342236,0.9999999944039635,0.077692797806250935,0.1852674409225984,0.15538559561250187
RPL30,0.9872780243150555,0.9999999944039635,0.07317613719233829,0.18392920969966112,0.14635227438467657
RPL34,0.9999989834960472,0.9999999944039635,1.781690001434466e-5,1.3808097511117112e-4,3.563380002868932e-5
RPL35A,0.999999986738893,0.9999999944039635,0,0,0
RPL36,0.9999980857236301,0.9999999944039635,2.9302208307324662e-5,2.0962349019855336e-4,5.8604416614649324e-5
RPL5,0.9780617632422033,0.9999999944039635,0.10911629990955785,0.2511821014382818,0.2182325998191157
RPL6,0.9997854621218062,0.9999999944039635,0.00127436276909354,0.006237670396089432,0.00254872553818708
