sgRNA,logFC,logCPM,PValue
RPS19-10,-2.80398124536173,10.401278188433128,2.0960501643043828e-172
NUP93-4,-4.536052679834492,10.008732230177348,4.871675975679481e-75
PSMD11-2,-3.1888618369098403,10.232108873621874,1.581389938113429e-173
RPS3A-3,-1.3104478364812686,10.475716574091143,8.896644023638601e-64
PSMB3-3,-3.458708807897738,9.882046430809146,3.925804984392383e-199
POLR2A-5,-2.9615069620579657,10.019752663327978,4.172020221187006e-112
RPS8-8,-3.324362033784767,9.879840432732818,2.376262629933943e-283
RPL36-3,-4.2986440447137815,9.526559982058767,1.5501471759038615e-29
RPS13-4,-4.201136889320597,9.440746550844102,8.634359439139067e-200
RPS11-2,-1.5220933516252257,10.482237900329547,2.1219965352799116e-85
NUP93-7,-2.3901069205468537,10.013709839394961,2.0819780035102384e-170
PSMC1-10,-2.645479785082042,9.865741006978057,2.6387646879611535e-150
RPS9-10,-2.3821867692298118,9.710246863019512,4.096322707710483e-102
COPB1-3,-3.5477306480895368,9.58397578831906,2.9617847913001646e-153
PSMC1-6,-2.006528646268028,10.169521763171677,8.128798789507061e-119
PSMC1-9,-1.8520444623650427,10.17216485244556,7.457256054412634e-128
RPL5-6,-1.5278634391814105,10.090091049818069,6.199784143857876e-46
RPL11-2,-2.1639560414200565,9.905762744438832,4.612542626258253e-105
PSMB2-1,-4.002300242087729,9.526683599783242,2.4466783246033578e-227
RPS11-10,-3.07522715966991,9.541646853341271,6.529887237351381e-35
PSMB2-13,-3.3016124170383216,9.475735059187384,1.0407404606781094e-88
NUP93-1,-2.3184193587005595,9.983257592710006,2.1810855947600835e-75
COPZ1-18,-2.1451958010731573,10.22688658963471,1.1827968407008904e-70
RPS8-7,-2.8431982994902496,9.519743156601303,3.1619780352020725e-101
PSMC1-8,-1.5953273828270293,10.055164056687241,6.513024157213812e-77
PSMD6-7,-2.8092627543790782,9.616327703118236,5.504575780904431e-116
COPA-8,-4.2855459973353955,9.338015865731881,9.211652138805516e-103
RPL18A-6,-2.8948098009433245,9.53144040827071,8.339746252318402e-74
RPL5-5,-2.440002935950076,9.769852381258312,2.0091696780774808e-106
POLR2F-2,-1.1036336481418565,10.202648715052364,6.234121994520125e-50
PSMB3-9,-3.392801378573715,9.360567014889526,2.6105664915801433e-142
POLR2D-9,-2.853049903117638,9.427024264956616,8.152498503102031e-107
PSMB2-2,-4.54000145791418,9.116339693581065,2.9838238087913602e-130
PSMA3-6,-3.4345847299382983,9.400892941777144,2.4278633629435488e-144
RPL34-1,-2.4322093156016567,9.466679058143551,2.2183858545878945e-83
PSMB2-10,-3.3139378899959797,9.404546515322973,4.352738776531319e-73
RPS24-7,-1.5388586144554408,10.148054163751437,9.264586679338904e-68
NUP93-2,-4.072106959363176,9.26655149143733,5.601797857282897e-102
PSMC4-5,-0.018301108129432975,11.255954161532221,0.802272202737553
RPL27-10,-2.672496786172188,9.393776932349887,2.750481494709452e-54
RPL36-1,-2.7297587005977695,9.279493704683983,4.852166615937873e-86
RPL9-3,-2.577740825325321,9.545249002273794,1.2749050260086947e-76
RPS19-2,-2.275186795093576,9.660258764075515,1.934156504511141e-34
PSMC2-14,-1.7797001473108744,9.80578264703469,1.292876065780128e-81
NUP54-18,-2.9100749983693306,9.075542924153332,6.292362909948702e-72
PSMB2-12,-4.521459587517981,8.924680329557368,3.047981746294216e-37
COPS4-9,-1.5175440869588417,10.235368109184495,3.3068955792586583e-92
RPS11-1,-3.1897018712481513,9.215421097102743,3.9772898043976165e-97
POLR2F-1,-0.8286444193344442,10.685859157511302,3.524600035994072e-29
NUP133-7,0.3574599036883932,10.283450021359892,1.997788670000138e-6
RPL11-8,-5.8436443423974085,8.740714605087364,9.43453678247347e-88
PSMB2-3,-2.6565936818440745,9.200352150190252,3.252739302049302e-68
RPL35A-5,-2.2101449254790295,9.588917606312496,2.7455034798389443e-58
RPS13-9,-2.2553538604260397,9.52577858000181,3.953667436110227e-93
PSMD6-18,-1.8664722959420177,9.673741463929181,5.336711010937305e-72
PSMD6-4,-2.5014914686634895,9.521986792595191,4.9278151499932864e-110
RPL35A-4,-3.091403016440774,8.899331304654629,1.696071601298218e-56
RPS19-8,-2.009380413914215,9.582736669921202,9.216437282672217e-89
POLR2D-2,-2.3977540843705962,9.410213780474947,2.2094263546736172e-79
RPS13-8,-2.376382736499696,9.55565933719876,2.8030393771958078e-106
COPZ1-17,-0.7397559606176927,10.649972893626867,2.5708144771253647e-30
RPS8-4,-3.2701782320259256,9.13247010380653,8.106069862422998e-110
RPL35A-1,-2.681154473248931,8.97129832334429,1.2337141471145009e-55
PSMD11-5,-3.5701642785685044,9.115014325056258,3.1294625639930573e-58
RPL18A-8,-2.079632130174838,9.267491538213067,9.59876153894228e-63
PSMD11-9,-2.090798742453929,9.701911217649538,2.60549549130059e-66
POLR2A-2,-2.7584538273589567,9.038506745332606,7.468833485339738e-80
POLR2D-4,-1.6492969881447352,9.973191077143516,4.948539601819445e-40
COPS4-6,-1.4163277324765435,9.961231070620602,9.682329502239989e-54
RPL34-5,-3.098388097604543,9.108290405402267,5.62861360438848e-88
RPL11-7,-1.0844031505238378,10.270252819446739,1.0397402493556371e-41
NUP54-19,-1.9195622496659177,9.570793754792774,2.050093955114753e-77
RPL9-7,-3.3329651832970035,8.8299036460112,2.473679900564276e-56
RPL3-11,-1.391610965410465,9.796050077981056,1.6005629742378432e-37
RPS3A-1,-1.3539433277736095,9.43731352780767,3.37429503198393e-36
RPS24-5,-2.03759893448035,9.471885901616798,6.597412518851767e-60
COPZ1-11,-1.5709787663420312,9.57346896014215,9.889719701366323e-32
RPL30-8,-2.078072817706264,9.363366408388977,2.0841866947348192e-51
POLA1-3,-3.1576886329350615,8.955636832151871,5.093875900117278e-46
RPL36-5,-1.9445658859652282,9.691155261095805,6.319955775340015e-75
RPS19-3,-3.486720278157935,8.793074030459614,1.176114052325771e-43
RPL18A-7,-2.8606099688197104,9.131594185110359,9.27072527948174e-70
RPL11-9,-3.6790104117662175,8.954887070792418,1.969928338047803e-56
COPB1-6,-1.570047572804932,10.132177740654265,4.1009998977666543e-53
NUP93-10,-3.3142478741541113,8.882406346415365,2.004805020462314e-69
RPL9-6,-5.154848652700665,8.697457601147477,3.451346266715431e-140
PSMC1-4,-1.4209493592486344,9.638495762312301,5.678387688661448e-46
RPS13-2,-1.691649014302497,9.633026315932508,1.6955335909524215e-38
RPS9-8,-2.689216929110227,9.1119640335725,2.948801793423217e-43
NUP98-12,-1.3788402515816163,9.646222680335905,1.9797676629597876e-35
COPS2-4,-1.7853343491462577,9.956678279471063,4.257431077157369e-66
COPS4-4,-1.944075662684425,9.495388881611252,1.773777689378528e-43
PSMC2-2,-2.011637415186737,9.130427404941237,2.6413420512778447e-46
RPS8-5,-1.3912055402753436,9.40493517506499,7.735601965696506e-21
COPS4-7,-2.6987291275492464,8.838874576541157,6.871254458604944e-66
RPL6-2,-0.3338199310088105,11.163173457676141,3.178803485564999e-5
POLR2F-9,-1.2681767507721367,9.828094684764261,3.808811086753867e-36
RPS9-4,-3.0921655347577675,8.838539379216437,1.9233445363282244e-64
RPS13-7,-2.7068354321641994,8.930435483017034,8.282478472311972e-26
RPS13-6,-1.2909184323037135,9.724087086189389,1.149373744066262e-22
