gene,m.x,NScore.x,p.value.pos,FDR.pos,rank.pos,m.y,NScore.y,p.value.neg,FDR.neg,rank.neg,p.value.twosides
TGM6,42,4.2159515780316745,3.5829451809387314e-4,0.0333213901827302,1,42,4.2159515780316745,1,1,93,7.165890361877463e-4
TRIM42,30,3.1375192019470743,0.0017914725904693658,0.033321390182730205,2,30,3.1375192019470743,0.9985668219276245,1,92,0.0035829451809387316
FAM71B,30,3.0606841201064188,0.0017914725904693658,0.033321390182730205,3,30,3.0606841201064188,0.9985668219276245,1,91,0.0035829451809387316
OR52E8,30,2.955975104556796,0.002149767108563239,0.033321390182730205,4,30,2.955975104556796,0.9982085274095306,1,90,0.004299534217126478
TAS2R9,30,2.928906250847395,0.002149767108563239,0.033321390182730205,5,30,2.928906250847395,0.9982085274095306,1,89,0.004299534217126478
NLRP5,30,2.8759771528593245,0.002149767108563239,0.033321390182730205,6,30,2.8759771528593245,0.9982085274095306,1,88,0.004299534217126478
HTR3D,30,2.705122840786488,0.004299534217126478,0.040336419694883927,7,30,2.705122840786488,0.9960587603009674,1,87,0.008599068434252956
ABCG8,30,2.6891208169640546,0.004299534217126478,0.040336419694883927,8,30,2.6891208169640546,0.9960587603009674,1,86,0.008599068434252956
DEFB129,30,2.6411071621410946,0.006091006807595844,0.040336419694883927,9,30,2.6411071621410946,0.994267287710498,1,85,0.012182013615191688
SPATA16,30,2.5926584079303345,0.007165890361877463,0.040336419694883927,10,30,2.5926584079303345,0.9931924041562165,1,84,0.014331780723754926
LUZP4,30,2.5582484601512663,0.007165890361877463,0.040336419694883927,11,30,2.5582484601512663,0.9931924041562165,1,83,0.014331780723754926
OLIG2,30,2.5388807222033507,0.007524184879971337,0.040336419694883927,12,30,2.5388807222033507,0.9928341096381226,1,82,0.015048369759942674
VN1R2,30,2.5000608400214217,0.007524184879971337,0.040336419694883927,13,30,2.5000608400214217,0.9928341096381226,1,81,0.015048369759942674
SAGE1,30,2.4346567585640835,0.007882479398065209,0.040336419694883927,14,30,2.4346567585640835,0.9924758151200287,1,80,0.015764958796130418
TAAR1,30,2.4247843042725026,0.008240773916159082,0.040336419694883927,15,30,2.4247843042725026,0.9921175206019348,1,79,0.016481547832318165
TAAR8,30,2.4226573987179836,0.008240773916159082,0.040336419694883927,16,30,2.4226573987179836,0.9921175206019348,1,78,0.016481547832318165
CRYGB,30,2.4145943902978937,0.008240773916159082,0.040336419694883927,17,30,2.4145943902978937,0.9921175206019348,1,77,0.016481547832318165
NPSR1,30,2.3750515309734475,0.008240773916159082,0.040336419694883927,18,30,2.3750515309734475,0.9921175206019348,1,76,0.016481547832318165
MAGEB3,30,2.3636395824241947,0.008240773916159082,0.040336419694883927,19,30,2.3636395824241947,0.9921175206019348,1,75,0.016481547832318165
RXFP2,30,2.3280669339438247,0.00895736295234683,0.04125505451195168,20,30,2.3280669339438247,0.991400931565747,1,74,0.01791472590469366
POU4F2,30,2.2755938031830687,0.009315657470440702,0.04125505451195168,21,30,2.2755938031830687,0.9910426370476532,1,73,0.018631314940881404
CYP7A1,30,2.222712918429819,0.010748835542816195,0.04398423504120387,22,30,2.222712918429819,0.9896094589752776,1,72,0.02149767108563239
OTUD6A,30,2.1997816507255066,0.01146542457900394,0.04398423504120387,23,30,2.1997816507255066,0.98889286993909,1,71,0.02293084915800788
OR12D2,30,2.193902771189254,0.011823719097097814,0.04398423504120387,24,30,2.193902771189254,0.9885345754209961,1,70,0.023647438194195628
PLA2G2E,30,2.1795215649688737,0.011823719097097814,0.04398423504120387,25,30,2.1795215649688737,0.9885345754209961,1,69,0.023647438194195628
TAS2R13,30,2.167237089551312,0.012540308133285561,0.04485571755367528,26,30,2.167237089551312,0.9878179863848083,1,68,0.025080616266571123
RPS24,39,2.1026377695100478,0.01827302042278753,0.0629404036784904,27,39,2.1026377695100478,0.9820852740953063,1,67,0.03654604084557506
CABP5,30,2.0525063173046765,0.022214260121820137,0.07238784763834492,28,30,2.0525063173046765,0.9781440343962737,1,66,0.044428520243640274
DMRTB1,30,2.047739058095294,0.02257255463991401,0.07238784763834492,29,30,2.047739058095294,0.9777857398781798,1,65,0.04514510927982802
OC90,30,2.0092368327673467,0.029021855965603725,0.08996775349337155,30,30,2.0092368327673467,0.9713364385524902,1,64,0.05804371193120745
IL22,30,1.9247790535738936,0.049086348978860626,0.1426572017198137,31,30,1.9247790535738936,0.9512719455392332,1,63,0.09817269795772125
NPHS2,30,1.9234957527224887,0.049086348978860626,0.1426572017198137,32,30,1.9234957527224887,0.9512719455392332,1,62,0.09817269795772125
OR9Q2,30,1.9039230087654433,0.05302758867789323,0.14944138627406275,33,30,1.9039230087654433,0.9473307058402006,1,61,0.10605517735578646
LHX5,30,1.8714832637022287,0.06915084199211752,0.18914789133138027,34,30,1.8714832637022287,0.9312074525259764,1,60,0.13830168398423504
ADH7,30,1.861087289281647,0.07595843783590112,0.20183242053539438,35,30,1.861087289281647,0.9243998566821927,1,59,0.15191687567180223
RPTN,30,1.843179518387626,0.08455750627015407,0.21844022453123135,36,30,1.843179518387626,0.9158007882479398,1,58,0.16911501254030814
KRT77,30,1.8344254689413961,0.08849874596918667,0.22244279392255029,37,30,1.8344254689413961,0.9118595485489072,1,57,0.17699749193837333
PIWIL3,30,1.7718721392649583,0.12182013615191688,0.2981387542665334,38,30,1.7718721392649583,0.878538158366177,1,56,0.24364027230383375
FCRL4,30,1.7555728467119605,0.13113579362235758,0.3127084309456219,39,30,1.7555728467119605,0.8692225008957363,1,55,0.26227158724471517
IL1F10,30,1.707140031587573,0.15764958796130418,0.36653529201003227,40,30,1.707140031587573,0.8427087065567896,1,54,0.31529917592260837
DMRTC2,30,1.6614377362243622,0.17198136868505912,0.39010408018806086,41,30,1.6614377362243622,0.8283769258330348,1,53,0.34396273737011823
