id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,twosided.p.value
RPL34,9,4.6384e-6,4.4928e-5,0.004178,1,9,-2.4985,1,1,0.999995,93,0,-2.4985,8.9856e-5
POLA1,9,3.657e-5,2.4461e-4,0.009633,2,9,-2.0081,0.99996,0.99997,0.999995,92,0,-2.0081,4.8922e-4
COPZ1,14,4.8019e-5,3.3446e-4,0.009633,3,10,-1.4797,0.99197,0.99776,0.999995,86,2,-1.4797,6.6892e-4
NUP93,6,6.953e-5,4.1433e-4,0.009633,4,6,-3.0065,0.99993,0.99993,0.999995,91,0,-3.0065,8.2866e-4
RPS24,18,1.0941e-4,0.0010134,0.01445,5,14,-0.96522,0.78249,0.95751,0.999995,74,2,-0.96522,0.0020268
RPL11,14,1.2247e-4,0.0010034,0.01445,6,10,-1.6741,0.91952,0.98421,0.999995,81,3,-1.6741,0.0020068
RPL6,9,1.6373e-4,0.001243,0.01445,7,8,-2.1778,0.49909,0.76081,0.999995,65,1,-2.1778,0.002486
NUP54,12,2.1204e-4,0.001882,0.019447,8,10,-0.26741,0.77349,0.93338,0.999995,72,2,-0.26741,0.003764
POLR2D,6,2.42e-4,0.001223,0.01445,9,6,-1.9745,0.99976,0.99981,0.999995,90,0,-1.9745,0.002446
PSMA3,7,4.3691e-4,0.0026108,0.02428,10,5,-2.2048,0.99169,0.99193,0.999995,85,0,-2.2048,0.0052216
RPS7,13,8.2798e-4,0.0057957,0.049,11,10,-0.8433,0.78191,0.94118,0.999995,73,2,-0.8433,0.0115914
PSMD1,10,0.0013471,0.0083715,0.064879,12,8,-1.6451,0.99858,0.9984,0.999995,88,0,-1.6451,0.016743
RPS8,12,0.0033415,0.019703,0.140954,13,9,-0.77167,0.99963,0.99964,0.999995,89,0,-0.77167,0.039406
RPL30,10,0.0045812,0.024506,0.155463,14,3,0.015872,0.79988,0.93049,0.999995,76,1,0.015872,0.049012
PSMD7,8,0.0055474,0.025075,0.155463,15,6,-0.69408,0.37134,0.64462,0.999995,59,1,-0.69408,0.05015
RPL36,14,0.0105,0.055186,0.270122,16,6,0.017508,0.40171,0.74208,0.999995,61,6,0.017508,0.110372
NUP205,7,0.010504,0.042836,0.22132,17,5,-1.4505,0.99709,0.99737,0.999995,87,0,-1.4505,0.085672
POLR2A,5,0.010987,0.038024,0.221012,18,4,-2.2465,0.03962,0.12004,0.483005,22,1,-2.2465,0.076048
COPB1,4,0.013034,0.0404,0.221012,19,3,-1.5689,0.87698,0.87926,0.999995,78,1,-1.5689,0.0808
RPS27,4,0.021396,0.05876,0.273236,20,3,-1.0913,0.89532,0.89537,0.999995,80,1,-1.0913,0.11752
POLR2F,6,0.046519,0.13229,0.559234,21,4,-0.30644,0.52985,0.74441,0.999995,68,2,-0.30644,0.26458
COPA,8,0.046923,0.14838,0.599956,22,5,-0.22283,0.40931,0.68033,0.999995,62,2,-0.22283,0.29676
NUP98,4,0.054784,0.12762,0.559234,23,3,-0.4046,0.95447,0.95413,0.999995,82,0,-0.4046,0.25524
NUP133,7,0.06368,0.17858,0.691988,24,4,-0.41096,0.50602,0.73233,0.999995,66,3,-0.41096,0.35716
RPS19,16,0.10333,0.32675,0.999965,25,8,-0.27525,0.10036,0.35031,0.707669,40,5,-0.27525,0.6535
PSMD6,7,0.10373,0.25438,0.946277,26,4,-0.13737,0.98453,0.98465,0.999995,84,0,-0.13737,0.50876
PSMD11,8,0.10781,0.27593,0.986983,27,3,0.062953,0.18688,0.43612,0.767374,48,4,0.062953,0.55186
PSMC2,13,0.15024,0.39189,0.999965,28,4,-0.026379,0.79225,0.94408,0.999995,75,2,-0.026379,0.78378
RPL5,7,0.15799,0.34943,0.999965,29,3,-0.0027694,0.97532,0.97635,0.999995,83,1,-0.0027694,0.69886
RPL3,12,0.16298,0.41055,0.999965,30,5,0.020952,0.18972,0.48428,0.83403,49,4,0.020952,0.8211
RPS11,8,0.20276,0.41972,0.999965,31,4,-0.076794,0.82306,0.92295,0.999995,77,2,-0.076794,0.83944
COPS4,5,0.2805,0.44549,0.999965,32,2,-1.0874e-4,0.17325,0.35764,0.707669,46,2,-1.0874e-4,0.71528
PSMC1,10,0.32681,0.58545,0.999965,33,4,0.014792,0.48209,0.76922,0.999995,64,4,0.014792,1
RPL9,12,0.40039,0.67815,0.999965,34,3,0.020596,0.88222,0.96901,0.999995,79,3,0.020596,1
RPL27,10,0.43972,0.69408,0.999965,35,2,0.088699,0.042778,0.16554,0.499289,27,6,0.088699,0.33108
RPL18A,7,0.49013,0.67487,0.999965,36,2,0.05788,0.26009,0.50923,0.845677,55,4,0.05788,1
PSMB3,7,0.51315,0.68944,0.999965,37,2,0.048123,0.041031,0.14349,0.483005,24,4,0.048123,0.28698
RPL35A,10,0.62344,0.81229,0.999965,38,3,0.036556,0.030966,0.13076,0.483005,20,4,0.036556,0.26152
RPS3A,6,0.64211,0.768,0.999965,39,1,0.069305,0.019394,0.07169,0.405729,17,3,0.069305,0.14338
COPS6,3,0.65398,0.65417,0.999965,40,1,0.099956,0.091534,0.19866,0.511094,38,2,0.099956,0.39732
OR12D2,3,0.68949,0.68904,0.999965,41,1,0.051183,0.1038,0.21334,0.511094,43,2,0.051183,0.42668
KRT25,3,0.71304,0.71296,0.999965,42,0,0.10069,0.018086,0.047598,0.368887,15,2,0.10069,0.095196
DMRTC2,4,0.74258,0.74747,0.999965,43,1,0.030967,0.0087559,0.028829,0.368887,8,2,0.030967,0.057658
OR9Q2,1,0.75915,0.7608,0.999965,44,0,0.093324,0.24085,0.24068,0.559575,54,1,0.093324,0.48136
VN1R2,8,0.78971,0.88114,0.999965,45,2,0.0047119,0.32296,0.59849,0.976486,58,3,0.0047119,1
POU4F2,5,0.79079,0.80466,0.999965,46,1,0.062106,0.23619,0.43732,0.767374,53,3,0.062106,0.87464
OR52E8,1,0.79283,0.79454,0.999965,47,0,0.087377,0.20717,0.2069,0.511094,50,1,0.087377,0.4138
COPS2,6,0.82768,0.84651,0.999965,48,1,0.073544,0.043833,0.14271,0.483005,28,3,0.073544,0.28542
RNASE9,4,0.83772,0.83806,0.999965,49,0,0.079348,0.053077,0.13949,0.483005,29,3,0.079348,0.27898
TAS2R13,4,0.83921,0.83955,0.999965,50,0,0.058732,0.21511,0.39977,0.743575,51,3,0.058732,0.79954
NLRP5,5,0.88714,0.8882,0.999965,51,0,0.0191,0.060696,0.1679,0.499289,33,2,0.0191,0.3358
FAM71B,4,0.88756,0.88778,0.999965,52,0,0.046221,0.18283,0.35274,0.707669,47,2,0.046221,0.70548
KRT74,4,0.91434,0.91391,0.999965,53,0,0.067326,0.082253,0.19136,0.511094,36,3,0.067326,0.38272
NPHS2,7,0.91716,0.91973,0.999965,54,1,0.057248,0.09103,0.257,0.569074,37,4,0.057248,0.514
LUZP4,7,0.92189,0.92345,0.999965,55,1,0.080053,0.041848,0.14542,0.483005,26,5,0.080053,0.29084
TRIM42,3,0.92226,0.92107000000000006,0.999965,56,0,0.048674,0.077742,0.17722,0.499437,35,3,0.048674,0.35444
PSMB2,6,0.92299,0.9225,0.999965,57,0,0.074556,0.1671,0.37101,0.718827,45,3,0.074556,0.74202
CABP5,4,0.92494,0.92443,0.999965,58,0,0.11497,0.002925,0.010508,0.322772,3,3,0.11497,0.021016
PIWIL3,7,0.92747,0.92803,0.999965,59,1,0.027906,0.58423,0.78838,0.999995,70,3,0.027906,1
TPH2,7,0.92961,0.93008,0.999965,60,1,0.077371,0.071574,0.21433,0.511094,34,5,0.077371,0.42866
ABCG8,5,0.93153,0.93225,0.999965,61,0,0.1093,0.01153,0.045701,0.368887,10,4,0.1093,0.091402
MRGPRD,5,0.93239,0.9331,0.999965,62,0,0.041746,0.2283,0.42689,0.767374,52,2,0.041746,0.85378
RPTN,5,0.93323,0.93399,0.999965,63,0,0.069848,0.10161,0.25346,0.569074,41,4,0.069848,0.50692
KRT77,4,0.9375,0.93684,0.999965,64,0,0.057908,0.55068,0.6953,0.999995,69,2,0.057908,1
RPS9,14,0.93836,0.97573,0.999965,65,2,0.054123,0.12545,0.38937,0.739005,44,8,0.054123,0.77874
DEFB129,6,0.93902,0.93909,0.999965,66,0,0.076362,0.055002,0.1718,0.499289,30,3,0.076362,0.3436
PLA2G2E,5,0.93968,0.94028,0.999965,67,0,0.041866,0.46454,0.66043,0.999995,63,2,0.041866,1
IL22,7,0.94132,0.94126,0.999965,68,0,0.076307,0.099551,0.27506,0.591911,39,5,0.076307,0.55012
TAS2R9,7,0.9431,0.94311,0.999965,69,0,0.076306,0.10203,0.28004,0.591911,42,4,0.076306,0.56008
RPS13,3,0.94388,0.94295,0.999965,70,0,0.06262,0.056125,0.13212,0.483005,31,3,0.06262,0.26424
RXFP2,6,0.94631,0.94687,0.999965,71,0,0.053507,0.26826,0.50743,0.845677,56,3,0.053507,1
LHX5,5,0.9618,0.96179,0.999965,72,0,0.10879,0.011045,0.043964,0.368887,9,4,0.10879,0.087928
COPS8,10,0.96968,0.97277,0.999965,73,1,0.090006,0.011661,0.059359,0.405729,11,7,0.090006,0.118718
TAAR8,7,0.97019,0.97051,0.999965,74,0,0.085376,0.0076796,0.035797,0.368887,7,5,0.085376,0.071594
OTUD6A,8,0.97217,0.97189,0.999965,75,0,0.057898,0.058779,0.19634,0.511094,32,6,0.057898,0.39268
KRT9,5,0.97224,0.97234,0.999965,76,0,0.13723,0.0032101,0.013883,0.322772,4,4,0.13723,0.027766
ADH7,9,0.97231,0.97183,0.999965,77,0,0.058464,0.041264,0.15798,0.499289,25,7,0.058464,0.31596
SPATA16,5,0.97653,0.97672,0.999965,78,0,0.1124,0.018838,0.068944,0.405729,16,4,0.1124,0.137888
MAGEB3,8,0.97856,0.97836,0.999965,79,0,0.078885,0.013216,0.061196,0.405729,12,7,0.078885,0.122392
PSMC4,9,0.97948,0.97883,0.999965,80,0,0.040068,0.38542,0.67591,0.999995,60,4,0.040068,1
TGM6,3,0.98274,0.98262,0.999965,81,0,0.11404,0.017257,0.045671,0.368887,14,3,0.11404,0.091342
CYP7A1,8,0.98574,0.98591,0.999965,82,0,0.054518,0.63479,0.83192,0.999995,71,3,0.054518,1
IL1F10,11,0.98811,0.9884,0.999965,83,0,0.093818,0.023201,0.10585,0.483005,18,7,0.093818,0.2117
HTR3D,8,0.99052,0.99029,0.999965,84,0,0.076643,0.016635,0.074166,0.405729,13,6,0.076643,0.148332
TAAR1,7,0.99063,0.99077,0.999965,85,0,0.052299,0.51929,0.74186,0.999995,67,3,0.052299,1
NPSR1,6,0.99167,0.99194,0.999965,86,0,0.062212,0.04049,0.13357,0.483005,23,5,0.062212,0.26714
DMRTB1,8,0.99313,0.9928,0.999965,87,0,0.070034,0.032838,0.12384,0.483005,21,6,0.070034,0.24768
CRYGB,6,0.9953,0.99546,0.999965,88,0,0.084946,0.0046964,0.02203,0.341458,6,6,0.084946,0.04406
LYZL6,5,0.99553,0.99542,0.999965,89,0,0.10378,0.0044735,0.018745,0.341458,5,5,0.10378,0.03749
SAGE1,11,0.9961,0.99619,0.999965,90,0,0.044392,0.30165,0.61976,0.993749,57,6,0.044392,1
FCRL4,9,0.99649,0.99621,0.999965,91,0,0.071817,0.026881,0.11167,0.483005,19,7,0.071817,0.22334
OC90,6,0.99956,0.99961,0.999965,92,0,0.1043,4.4192e-4,0.0023013,0.10701,2,6,0.1043,0.0046026
OLIG2,12,0.99997,0.99997,0.999965,93,0,0.098304,2.9679e-5,3.0451e-4,0.028319,1,12,0.098304,6.0902e-4
