Gene,pos.pvalue,pos.fdr,neg.pvalue,neg.fdr,p.value.twosides
ABCG8,0.02992248466788483,0.13725353059380369,0.9905376666586847,0.9999676685316425,0.05984496933576966
ADH7,0.41347043619202395,0.6746096590501444,0.8335650099878669,0.9999676685316425,0.8269408723840479
CABP5,0.0012520803286678595,0.03881449018870364,0.9969190321012316,0.9999676685316425,0.002504160657335719
COPA,0.9720533523432515,1,0.10212945332747558,0.43172905270251044,0.20425890665495117
COPB1,0.9999813213373174,1,3.5330860081828064e-4,0.0032857699876100103,7.066172016365613e-4
COPS2,0.03280490503664002,0.13725353059380369,0.8158064024391363,0.9999676685316425,0.06560981007328004
COPS4,0.8236165702152034,1,0.36780081529375463,0.9999676685316425,0.7356016305875093
COPS6,0.21116807015115924,0.41784320263952784,0.895111174659372,0.9999676685316425,0.4223361403023185
COPS8,0.03304107018968361,0.13725353059380369,0.9923718691003744,0.9999676685316425,0.06608214037936722
COPZ1,0.9999728896141679,1,5.181247001492251e-4,0.004380508828534357,0.0010362494002984501
CRYGB,0.03542026595969128,0.13725353059380369,0.9818537352119185,0.9999676685316425,0.07084053191938255
CYP7A1,0.18107843501031273,0.3903497474085981,0.9288912860808786,0.9999676685316425,0.36215687002062547
DEFB129,0.059999470045226766,0.2146134890079265,0.9782434960086309,0.9999676685316425,0.11999894009045353
DMRTB1,0.140379228405489,0.33475046773616607,0.9586209231527076,0.9999676685316425,0.280758456810978
DMRTC2,0.36649744746384205,0.6311900484099502,0.7986619855981301,0.9999676685316425,0.7329948949276841
FAM71B,0.11994495881598688,0.30985781027463277,0.9672716366477496,0.9999676685316425,0.23988991763197376
FCRL4,0.1584365234009948,0.3593804067388418,0.9318699937595178,0.9999676685316425,0.3168730468019896
HTR3D,0.03498165410107423,0.13725353059380369,0.9755531688822789,0.9999676685316425,0.06996330820214847
IL1F10,0.10505526559979839,0.27914684859375,0.910827888580751,0.9999676685316425,0.21011053119959677
IL22,0.08847337209444417,0.2654201162833325,0.9721425023116441,0.9999676685316425,0.17694674418888834
KRT25,0.08207279251271404,0.2631989552993933,0.9845263297546464,0.9999676685316425,0.1641455850254281
KRT74,0.08577304422045984,0.2654201162833325,0.79407390613244,0.9999676685316425,0.17154608844091968
KRT77,0.23697564353566425,0.4497700989554444,0.902413526554373,0.9999676685316425,0.4739512870713285
KRT9,4.527389779348523e-4,0.02105236247397063,0.9999676685316425,0.9999676685316425,9.054779558697046e-4
LHX5,0.016821430234775447,0.1335941763243924,0.9870659980755212,0.9999676685316425,0.033642860469550895
LUZP4,0.16828261823236768,0.37262579751452846,0.9273079069773624,0.9999676685316425,0.33656523646473535
LYZL6,0.031115285758864242,0.13725353059380369,0.9447511353644881,0.9999676685316425,0.062230571517728483
MAGEB3,0.09583478036043669,0.27007983556123066,0.9817715924749317,0.9999676685316425,0.19166956072087338
MRGPRD,0.010903203990479282,0.11066875798487989,0.9948082990236894,0.9999676685316425,0.021806407980958564
NLRP5,0.3736943348604268,0.6318831480367216,0.7056944922938615,0.9999676685316425,0.7473886697208536
NPHS2,0.03102131938073971,0.13725353059380369,0.978288179144702,0.9999676685316425,0.06204263876147942
NPSR1,0.09416790294168642,0.27007983556123066,0.9750091095512073,0.9999676685316425,0.18833580588337284
NUP133,0.993952644855692,1,0.04140797900117987,0.2026811603741962,0.08281595800235975
NUP205,0.9999266929654566,1,9.363979951443335e-4,0.007257084462368585,0.001872795990288667
NUP54,0.9903260697533534,1,0.06009192701207722,0.2794274606061591,0.12018385402415444
NUP93,1,1,0,0,0
NUP98,0.9944507217759442,1,0.03963655573987368,0.2026811603741962,0.07927311147974736
OC90,0.006471330477885173,0.10030562240722019,0.9993905720792621,0.9999676685316425,0.012942660955770346
OLIG2,0.003538007786722863,0.08225868104130657,0.9993782839956704,0.9999676685316425,0.007076015573445726
OR12D2,0.02298394431387396,0.1335941763243924,0.9757988214935217,0.9999676685316425,0.04596788862774792
OR52E8,0.022948349399099954,0.1335941763243924,0.952475939616035,0.9999676685316425,0.04589669879819991
OR9Q2,0.02100050126791797,0.1335941763243924,0.9740984159419404,0.9999676685316425,0.04200100253583594
OTUD6A,0.05205700107811417,0.19365204401058472,0.9767590213672395,0.9999676685316425,0.10411400215622835
PIWIL3,0.21625573512829155,0.41899548681106485,0.895964069654805,0.9999676685316425,0.4325114702565831
PLA2G2E,0.18887891003641843,0.3903497474085981,0.9522849327255304,0.9999676685316425,0.37775782007283687
POLA1,0.9999949834662303,1,1.1728910096220346e-4,0.001558269484212132,2.3457820192440693e-4
POLR2A,0.9999994333956265,1,1.4631074568005609e-5,3.5466498938581116e-4,2.9262149136011217e-5
POLR2D,0.9999963794154387,1,8.253256516166374e-5,0.001279254760005788,1.6506513032332748e-4
POLR2F,0.988998136957136,1,0.066126376787074,0.2928453829141849,0.132252753574148
POU4F2,0.2468673022523089,0.4591731821892946,0.9042727447111799,0.9999676685316425,0.4937346045046178
PSMA3,0.9999994333956265,1,1.71866638954965e-5,3.5466498938581116e-4,3.4373327790993e-5
PSMB2,0.009978419711357267,0.11066875798487989,0.9980274186453203,0.9999676685316425,0.019956839422714534
PSMB3,0.2910664934294931,0.5205612286335165,0.886677547924684,0.9999676685316425,0.5821329868589862
PSMC1,0.5899633420871085,0.9144431802350182,0.5743860658511057,0.9999676685316425,1
PSMC2,0.8646729048477702,1,0.3668311253896299,0.9999676685316425,0.7336622507792598
PSMC4,0.33503447367235184,0.5878906802175231,0.8453753810205435,0.9999676685316425,0.6700689473447037
PSMD1,0.9999887461821624,1,2.445036611989915e-4,0.0026920814400221613,4.89007322397983e-4
PSMD11,0.7491590264489756,1,0.3855244726493381,0.9999676685316425,0.7710489452986762
PSMD6,0.9761991645702262,1,0.11331763525615679,0.45819739473141663,0.22663527051231358
PSMD7,0.9980057219968653,1,0.01778831221618893,0.09731253153562179,0.03557662443237786
RNASE9,0.06509531490200149,0.2242171957735607,0.985491197270965,0.9999676685316425,0.13019062980400298
RPL11,0.9999878367784794,1,2.605240103247253e-4,0.0026920814400221613,5.210480206494505e-4
RPL18A,0.4003319914514356,0.6648370572318485,0.8119907361170355,0.9999676685316425,0.8006639829028712
RPL27,0.02100754476755573,0.1335941763243924,0.9944860844681821,0.9999676685316425,0.04201508953511146
RPL3,0.669823700344689,1,0.5485031733024461,0.9999676685316425,1
RPL30,0.6799147289932479,1,0.626174138007973,0.9999676685316425,1
RPL34,0.9999998941250552,1,2.706149257791779e-6,1.2583594048731772e-4,5.412298515583558e-6
RPL35A,0.15585936408053702,0.3593804067388418,0.912848197902223,0.9999676685316425,0.31171872816107404
RPL36,0.7800866252185515,1,0.40654813899983755,0.9999676685316425,0.8130962779996751
RPL5,0.8299607826835351,1,0.3110088682591915,0.9999676685316425,0.622017736518383
RPL6,0.9999993030535431,1,1.9068010182032857e-5,3.5466498938581116e-4,3.8136020364065715e-5
RPL9,0.8203983468957925,1,0.38132771882750205,0.9999676685316425,0.7626554376550041
RPS11,0.9689991339474922,1,0.1412856470848749,0.5474818824538903,0.2825712941697498
RPS13,0.029293091103254953,0.13725353059380369,0.9938394754099455,0.9999676685316425,0.05858618220650991
RPS19,0.9357034833785589,1,0.19504978255019156,0.7255851910867127,0.39009956510038313
RPS24,0.9987901063862122,1,0.011707858939686844,0.07430891732757304,0.023415717879373688
RPS27,0.9994641645981037,1,0.006202945441213137,0.04437491738714013,0.012405890882426274
RPS3A,0.10252683764209491,0.27914684859375,0.9519551085654163,0.9999676685316425,0.20505367528418983
RPS7,0.9987717047561944,1,0.011985309246382747,0.07430891732757304,0.023970618492765494
RPS8,0.9984287825728645,1,0.014509244571135338,0.08433498406972414,0.029018489142270676
RPS9,0.2016227530955187,0.4076286095192009,0.8876251314553356,0.9999676685316425,0.4032455061910374
RPTN,0.12979184249155118,0.31764845662405944,0.9550386539925703,0.9999676685316425,0.25958368498310236
RXFP2,0.18688780221032342,0.3903497474085981,0.947969850722176,0.9999676685316425,0.37377560442064683
SAGE1,0.27414084657114457,0.4999038966885577,0.8995918110658663,0.9999676685316425,0.5482816931422891
SPATA16,0.0063382093465976785,0.10030562240722019,0.9977434270514086,0.9999676685316425,0.012676418693195357
TAAR1,0.07063405219227548,0.2346059590672007,0.9773670693257852,0.9999676685316425,0.14126810438455095
TAAR8,0.018417590729515654,0.1335941763243924,0.9879601554199825,0.9999676685316425,0.03683518145903131
TAS2R13,0.011899866449987084,0.11066875798487989,0.9000116962260147,0.9999676685316425,0.02379973289997417
TAS2R9,0.12756154248116802,0.31764845662405944,0.9497978458239608,0.9999676685316425,0.25512308496233604
TGM6,0.010465113357705724,0.11066875798487989,0.9928931776156122,0.9999676685316425,0.02093022671541145
TPH2,1.3972347260982065e-4,0.01299428295271332,0.9999224710563692,0.9999676685316425,2.794469452196413e-4
TRIM42,0.4349926165977569,0.6974881610964033,0.7771229802138562,0.9999676685316425,0.8699852331955138
VN1R2,0.5869013365386421,0.9144431802350182,0.7140650636441082,0.9999676685316425,1
