gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
NUP93,6,6,-2.582180398950605,-4.752792044879573,2.006266716632276e-6,1.1783745201853101e-5,0.4044570028682532
RPL34,9,9,-2.0044756884416977,-3.5697123664122987,3.5737340540546454e-4,9.775213736090648e-4,0.5054701451539864
POLR2D,6,6,-1.7453741797994111,-3.076970660417455,0.002091158824811103,0.0045227388536612225,0.5006222657963
POLA1,9,9,-1.6774672294121846,-3.707859641198519,2.0901844818040866e-4,6.27055344541226e-4,0.4040155303332382
PSMA3,7,7,-1.5650222691952718,-2.8466424407687443,0.004418295783579623,0.008932641475497934,0.5020367293295228
RPL6,9,9,-1.4924676063819031,-3.2269669714750835,0.0012510990069950487,0.0029217513144124945,0.42402919152357527
POLR2A,5,5,-1.4886385032850722,-2.146997955492775,0.03179344438216894,0.050115090297317144,0.6395417020477987
COPB1,4,4,-1.3803642587740246,-1.8342146269107011,0.0666221410396965,0.09532090948756577,0.694036378415145
RPL11,14,14,-1.3504543162479434,-3.4146092814216296,6.387356482394506e-4,0.0016054706834126731,0.3724592725665051
COPZ1,14,14,-1.293836627800077,-3.532555032738164,4.115645548792878e-4,0.001093585817250679,0.3435645497816598
NUP205,7,7,-1.274485173123336,-2.288224830863225,0.022124431390444965,0.036742359273417534,0.5236860862579396
PSMD1,10,10,-1.2201630276993316,-3.2256960790768514,0.0012566672320053738,0.0029217513144124945,0.35010218165835605
RPS8,12,12,-1.0350790121394986,-2.701811325288748,0.0068962883839229295,0.013361558743850676,0.3658829117930005
RPS7,13,13,-0.9748883003618114,-2.694669450954851,0.00704584902426448,0.013372733862379525,0.34688550230739207
RPS24,18,18,-0.8803514148003968,-3.635880692331329,2.7703253625119945e-4,8.051258084800484e-4,0.22990270130849946
RPL36,14,14,-0.7646084113867924,-2.106859881105405,0.03512972706803609,0.052694590602054135,0.35378332851261507
RPS11,8,8,-0.7435288315713507,-1.4748245707617171,0.14025971357281095,0.1863450480324488,0.49080503170277756
RPS27,4,4,-0.7373030597404533,-1.7618687268346582,0.07809147951513484,0.10970761273957703,0.38785500312387516
RPL30,10,10,-0.6332986797103084,-1.4013048823660794,0.16112292182289173,0.21104833421871735,0.4431210403457602
PSMD7,8,8,-0.6319848254589592,-2.1235377176543135,0.03370881834296474,0.051392132883536404,0.2839703804781719
PSMD11,8,8,-0.552927363300569,-1.2768977137947413,0.20163836139396185,0.2500315681285127,0.42352912883323224
COPA,8,8,-0.49131054021689446,-1.3823171024817171,0.16687435696653646,0.2155460444151096,0.34680142683984155
PSMD6,7,7,-0.42010019066470705,-1.2150351054766917,0.22435270240200914,0.274536859518248,0.33751677361487475
PSMC2,13,13,-0.3717096911150476,-1.343539091901922,0.1790974767355248,0.22508196400545688,0.2727833719819383
NUP133,7,7,-0.3700303007479698,-1.2017878626659761,0.22944572913232741,0.2771227637572266,0.300661559318187
RPL5,7,7,-0.369037967947739,-1.1463518988575117,0.2516495768595328,0.30004372625559683,0.31475942875501595
RPS19,16,16,-0.36717745838437205,-1.7563031058718572,0.07903666724249098,0.10970761273957703,0.20561972995689004
NUP54,12,12,-0.2834841286796317,-1.5439562071493815,0.12259894207026918,0.1652420523555802,0.18023185653716514
RPL3,12,12,-0.17173052309116368,-0.7705968377973657,0.44094593612502553,0.4967600680547253,0.22092472543427935
PSMC1,10,10,-0.16614765326672792,-0.5036039787177949,0.61453969610429,0.6645603690430113,0.3272014197894107
NUP98,4,4,-0.15099611544781957,-0.9854202307128695,0.3244176963484786,0.3771355720051064,0.14784077920032979
RPL18A,7,7,-0.12574241549634824,-0.4488910628607268,0.6535102434315996,0.6906415072629405,0.2768920029675926
POLR2F,6,6,-0.11803648320813534,-0.5730507093085989,0.5666103598752373,0.6199383937458479,0.20287858578304951
COPS4,5,5,-0.08508224202972743,-0.3057362651124599,0.7598054590275245,0.7939540189838178,0.27408546058450023
RPL9,12,12,-0.014611143665389972,-0.07455098909690142,0.9405719705774261,0.9561812294434483,0.194920471644161
RPL27,10,10,0.012876740948033004,0.06039633308017683,0.951839979106099,0.9561812294434483,0.21180098681967835
RPL35A,10,10,0.01499362635643754,0.11127479647653289,0.9113984407666189,0.941778388792173,0.13384964890455306
RPS3A,6,6,0.015045682707902821,0.054946320157101304,0.9561812294434483,0.9561812294434483,0.270722675835787
TAS2R9,7,7,0.08667461585841528,0.4824436555317822,0.629490815363775,0.6729039750440353,0.1775342392603976
PSMB3,7,7,0.10082060190753825,0.7248074287423709,0.46857017773162046,0.5187741253457226,0.1370625871982451
VN1R2,8,8,0.10555595709501688,0.7665569038179753,0.44334500697357204,0.4967600680547253,0.135881430242638
POU4F2,5,5,0.19942274669171917,2.3134443682113575,0.02069822008652878,0.03564693459346623,0.07863809289549263
TAS2R13,4,4,0.2124707538011408,1.3460845331450921,0.17827525611772696,0.22508196400545688,0.14991615270959824
PIWIL3,7,7,0.23683189406656166,3.9381645117379,8.210729425052719e-5,2.6330959880341477e-4,0.05080426133402128
RPS9,14,14,0.23935855901951422,6.278060794510947,3.4282187558718113e-10,7.970608607401961e-9,0.03122595821193483
PSMB2,6,6,0.24076375219525573,2.1312329477797545,0.03306995592593907,0.05125843168520555,0.10587421166859988
PSMC4,9,9,0.24138882855730917,5.3639171823161025,8.143625353523758e-8,7.573571578777096e-7,0.03552335961377366
TPH2,7,7,0.24299212236638887,0.8217817730164781,0.4112011091882608,0.4721197920309661,0.2909304211977942
COPS6,3,3,0.24539826765617567,1.92454191880709,0.054286691651468405,0.07888534880604002,0.11259121067803649
OR12D2,3,3,0.24632963036364083,2.0066039875834476,0.04479184639671668,0.06612129706181986,0.10743127360532928
ADH7,9,9,0.2507635266788061,5.376939305346478,7.576269892973226e-8,7.573571578777096e-7,0.0367699391497364
PLA2G2E,5,5,0.2516572903365383,3.443541231838193,5.741490397936456e-4,0.0014832183528002514,0.060336215057445984
FAM71B,4,4,0.25327299451068724,2.858387229789819,0.004258004263705494,0.00879987547832469,0.07435125217847813
KRT77,4,4,0.2593493512922478,3.1773252830970273,0.0014864021962657866,0.0033715952256760523,0.06585814433644878
OTUD6A,8,8,0.26097451038176833,4.9436746038562855,7.666362427170358e-7,5.9414308810570274e-6,0.041994196401674615
RXFP2,6,6,0.26289933346874156,4.220747809346306,2.43493220927919e-5,1.0151242973635506e-4,0.049415256666403555
SAGE1,11,11,0.26360893609939867,6.653118209998051,2.869475389359869e-11,1.334306056052339e-9,0.029493824029768093
TAAR1,7,7,0.2636484547540856,4.750682631843332,2.0273110024693506e-6,1.1783745201853101e-5,0.043395770380963435
NLRP5,5,5,0.2670528016860584,3.281092664088582,0.0010340576575939,0.0025307200567429656,0.06835910637572783
TRIM42,3,3,0.26827742871843957,2.2065482726089423,0.027345634211166394,0.04384731002824956,0.10392289706385502
RNASE9,4,4,0.26918881670983713,2.9800349134993898,0.002882155318706666,0.006091828287266362,0.07471558425396163
FCRL4,9,9,0.27078308582260535,6.032334940525006,1.616073797245361e-9,3.0058972628763716e-8,0.03318356555233498
NPHS2,7,7,0.27169674096685803,4.096251314943032,4.198940925374819e-5,1.501928869460993e-4,0.055272387812584915
IL22,7,7,0.2717250742591196,4.836433599008551,1.3218940288489662e-6,8.781153191639562e-6,0.043529919325014044
LUZP4,7,7,0.27247079097002486,4.40692828937581,1.0484688056137075e-5,5.1319788906355154e-5,0.05006056098464298
CYP7A1,8,8,0.2725721913645652,4.450240731209886,8.577408794947374e-6,4.43166121072281e-5,0.05091185633973596
NPSR1,6,6,0.2742456270563674,4.375061827552863,1.213980646767458e-5,5.376200007113029e-5,0.048867944763493036
DEFB129,6,6,0.2744302060530499,4.182565518975872,2.882379132193785e-5,1.1169219137250916e-4,0.05227294899767645
IL1F10,11,11,0.27693119837476027,6.407592229348145,1.4783565975857677e-10,4.58290545251588e-9,0.03290312555556153
RPS13,3,3,0.2808470509892552,2.520601366880877,0.011715448923210883,0.02095262980497331,0.09129545735557253
COPS8,10,10,0.28123600899652246,5.406353533889033,6.432077857854939e-8,7.477290509756367e-7,0.04202347326025931
DMRTB1,8,8,0.2812908118711357,5.639603137760365,1.7044253728256927e-8,2.6418593278798236e-7,0.03692887423867454
HTR3D,8,8,0.2824255506447063,5.427426956430721,5.717225193965749e-8,7.477290509756367e-7,0.03942980077973189
RPTN,5,5,0.2824556007295182,3.6163995879930604,2.9872912083600724e-4,8.41872976901475e-4,0.06324894252526878
CRYGB,6,6,0.2857137226418887,4.39283255359762,1.1188330018769393e-5,5.202573458727768e-5,0.05060098263587912
KRT74,4,4,0.28684967954848367,3.091753061927853,0.0019897829868562498,0.004405948042324553,0.07568626677385253
KRT25,3,3,0.28804083157791494,2.2620379993433652,0.023695055652534887,0.03866035395939903,0.10808287368766177
OR52E8,1,1,0.290188286713663,2.355457017376972,0.01849993716399304,0.03246215389153496,0.07562022948021363
OR9Q2,1,1,0.2968203559557682,2.299719302790972,0.0214641278185167,0.0362938888567646,0.08096287010752753
LYZL6,5,5,0.30273948754890284,4.060203002658148,4.903006833600566e-5,1.6888134649068617e-4,0.05715207803134669
TAAR8,7,7,0.3036084644339673,4.645178087435758,3.39783217497656e-6,1.8588140721930594e-5,0.0516753334331516
MAGEB3,8,8,0.30702778738462755,5.259866779415761,1.4415980644271132e-07,1.2188056362883777e-6,0.04501057543141204
ABCG8,5,5,0.31117307831673163,3.9654195675083472,7.326695589523548e-5,2.4335096065203216e-4,0.060898711156408804
LHX5,5,5,0.314414182020625,3.8959249837554517,9.78246658887908e-5,3.032564642552515e-4,0.06318796898615674
DMRTC2,4,4,0.31906944724389347,1.593890283609255,0.11096061106530104,0.15175495336872055,0.18753308626904866
SPATA16,5,5,0.32235794679437585,4.103275125817383,4.073423662047392e-5,1.501928869460993e-4,0.0598713312346243
COPS2,6,6,0.32419558354915234,1.0103823305748458,0.31231214999156937,0.3676586069521007,0.3134974192679888
OLIG2,12,12,0.32438631812237356,7.3320629674016935,2.2663655867723442e-13,2.10771999569828e-11,0.031850128077652924
OC90,6,6,0.32733447720496384,4.844244088468492,1.2709461163921017e-6,8.781153191639562e-6,0.04970868533082433
TGM6,3,3,0.32794773061015897,2.8343638231311217,0.004591702301651028,0.009085708809649908,0.09027567473789125
KRT9,5,5,0.3456515517237966,4.213851624494368,2.51052245584534e-5,1.0151242973635506e-4,0.061574532932134995
MRGPRD,5,5,0.3632107259720775,2.6811104237092307,0.007337829808931887,0.013648363444613312,0.12021796172416549
CABP5,4,4,0.41737131893715546,2.605014026222979,0.009187049892563783,0.01675285568643984,0.13821965882424847
