sgRNA,logFC,logCPM,PValue
RPS24-5,-2.823412749032915,10.344718892525156,0
RPL11-5,-3.045953941084838,10.401195639041559,0
PSMA3-5,-2.7263011721732657,10.10612723901435,9.04486281903595e-183
PSMA3-3,-2.809664977193561,10.251335467919672,0
RPL34-28,-4.132340636883022,9.990267212131116,3.310766930972803e-281
RPS8-20,-2.4321020625871013,10.470457390937138,5.976288354109354e-204
RPL30-17,-2.5515280826443845,10.43756591723249,3.634298338778647e-197
COPZ1-5,-2.2419367762977163,10.514611472927427,0
POLR2D-2,-2.051040313443735,10.645953043172035,4.9349264855903805e-203
COPZ1-11,-2.6702097927401516,10.195877640827755,7.329153563744322e-234
PSMC2-6,-2.4537981320811975,10.325555303867585,4.0170313564719706e-251
RPS7-11,-2.4723729578035583,10.166906046747277,4.540407829124994e-261
RPL30-1,-2.7148020115614155,10.033300536256942,0
POLR2D-7,-3.3204423119021813,9.930704047959463,2.747234317260158e-246
RPS24-20,-1.7882885033119962,10.58611060900753,1.6693835582991756e-55
PSMD1-9,-2.8082720029003148,10.023230785658292,1.331126126721272e-292
PSMD1-1,-1.4942150606195697,10.532248183553618,1.2585888214879086e-164
RPS8-11,-2.226612457761221,10.236437872779065,9.163526134350583e-230
RPL34-15,-2.336846562539269,10.125782835699667,1.6046084622295032e-151
RPL11-2,-2.871689060432611,10.081437561243877,1.3225424344446449e-279
POLA1-22,-2.0713543622827153,10.377571416840059,3.91185598016688e-176
RPL6-18,-2.5042555663237698,9.779325762462241,6.990271115034352e-82
PSMD11-6,-2.407273372402009,10.144698641286002,9.204503533648369e-260
RPL36-9,-1.7561430736724062,10.335331232665288,2.776686126952787e-171
RPL34-17,-3.603499979682246,9.430308046265537,6.652322469600126e-185
NUP205-3,-3.065594849893811,9.864983910187268,3.299942254e-314
RPL6-13,-2.3489638245212436,9.833611413657385,7.947160703909213e-133
RPL30-15,-2.774865001099171,9.789965750188287,1.2359692029736479e-192
RPL6-15,-2.711560713313461,9.830481502490276,6.19864247198264e-230
PSMC1-1,-3.03882899469757,9.655096524414327,1.6223115551565083e-254
RPL36-7,-1.9287735474047225,10.092214949110936,5.1926270990473314e-132
PSMD1-24,-2.454454569409116,9.99397874815844,2.4774748579975506e-186
RPS8-18,-2.3178830168634916,9.94794951559503,1.2791520487339796e-124
RPL36-27,-3.5999442048586014,9.392038747021735,1.8856812913423343e-87
RPL11-1,-2.965100914249185,9.624091517815701,2.9487393882477108e-226
COPZ1-19,-3.2961604164680063,9.393312477499272,2.1941232330299486e-269
RPS19-8,-1.5768584202995464,10.604366467656705,5.360256027560398e-129
NUP93-12,-2.813855874049195,9.514695684075814,4.103345049764052e-142
RPS24-7,-2.24664930529906,9.907511864231456,2.2788661355558365e-161
RPL9-1,-1.841706620635544,10.284547619345522,2.1241895526345066e-142
NUP93-5,-3.1611676831547997,9.536773195433927,8.48232266391091e-227
NUP93-9,-3.8898589887344936,9.172929621428374,1.027333461075924e-133
POLR2A-2,-2.0401725915992426,9.902682331443895,1.1277754617088313e-148
COPB1-14,-3.0415249830303055,9.418133138013758,7.069404056931635e-125
RPS7-20,-2.694202942935966,9.677054014955077,4.677997300758171e-181
COPZ1-6,-2.7891547251134523,9.342591651222106,3.194963627649027e-152
POLA1-3,-2.359551435506545,9.754774591450932,9.762744748128352e-125
RPS8-13,-2.6844518461114535,9.342234949332942,3.158983319106661e-195
RPL6-2,-2.787607465285549,9.413456166510908,3.9809493216196603e-109
POLR2A-6,-3.097902740112778,9.366472971185477,1.7895234757332829e-221
POLR2D-6,-2.697623835076337,9.428197161207642,2.2981024412388038e-163
POLA1-26,-1.6633815266876195,10.208408823277749,8.715228217885106e-153
RPL11-8,-1.9624457961092998,9.684239127894724,8.943710968105124e-109
POLR2D-12,-1.4866126231121972,10.440333521463792,5.932637030290833e-155
PSMA3-2,-2.603041109159988,9.53838133608371,1.8794241395893541e-110
COPZ1-14,-1.9126243995372392,9.697103267826517,4.7615014990705143e-129
PSMD1-7,-1.8605262366866897,10.025044732422108,1.7519655607135307e-129
RPS7-14,-3.066203175198326,9.345954167047644,4.625574942530977e-175
RPL11-7,-1.7067894188663593,10.010396890266586,1.381190150092473e-56
RPL34-25,-3.078968850296508,9.029140716617281,6.244159314340028e-162
COPZ1-9,-1.4612485758370173,10.321505840986683,1.6410471258650424e-142
RPS24-16,-1.7369235705784476,10.090015707720298,4.328102151505736e-65
RPL6-10,-1.9723128843733064,9.73381093037781,7.329932139498954e-121
PSMA3-1,-1.9929685166360545,9.906070856425034,5.3554386962139135e-99
RPL5-24,-1.4356639007880732,10.203757217269304,3.0487758538811802e-108
PSMC2-1,-1.9330851244481868,9.870845499653807,1.9138560769173608e-69
COPZ1-1,-2.4022337385860446,9.275015741756123,1.3488884767055019e-42
COPZ1-8,-1.0871560782629457,10.541791861477554,1.6269588212748255e-59
RPL11-10,-3.1386649696744673,9.116698448956624,2.5330725709122414e-142
NUP93-2,-2.7263662051994793,9.210041199710043,2.9290250937661383e-33
PSMD7-25,-1.7539422682852377,9.851695329026198,3.153964283527529e-107
NUP205-4,-2.8325045513159512,8.871455945627517,1.9189551469941736e-51
RPS27-6,-1.4162060608930107,10.173817993107596,7.026939326985978e-70
RPL11-9,-2.098095835225003,9.62315336712126,1.653028076572819e-118
RPL36-38,-1.9238345773844496,9.59433784015662,1.4239785979807868e-118
NUP205-11,-1.8315366098852575,9.544527324281217,2.5870054818066918e-70
RPS11-8,-1.2850935288618917,9.996638277349975,1.0159293877647621e-58
RPS27-1,-1.264685319917393,10.299890818637742,2.216717524962982e-99
RPL6-3,-1.4626196590324403,9.94956741239459,1.3110216785791685e-72
RPL3-13,-2.0707095354945686,9.457817929990476,3.9066647167063495e-99
RPL36-26,-1.5796456663877754,10.069099560262647,2.743870352690813e-81
RPL34-13,-2.060159494383833,9.51074807078899,4.210964044879073e-89
RPL27-20,-1.3208848586767745,9.843787314288022,5.533102089855622e-36
PSMD11-20,-1.7700063798595806,9.598200475947468,3.164539178559427e-62
PSMD1-27,-1.3886744607553156,10.037224510696381,1.2359144560319072e-85
COPB1-6,-1.0208406947206419,10.203933197566528,1.1505903061193235e-40
NUP133-6,-1.5232651661254228,9.94175617406763,3.837472620609241e-101
RPS8-7,-2.4667651854123456,8.989054385888288,1.5973471044761662e-97
NUP133-4,-1.428260561796874,9.348816383010526,1.6259080746753246e-48
RPS24-19,-1.7058519615099532,9.609856225354047,8.424439674540534e-61
RPL27-15,-1.2515181173997758,10.158026453894522,4.891642988482511e-44
NUP93-13,-1.8349912347825958,9.434866405109098,8.722392995198567e-64
PSMC2-40,-1.3986964697970905,9.937392130783353,2.3882402176658593e-73
POLA1-13,-1.8062383853109387,9.59856034710228,2.906374781467449e-101
PSMD7-2,-1.3289667514910053,9.888406710385658,2.2314528248084654e-54
