gene,log2FC,p_value_neg,p_value_pos,p_value_twosided,fdr_neg,fdr_pos,fdr_twosided
RPL9,-4.523940136001644,1.309686589911198e-8,0.004331625317133034,0.004331625317133034,2.4857316910559472e-8,0.011509747271239204,0.011509747271239204
RPS3A,-5.1395984467311635,1.0031638153269563e-8,0.27091902665981976,0.27091902665981976,1.943629892195978e-8,0.49402881332084786,0.49402881332084786
RPL5,-5.445999399508098,2.472969702164783e-18,1,1,5.805579913450481e-17,1,1
RPS7,-4.107045389903486,0.009018736179780868,0.43976733248287503,0.43976733248287503,0.010228566642922205,0.7573770726093958,0.7573770726093958
RPL34,-5.114246462621498,3.269082139996655e-12,0.9999999999998859,0.9999999999998859,1.1693255346911113e-11,1,1
RPS19,-3.1775869496306526,3.6900314526080256e-7,0.9962423108670495,0.9962423108670495,6.020577633202568e-7,1,1
RPS13,-4.969567226396714,1.5243473054902269e-12,0.7209208480586754,0.7209208480586754,5.9414461626103326e-12,1,1
RPS11,-4.0713454337822395,2.893460173405085e-14,0.9999999996841857,0.9999999996841857,2.0699368932820995e-13,1,1
PSMD1,-4.06379046993501,2.692536844291308e-9,0.9999999976555445,0.9999999976555445,5.564576144868703e-9,1,1
COPS4,-3.7727219518133372,2.4970236186883795e-18,1,1,5.805579913450481e-17,1,1
PSMB2,-4.664273484195986,7.035496506727149e-8,0.5633471542927627,0.5633471542927627,1.1934028626572674e-7,0.9191453570039813,0.9191453570039813
RPL11,-6.00918223117908,4.684653811474026e-13,0.9999999998811686,0.9999999998811686,2.293014760353076e-12,1,1
RPS9,-5.208713526352957,4.93442002299201e-13,0.9999993522412208,0.9999993522412208,2.2945053106912846e-12,1,1
RPL3,-4.350246479340304,5.041649704561072e-17,0.9999999999999722,0.9999999999999722,5.860917781552245e-16,1,1
COPB1,-4.904635280431937,2.8880969568969637e-16,0.9999999999999997,0.9999999999999997,2.984366855460196e-15,1,1
RPL27,-4.09581807154118,2.1387822355592666e-12,0.0018994937744576605,0.0018994937744576605,7.956269916280473e-12,0.005768871963182168,0.005768871963182168
RPS8,-5.165518700773343,2.97519353166871e-10,0.9999932263777427,0.9999932263777427,7.094692267825384e-10,1,1
RPL36,-4.051798002721876,5.251433714142773e-12,0.0397497627550271,0.0397497627550271,1.7442261979117066e-11,0.09016409600530537,0.09016409600530537
POLR2D,-4.679635836025045,3.160186112613443e-18,0.9999999999999989,0.9999999999999989,5.877946169461004e-17,1,1
PSMA3,-3.7139276328800848,3.8278208638611175e-12,0.26095636025584323,0.26095636025584323,1.3184716308854959e-11,0.48537883007586846,0.48537883007586846
NUP93,-3.7595724662508188,3.695068795544586e-13,0.08815842741039998,0.08815842741039998,1.909118877698036e-12,0.18219408331482662,0.18219408331482662
RPL6,-4.270978706355342,1.5332764290607309e-12,0.999999995471264,0.999999995471264,5.9414461626103326e-12,1,1
POLR2A,-4.257690375783708,2.3055057704312747e-13,0.9999999999999996,0.9999999999999996,1.3400752290631784e-12,1,1
POLR2F,-2.2597540571050065,9.670341411624425e-11,0.9999934683038485,0.9999934683038485,2.49817153133631e-10,1,1
PSMC4,-2.8464088000245007,8.66259533281094e-14,0.9997527275102173,0.9997527275102173,5.370809106342783e-13,1,1
PSMD11,-3.2366617100637214,1.003205334714335e-14,1,1,7.774841344036096e-14,1,1
PSMD6,-2.711739710785027,3.5945815832340534e-10,0.05399522127018702,0.05399522127018702,8.357402181019175e-10,0.11412626313925893,0.11412626313925893
NUP98,-3.5299863467076578,6.010706557505074e-15,0.9999999999999998,0.9999999999999998,5.081779180436108e-14,1,1
COPZ1,-2.5674973338471494,1.9860949037005338e-11,0.9999980476263514,0.9999980476263514,5.958284711101602e-11,1,1
POLA1,-1.955009258433678,5.396045020205337e-10,0.00186513172174549,0.00186513172174549,1.223980943607552e-9,0.005768871963182168,0.005768871963182168
PSMD7,-3.4699352215999077,3.864940075374843e-14,0.9999999999999876,0.9999999999999876,2.5674244786418596e-13,1,1
TPH2,-0.9115141510577534,2.1495844953809545e-4,2.2804481242278516e-4,2.2804481242278516e-4,2.7032547828046956e-4,0.0011782315308510568,0.0011782315308510568
COPA,-2.2835499094502034,1.4991829544839982e-11,0.007275255028711545,0.007275255028711545,4.6474671589003943e-11,0.01780522941237299,0.01780522941237299
RPL30,-2.4659722307101393,3.523971103485153e-17,0.9999976568922843,0.9999976568922843,4.681847323201703e-16,1,1
RPL35A,-2.842614347189159,3.375033888259707e-5,0.9492381589375489,0.9492381589375489,4.684748531464966e-5,1,1
PSMB3,-3.49626159831393,6.54148009374196e-10,0.9999999874362195,0.9999999874362195,1.4484705921857197e-9,1,1
COPS6,-2.559629018850692,1.2650502409369744e-10,0.3768609815608032,0.3768609815608032,3.179720875868612e-10,0.6612843638708433,0.6612843638708433
NUP133,-2.624507884211696,7.285953698171376e-11,0.9999999957106507,0.9999999957106507,1.9929226292056997e-10,1,1
RPS24,-3.5627521071350414,1.3627264267239383e-18,1,1,5.805579913450481e-17,1,1
NUP205,-2.5567287165557597,8.351920636541203e-11,0.0506748415964343,0.0506748415964343,2.2192246262809482e-10,0.1095990760108928,0.1095990760108928
RPL18A,-2.753548281655036,3.1780495356496886e-11,0.999999982200131,0.999999982200131,9.236206462981906e-11,1,1
PSMC1,-2.738681239219691,2.876094389237732e-13,0.9999999999999795,0.9999999999999795,1.5733928129359357e-12,1,1
RPTN,-0.03033213433463846,0.1984558867575381,2.407054749140046e-7,2.407054749140046e-7,0.2073752524545061,2.798201145875303e-6,2.798201145875303e-6
RPS27,-2.9565228794445324,1.8269048237989795e-15,0.9999999999999989,0.9999999999999989,1.699021486133051e-14,1,1
CABP5,-0.7601745243747023,1.2945711338545153e-9,0.002432121395339889,0.002432121395339889,2.736252623828862e-9,0.0070683528052065524,0.0070683528052065524
NLRP5,-0.8699072497172847,7.36042096482412e-19,0.13690806576584422,0.13690806576584422,5.805579913450481e-17,0.2709031939622024,0.2709031939622024
COPS2,-2.4769983993390077,3.43762408809427e-17,1,1,4.681847323201703e-16,1,1
RXFP2,0.06385646618151117,5.913097529000638e-4,2.950850161740346e-7,2.950850161740346e-7,7.235764081540254e-4,3.0492118337983578e-6,3.0492118337983578e-6
DMRTC2,-0.4186949375047016,0.12899326920586365,8.131297080767443e-7,8.131297080767443e-7,0.13788935673730254,7.5621062851137225e-6,7.5621062851137225e-6
IL1F10,-1.3326441141255445,5.985684266139788e-7,0.17764290388498538,0.17764290388498538,9.435061639847463e-7,0.3441831262771592,0.3441831262771592
NUP54,-1.8051301108753919,2.5076848401019803e-8,0.8047625674406754,0.8047625674406754,4.664293802589684e-8,1,1
KRT77,-0.3706978057386504,3.62385212783049e-9,0.00656521311073891,0.00656521311073891,7.3264836497442515e-9,0.01696013386940885,0.01696013386940885
TRIM42,-0.858009017651829,6.45410204102092e-8,0.0011479328430940713,0.0011479328430940713,1.1325122449338595e-7,0.004106067477221102,0.004106067477221102
NPHS2,-0.535256690100808,8.009839102836375e-6,0.7047215562829781,0.7047215562829781,1.1639297446309108e-5,1,1
IL22,-1.2321230460557786,5.403280543154646e-13,0.18913676030615753,0.18913676030615753,2.3928813833970575e-12,0.3589738511933194,0.3589738511933194
CRYGB,-1.4640099483981324,1.1451728993552387e-12,0.9999999999259434,0.9999999999259434,4.840958165456236e-12,1,1
FCRL4,-0.61754446821106,6.061596510290545e-8,0.018530548818168714,0.018530548818168714,1.0840932220327321e-7,0.04308352600224226,0.04308352600224226
COPS8,-1.4605728605182786,6.85012419125336e-11,0.6679085532219325,0.6679085532219325,1.930489544807765e-10,1,1
