gene,sgRNA,t_value,dof,p_value_neg,p_value_pos,p_value_twosided,log2FC,fdr_neg,fdr_pos,fdr_twosided
RPL9,TRCN0000117565,-22.376393785834008,2.000220326779692,9.95075323625307e-4,0.9990049246763747,0.0019901506472506103,-11.558457547503478,0.00213941194579441,0.9999998106475553,0.003349968883094444
RPS3A,TRCN0000074712,-15.399697050395897,2.0005114829901016,0.002092885740111483,0.9979071142598885,0.004185771480222922,-9.413551670233918,0.003929846406428987,0.9999998106475553,0.0060942848887393045
RPL5,TRCN0000074994,-46.45609776257159,2.020239066133383,2.1707449372971807e-4,0.9997829255062702,4.341489874593041e-4,-8.781433806154617,7.707295565269342e-4,0.9999998106475553,0.0011939097155130862
RPS7,TRCN0000074765,-18.954052362416533,2.004228878857689,0.0013726093173630288,0.998627390682637,0.0027452186347260987,-8.293770129159162,0.0027394270342308547,0.9999998106475553,0.004243426190279231
RPL34,TRCN0000077925,-55.0256977381644,2.3721371202039694,4.8360800441556615e-5,0.9999516391995584,9.672160088314286e-5,-7.303772927950593,2.3435518100393843e-4,0.9999998106475553,3.7750909069467117e-4
RPL9,TRCN0000117564,-19.290867785098047,2.022261979560974,0.0012712046716917601,0.9987287953283083,0.002542409343383456,-7.0679685652028414,0.002569571836368387,0.9999998106475553,0.003981985494769452
RPS19,TRCN0000074916,-36.07635145643546,2.40772001311393,1.1896451683627555e-4,0.9998810354831638,2.379290336724793e-4,-6.70759887620139,4.7285896187864145e-4,0.9999998106475553,7.45300880311806e-4
RPS13,TRCN0000007174,-20.901976704186186,2.0009202230486354,0.001138025978213005,0.998861974021787,0.002276051956425995,-8.479198208370303,0.00235059514277184,0.9999998106475553,0.0036493985606423584
RPS11,TRCN0000074981,-32.16141743341732,2.1103902409867805,3.54291396363641e-4,0.9996457086036363,7.085827927273414e-4,-6.647334916892692,0.0011101716840496738,0.9999998106475553,0.001728205405067294
PSMD1,TRCN0000058107,-23.76952834753403,2.008835299438239,8.632207505621861e-4,0.9991367792494378,0.0017264415011244427,-7.831172856977913,0.0019259595047920472,0.9999998106475553,0.003030985129383873
RPL34,TRCN0000077927,-9.808638358600495,2.0004273606497383,0.005113750943138636,0.9948862490568614,0.01022750188627719,-7.942686919811697,0.008892662485678585,0.9999998106475553,0.013437801089469754
COPS4,TRCN0000118343,-37.65440073373104,2.918248825957426,2.5751575102494653e-5,0.9999742484248975,5.150315020485685e-5,-5.6546871460734245,1.5616019260871757e-4,0.9999998106475553,2.4385439815817643e-4
PSMB2,TRCN0000003904,-71.76431754300883,2.1286931765883836,6.106873972375167e-5,0.9999389312602762,1.2213747944755937e-4,-7.434672093200216,2.7250484801259e-4,0.9999998106475553,4.443925213745814e-4
RPS3A,TRCN0000117560,-26.400086044081423,2.0724885562687456,5.924269990868477e-4,0.9994075730009132,0.001184853998173807,-6.542443979461403,0.0014671097935501517,0.9999998106475553,0.0022781948826675236
RPS13,TRCN0000007171,-106.77394158217528,2.0862739536733024,3.1043379792987296e-5,0.999968956620207,6.208675958596643e-5,-7.3609545398738465,1.7317545037083489e-4,0.9999998106475553,2.7078343148900785e-4
RPL11,TRCN0000117712,-59.333096731292144,2.0108843448804605,1.367680461463403e-4,0.9998632319538536,2.7353609229274767e-4,-7.355738377774566,5.302564412067129e-4,0.9999998106475553,8.293754593235234e-4
PSMB2,TRCN0000003906,-19.481008478740513,2.019157230234481,0.0012553235978134433,0.9987446764021866,0.0025106471956268805,-6.983448804280169,0.002569571836368387,0.9999998106475553,0.003971692720841185
RPS9,TRCN0000074794,-2.596878592779268,2.000200183043537,0.060885137969713156,0.9391148620302868,0.12177027593942635,-7.139841543352302,0.09442186970385025,0.9999998106475553,0.13520502469330672
RPL3,TRCN0000117507,-19.870475354634774,2.090500171009508,0.0010221160151295463,0.9989778839848704,0.0020442320302591632,-6.3406099519515084,0.0021583074783762296,0.9999998106475553,0.0033927078958336286
PSMB2,TRCN0000003907,-34.7656554877086,2.0140722179819086,3.9668171093892114e-4,0.9996033182890611,7.933634218779684e-4,-6.784030373232552,0.001195098403019807,0.9999998106475553,0.0018395142085699953
COPB1,TRCN0000155168,-73.17399134891144,2.602669317864694,1.0976341843932333e-5,0.9999890236581561,2.1952683687986863e-5,-6.499806154631228,8.951396020999989e-5,0.9999998106475553,1.4031918087051062e-4
RPL27,TRCN0000117776,-71.90756580112743,2.1491924046795554,5.6508276421919346e-5,0.9999434917235781,1.1301655284379208e-4,-6.54956986144637,2.5700398795738317e-4,0.9999998106475553,4.1763148043057544e-4
RPL11,TRCN0000117715,-46.79498957670241,2.028404097167966,2.084207231774194e-4,0.9997915792768226,4.168414463547876e-4,-6.508785975138986,7.468409247190863e-4,0.9999998106475553,0.0011598000242694971
RPL27,TRCN0000117774,-21.86772370734711,2.173769382510617,6.85929681053044e-4,0.9993140703189469,0.0013718593621061537,-5.983042227651776,0.0016141529310352727,0.9999998106475553,0.0025248617831759167
COPB1,TRCN0000151585,-80.40998021171534,2.1903816350256564,3.819187295342402e-5,0.9999618081270466,7.638374590679398e-5,-6.458579417902417,1.9851380117548965e-4,0.9999998106475553,3.141696679470743e-4
RPL11,TRCN0000117713,-87.83981445949158,2.6288574803984193,6.2016658031969724e-06,0.9999937983341968,1.2403331606458678e-5,-6.2989785459828145,6.37693027154819e-5,0.9999998106475553,9.462541693314442e-5
RPL11,TRCN0000117714,-22.387560733626003,2.053842672157734,8.717155081168898e-4,0.9991282844918831,0.001743431016233643,-6.157012647989296,0.0019357813865694313,0.9999998106475553,0.0030429626224299376
RPL34,TRCN0000077926,-30.187198324929266,2.0483749858206086,4.7959665490603234e-4,0.999520403345094,9.591933098120897e-4,-6.25722858061912,0.001288916010059962,0.9999998106475553,0.0019963815235981798
RPL3,TRCN0000117508,-98.46727056677439,2.2940872943968116,1.6417266579771375e-5,0.9999835827334203,3.2834533159498136e-5,-6.240185698610292,1.1590100137659494e-4,0.9999998106475553,1.848896926719359e-4
RPS8,TRCN0000074782,-21.61816925405866,2.0562801370746553,9.309401462952974e-4,0.9990690598537048,0.0018618802925907119,-5.9836553686827205,0.002029192116118321,0.9999998106475553,0.003202434103256024
PSMD1,TRCN0000058106,-23.11470996652885,2.007494763294541,9.159563946236747e-4,0.9990840436053763,0.0018319127892472142,-6.1792129079667095,0.0020151040681720845,0.9999998106475553,0.003173973440710375
RPL36,TRCN0000117676,-48.74989748094348,2.1105252605417792,1.473513987588755e-4,0.9998526486012411,2.947027975177541e-4,-6.098804522158423,5.531524731186357e-4,0.9999998106475553,8.712151451618605e-4
POLR2D,TRCN0000021365,-88.65587414526495,3.589079869141872,1.9892894131129881e-7,0.9999998010710587,3.978578826391299e-7,-5.8912615229229495,2.8358097209374873e-5,0.9999998106475553,4.5936041967564734e-5
PSMA3,TRCN0000003882,-3.939166429020742,2.0008650056775523,0.029387813997207822,0.9706121860027922,0.0587756279944156,-6.234612665586152,0.04744176116272798,0.9999998106475553,0.06847505428906055
