gene,pvalue,log2FoldChange,stat,padj
ABCG8,1.7061893673585723e-168,1.4750419496635059,11.453915206722087,3.966890279108681e-168
ADH7,0,1.7249428840935992,17.581509346410954,0
CABP5,2.079631559746569e-201,0.38127494407245077,5.751020911588153,6.4468578352143645e-201
COPA,8.336703721348823e-296,-1.1326489590513755,-0.9584098656363678,5.96394958527262e-295
COPB1,3.597383923850235e-200,-3.763782542824427,-13.12000053949412,1.0792151771550704e-199
COPS2,6.440724537621505e-49,-1.3283388827019307,-6.4499869860491765,7.216715445768674e-49
COPS4,2.0123523115540597e-62,-2.6376869738135142,-7.537720551583672,2.399343140699071e-62
COPS6,6.667487763938114e-164,-1.413338314823513,-4.336239487538201,1.4763722905862967e-163
COPS8,1.2351091895842715e-67,-0.30740002429317637,-1.1686682877781895,1.511383613570227e-67
COPZ1,1.2369811208225507e-97,-1.4234692813326426,-5.451990324706742,1.797488191195269e-97
CRYGB,3.0327574102022105e-29,-0.3144562038379301,-1.696950635830287,3.169061114031524e-29
CYP7A1,1.157575620735075e-117,0.8032143008180384,6.588300172453357,2.0312175986483394e-117
DEFB129,0,2.1710686363415794,19.09520441550688,0
DMRTB1,1.5675254377943705e-150,1.4242367429782752,9.59029737076655,3.3131787662471924e-150
DMRTC2,4.323632315992418e-216,0.729320588035572,10.238985415545402,1.4360635906689103e-215
FAM71B,5.786052764717918e-299,0.9219384132062635,9.201077905298312,4.484190892656386e-298
FCRL4,1.7807944824750023e-92,0.5295729370595569,5.240303608796657,2.4002012589880464e-92
HTR3D,4.7864661420151e-109,1.150370780174864,7.008163693026206,7.6748508828862815e-109
IL1F10,1.1581487555207917e-92,-0.17568733416378124,1.892630157089636,1.5839387391681415e-92
IL22,7.763267972539078e-69,-0.08440338347165285,0.32133040254947,9.756539479001815e-69
KRT25,5.5859000229124596e-114,1.2244411289954493,9.421512084150585,9.620161150571458e-114
KRT74,5.002356588653722e-155,0.7212383781417017,7.1786414288416,1.0819050296390607e-154
KRT77,1.9375417094392693e-246,0.7817755485695411,7.619354658479792,7.834407781645742e-246
KRT9,4.4759710730370516e-99,0.46260980425898107,3.5025233829600495,6.713956609555577e-99
LHX5,5.948923546077182e-198,1.0740634621945306,7.508686285774326,1.6272055581916996e-197
LUZP4,2.45324654580725e-177,1.1514974945235303,10.191884877801366,6.003998125265111e-177
LYZL6,1.108120871349002e-198,1.1968051315865333,8.223410517210121,3.1228860919835515e-198
MAGEB3,0,2.1399976343777825,17.0896151293094,0
MRGPRD,1.4629094941600834e-219,1.0911731364579074,10.490277491326104,5.038910479884732e-219
NLRP5,0,0.27992763673913523,4.813152615310602,0
NPHS2,1.4030327179365754e-66,0.6105122744768858,5.413808898306038,1.6945719840013185e-66
NPSR1,2.994765833949696e-8,0.32732719364548496,2.302413552647639,2.994765833949696e-8
NUP133,1.2990654674158633e-108,-1.47787455615984,-5.54034953719153,2.0476794655877166e-108
NUP205,2.2953582409706335e-80,-1.404171509438987,-2.4766291238788316,2.9242235124694372e-80
NUP54,1.6425458192256813e-53,-0.653740962545683,-1.547665566071929,1.8628873315608336e-53
NUP93,0,-2.6134700738262664,-9.041105825671945,0
NUP98,5.228692330956537e-97,-2.3746962315973317,-9.06708295319534,7.481052104291661e-97
OC90,6.67e-322,1.0438825603599315,10.616933884651072,6.205e-321
OLIG2,7.180735930427464e-100,1.9872388577440434,8.01979838487878,1.094767936934023e-99
OR12D2,4.215312333379033e-134,0.8622893492581047,6.898325552991578,8.000490755188778e-134
OR52E8,1.236499101228867e-265,1.3464065176992643,12.88195275348143,6.38857868968248e-265
OR9Q2,0,1.5990351020879616,15.734352952507654,0
OTUD6A,0,1.933835218460394,13.727600976250883,0
PIWIL3,1.4388275274669616e-269,1.0796062843154457,8.550119415636559,7.871232944378084e-269
PLA2G2E,3.419565087404071e-47,1.1754276300027713,5.251352753583117,3.7859470610545075e-47
POLA1,4.076055492638007e-259,-0.8018059896870587,-0.18696271990631513,1.8953658040766735e-258
POLR2A,8.595360099019895e-285,-3.1115280713049085,-14.88409613005582,5.329123261392335e-284
POLR2D,7.080778029915465e-194,-3.534330826277198,-12.739844028699913,1.8814638765203949e-193
POLR2F,8.994957259050289e-10,-1.089668957733837,-2.6245560502244722,9.192648627381064e-10
POU4F2,3.5608825763859186e-243,0.974362109384013,8.517122769893335,1.324648318415562e-242
PSMA3,4.0636288870141834e-111,-2.5531802016996106,-4.3435767892927535,6.6301313419705096e-111
PSMB2,4.087142407414101e-183,-3.507463752464921,-7.300102767891687,1.0273087672689499e-182
PSMB3,1.4654788463793507e-46,-2.33930791050045,-6.180228463649099,1.6034062672150544e-46
PSMC1,1.787888490913661e-60,-1.5925770991735422,-6.5001419757154775,2.0784203706871311e-60
PSMC2,2.375999544788464e-8,-0.14833026715558792,-1.3428516040963845,2.4018256267970343e-8
PSMC4,4.670608095245321e-68,-1.6913812509659023,-6.107583022473763,5.7915540381041985e-68
PSMD1,2.4157935851633342e-262,-2.903872550530469,-11.174261875883246,1.182467386422053e-261
PSMD11,1.2347882895302845e-145,-2.0811480199288397,-9.432128026071217,2.49641980274601e-145
PSMD6,1.3966566540344932e-191,-1.555892330558964,-2.9458118172670713,3.6080296895891076e-191
PSMD7,4.564437099526199e-149,-2.3201005603634677,-9.9156157777714,9.433170005687478e-149
RNASE9,4.380862160205042e-199,1.446449258789282,11.822513492535077,1.2731880653095902e-198
RPL11,0,-4.849797675297212,-18.462191491365942,0
RPL18A,1.7314535596402098e-40,-1.5996609475559098,-4.414586037715219,1.8508641499602243e-40
RPL27,5.308601704630561e-253,-2.941188713952708,-4.524294632889355,2.2440907205938283e-252
RPL3,9.10813587216692e-177,-3.2157878621350524,-9.856756918467488,2.17194009259365e-176
RPL30,3.687592048999002e-56,-1.3167580938258652,-3.2146915016242845,4.233901982184039e-56
RPL34,2.479465809905078e-113,-3.9571983200543284,-8.753328064327974,4.1925512785667686e-113
RPL35A,8.648448127861633e-61,-1.6871434125941085,-3.2823472020573945,1.0181084504951037e-60
RPL36,8.922466483555022e-202,-2.909036733011172,-7.534918842327528,2.8613426998986795e-201
RPL5,1.3643230714334008e-94,-4.309389742217237,-9.248639698924034,1.893761875273228e-94
RPL6,6.32593470070193e-118,-3.1270271364980937,-9.761722351861701,1.1313690907024606e-117
RPL9,5.561250429240316e-131,-3.3400228596025565,-0.7346948758971912,1.0343925798386989e-130
RPS11,3.1598797774175125e-86,-2.921373615598753,-7.126630776761984,4.0815113791642875e-86
RPS13,2.107626037261936e-254,-3.8160114120459068,-10.106586320937808,9.333772450731431e-254
RPS19,9.432560340402858e-27,-2.041942676400201,-2.7238678119579056,9.746979018416287e-27
RPS24,9.921001522576712e-95,-2.408423498881067,-8.968325555937092,1.3979593054539912e-94
RPS27,5.686295833795951e-99,-1.8078091816125552,-8.814080343329424,8.394055754651165e-99
RPS3A,1.8229463193096696e-122,-3.9858911537873523,-6.425236622383983,3.3241962293293977e-122
RPS7,1.7853149944981207e-46,-2.954276357387663,-1.4384108389518886,1.9306313312595954e-46
RPS8,1.2794286475659879e-140,-4.00071696689566,-11.436476956840918,2.4788930046591014e-140
RPS9,4.976664272325794e-89,-4.0546225674438565,-10.094164716653388,6.61185396180427e-89
RPTN,8e-323,1.1283423075998582,11.169252403935115,8.15e-322
RXFP2,6.411276435e-315,1.2157496680221855,11.48617638703201,5.420442804e-314
SAGE1,1.0063100580760915e-107,1.0305242458154664,8.698016788808902,1.559780590017942e-107
SPATA16,2.374197409693489e-231,0.9831529535354525,9.08687604927446,8.492321503903635e-231
TAAR1,3.066055784611417e-281,1.6811845817266056,12.947111776429917,1.7821449248053862e-280
TAAR8,4.261493896919888e-285,1.3812262509347148,11.251184809984412,2.83084951723964e-284
TAS2R13,2.374418869787847e-141,0.8029521000693609,6.569498610258322,4.698318189154676e-141
TAS2R9,9.715327938395286e-33,0.5116434896808372,0.5107046661850454,1.0267335207622292e-32
TGM6,8.431401775297177e-89,0.713002108255282,4.898847082543576,1.10439488042625e-88
TPH2,1.07651098118981e-165,0.2438494568671585,6.000207569369489,2.4418419817232276e-165
TRIM42,1.3481643660036875e-111,0.2963545787014255,3.0539629394288452,2.238915822113267e-111
VN1R2,5.729111787377667e-246,1.1075982345295434,9.632944701400518,2.2200308176088457e-245
