sgRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRCN0000117565,367.67640168029726,-10.30163969633096,1.2166014330797734,-8.467555122183942,2.5059734149942648e-17,4.6850807323805823e-17
TRCN0000074712,333.94388127964123,-8.262746216281291,0.7916751094894691,-10.437041808235861,1.6796334688030714e-25,4.053401177264555e-25
TRCN0000074994,220.7985723454651,-7.6652039763554,0.8163480544501045,-9.38962729753636,6.021294081455608e-21,1.3064550919855519e-20
TRCN0000074765,307.7636518086785,-7.141858099552625,0.6166269743909939,-11.582137006909594,5.07645514129298e-31,1.4641239523363291e-30
TRCN0000077925,340.9860949417582,-6.111259773685801,1.290878632235875,-4.7341861744978715,2.1993577946980967e-6,2.9638069427128196e-6
TRCN0000117564,520.5231042752297,-5.876446407665512,1.1533272899399933,-5.09521144511482,3.483522345643307e-7,4.789843225259547e-7
TRCN0000074916,151.70396149855702,-5.648128364103316,0.8021621816535524,-7.041130201950482,1.906867133288654e-12,3.0888635412518266e-12
TRCN0000007174,656.7770306551349,-7.3282104136526325,0.4437263987618076,-16.51515536173095,2.854250250963474e-61,1.58830631612438e-60
TRCN0000074981,199.7927147467571,-5.4999916004759575,0.602694148806413,-9.125676118422994,7.128985990593713e-20,1.4986712771337005e-19
TRCN0000058107,714.2478107767766,-6.648570671405329,0.4080033677569385,-16.295381844411903,1.0643683839076806e-59,5.472241799873184e-59
TRCN0000077927,456.32307475257284,-6.79909916141885,0.4831163246364752,-14.073420447000807,5.532731307830926e-45,2.1276275679707547e-44
TRCN0000118343,193.90338919452395,-4.566749602069328,0.7196430317626495,-6.345853986640865,2.211949544393014e-10,3.375006885477083e-10
TRCN0000003904,542.5813613366993,-6.307786781994313,0.3989427520464448,-15.811258005409163,2.602183623497199e-56,1.2559518917491583e-55
TRCN0000117560,484.5974259292079,-5.41148071561899,0.5113352389557717,-10.583038882026004,3.5718189768374273e-26,8.799324875229704e-26
TRCN0000007171,1190.6957776731085,-6.200513681356791,0.2687295950409481,-23.07343067447401,8.559970133022808e-118,1.3060857654579962e-116
TRCN0000117712,4362.431947638199,-6.202220211624775,0.17088793942087038,-36.294078052809056,2.00621983630272e-288,4.7447099128559325e-286
TRCN0000003906,341.1798389006785,-5.816124297692919,0.4757531169531675,-12.225089212112193,2.2833089327033526e-34,7.058857027246313e-34
TRCN0000074794,305.1698403667314,-5.940735969610173,0.6551460968622804,-9.067803346554909,1.214404925292956e-19,2.530456077813076e-19
TRCN0000117507,218.79695418520043,-5.232428511527445,0.583508796998831,-8.967180166673526,3.0420228009553565e-19,6.228903830527634e-19
TRCN0000003907,667.7410494459303,-5.622800312286137,0.312565183587317,-17.98920867562133,2.367139555405698e-72,1.599510013866993e-71
TRCN0000155168,648.1021201951445,-5.3870105356512905,0.38341523172362196,-14.050069193741423,7.695880622191845e-45,2.912121227437394e-44
TRCN0000117776,567.8890203234813,-5.417433138296691,0.3608765028555461,-15.01187551816089,6.138707904618499e-51,2.663861320077569e-50
TRCN0000117715,1265.3123674586532,-5.34573829593273,0.23878114421171148,-22.387606498748564,5.197609131008335e-111,6.644511132343088e-110
TRCN0000117774,464.325803962629,-4.800282882217598,0.5543944568493959,-8.658605480107855,4.775705962459173e-18,9.295921482482257e-18
TRCN0000151585,707.6809345175593,-5.317219838693324,0.29276713470351634,-18.161942405448084,1.0330412838679849e-73,7.403462534387225e-73
TRCN0000117713,947.5214331620627,-5.132349297889069,0.3310223062770513,-15.504542142829235,3.2321243807766574e-54,1.5136582496112464e-53
TRCN0000117714,801.7448410003493,-5.027055764561533,0.3875416034124074,-12.971654450249892,1.7716455601034965e-38,5.860058391111565e-38
TRCN0000077926,347.7078783730403,-5.117096874543864,0.3912408018626479,-13.079149337650914,4.332616245533929e-39,1.4743363195234162e-38
TRCN0000117508,1098.4635909791639,-5.097736849080625,0.2457910521372841,-20.74012379520364,1.5053770419700785e-95,1.514985831599675e-94
TRCN0000074782,718.976018676284,-4.846857050216256,0.3829481368865166,-12.656693122005137,1.0273651956754615e-36,3.283403632124955e-36
