id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,twosided.p.value
RPL11,5,3.5345e-4,0.0016324,0.098189,1,5,-5.1987,0.99965,0.99964,0.999636,93,0,-5.1987,0.0032648
RPL34,5,4.7875e-4,0.0021116,0.098189,2,4,-5.0448,0.96458,0.96443,0.999636,77,0,-5.0448,0.0042232
RPS3A,5,9.2066e-4,0.0041583,0.106871,3,4,-4.2119,0.713,0.74496,0.999636,57,1,-4.2119,0.0083166
RPL5,5,0.0011183,0.004997,0.106871,4,5,-3.6823,0.99888,0.99883,0.999636,92,0,-3.6823,0.009994
RPS8,4,0.0014626,0.0057457,0.106871,5,4,-3.945,0.99854,0.99833,0.999636,91,0,-3.945,0.0114914
PSMB2,5,0.0022047,0.0094698,0.122924,6,4,-5.5504,0.6762,0.72308,0.999636,56,1,-5.5504,0.0189396
RPS9,4,0.002668,0.0097793,0.122924,7,4,-3.8411,0.99733,0.99715,0.999636,90,0,-3.8411,0.0195586
POLR2D,5,0.0027543,0.011487,0.122924,8,5,-3.4747,0.99725,0.99721,0.999636,89,0,-3.4747,0.022974
POLR2A,5,0.0028502000000000002,0.011896,0.122924,9,5,-3.1691,0.99715,0.99709,0.999636,88,0,-3.1691,0.023792
RPL6,5,0.0034837,0.014352,0.126066,10,5,-3.547,0.99652,0.99645,0.999636,87,0,-3.547,0.028704
COPB1,5,0.0036236,0.014911,0.126066,11,5,-3.4835,0.99355,0.9933,0.999636,86,0,-3.4835,0.029822
RPS13,5,0.0040796,0.016798,0.130184,12,4,-4.3787,0.79505,0.80151,0.999636,62,1,-4.3787,0.033596
POLR2F,5,0.0052742,0.021101,0.150954,13,5,-1.2711,0.98824,0.98815,0.999636,81,0,-1.2711,0.042202
NUP93,5,0.0064271,0.025584,0.168524,14,4,-3.4562,0.47062,0.61799,0.999636,50,1,-3.4562,0.051168
RPS24,5,0.0068339,0.027181,0.168524,15,5,-2.5674,0.99317,0.99298,0.999636,85,0,-2.5674,0.054362
RPL3,5,0.0076663,0.030156,0.175284,16,4,-3.7849,0.93174,0.93209,0.999636,73,0,-3.7849,0.060312
NUP98,5,0.0085508,0.033471,0.180545,17,5,-2.3859,0.99145,0.99117,0.999636,84,0,-2.3859,0.066942
RPS27,5,0.0095299,0.036886,0.180545,18,5,-1.8282,0.99047,0.99039,0.999636,83,0,-1.8282,0.073772
RPL9,5,0.010052,0.038952,0.181128,19,3,-2.5813,0.29947,0.45447,0.999636,42,1,-2.5813,0.077904
