sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
TRCN0000155025,NLRP5,1444.7/1480.4/1434.5,16715/18738/17804,1453.1,17733,3.6084,580.88,3766900,8.388,1,3.1974e-17,6.3949e-17,3.0248e-14,True
TRCN0000018162,OLIG2,221.84/110.64/32.782,1309.8/684.81/1081.4,93.047,989.92,3.3973,10264,12505,8.0204,1,6.61e-16,1.322e-15,3.1265e-13,True
TRCN0000014005,TAAR1,218.78/239.83/195.11,1874.3/2163.7/2302.8,217.13,2105.8,3.2718,501.49,72514,7.0138,1,1.4677e-12,2.9354e-12,4.6281e-10,True
TRCN0000014167,TAS2R9,41.556/49.449/56.575,436.07/498.93/343.78,48.807,421.33,3.084,56.665,3293.1,6.4916,1,5.2901e-11,1.058e-10,1.0211e-8,True
TRCN0000011509,TAAR8,2295.4/2498.4/2902.8,22406/25966/27383,2553.4,25162,3.3003,95838,12162e3,6.4828,1,5.861e-11,1.1722e-10,1.0211e-8,True
TRCN0000116782,KRT77,2965.8/3300.1/3793.7,29643/33226/36898,3336.1,33123,3.3112,173920,21208e3,6.4682,1,6.4762e-11,1.2952e-10,1.0211e-8,True
TRCN0000065270,COPA,683.24/716.39/642.42,6238.2/6210.6/6158.7,680.01,6202.4,3.1873,1373.5,777070,6.2646,1,2.3963e-10,4.7927e-10,3.2385e-8,True
TRCN0000054164,OC90,2555.7/2852/2867.4,22983/26016/27043,2754.5,25287,3.1981,30877,1424e4,5.9712,1,1.5346e-9,3.0693e-9,1.8147e-7,True
TRCN0000014004,TAAR1,5597.3/6016.7/7085.7,52413/56612/62893,6202.6,57146,3.2035,590390,77004e3,5.8054,1,4.2243e-9,8.4486e-9,4.4402e-7,True
TRCN0000056335,CABP5,7644.5/8645.5/10328,75063/81809/87983,8804.8,81447,3.2094,1845700,15955e4,5.751,1,5.8578e-9,1.1716e-8,5.5415e-7,True
TRCN0000053865,RPTN,1239.4/1421/1290.7,10887/11769/11087,1314.8,11241,3.0949,8780.6,3060100,5.6746,1,8.9839e-9,1.7968e-8,7.7262e-7,True
TRCN0000135207,DEFB129,5520.3/5865.9/6880,48668/51886/54718,6062.2,51698,3.092,500500,73424e3,5.3258,1,6.6075e-8,1.3215e-7,5.2089e-6,True
