sgRNA,logFC,logCPM,PValue
TRCN0000117565,-11.138929301601918,8.583302680131952,7.7361553634893455e-62
TRCN0000074712,-9.29998424116909,8.4417563978052,2.4010822433332966e-52
TRCN0000074994,-8.708311728673916,7.8658880295842035,1.3756065981564992e-38
TRCN0000074765,-8.231830767485736,8.323180401251626,1.5536676048398697e-44
TRCN0000077925,-7.269072178530802,8.472032637849011,2.1258021248682333e-23
TRCN0000117564,-7.037828144545877,9.067584777341077,9.163527562125143e-46
TRCN0000074916,-6.742723677048685,7.326405702791271,1.7890671018105004e-18
TRCN0000007174,-8.447705791951408,9.409418404024747,3.354350773598586e-153
TRCN0000074981,-6.619038862514432,7.700394376356159,9.842427217604895e-27
TRCN0000058107,-7.789976822120903,9.527535282144086,3.334317140805047e-141
TRCN0000077927,-7.91246697790046,8.878737513916077,1.2315641015338367e-74
TRCN0000118343,-5.690641587161858,7.6579782299833665,8.177735916289453e-14
TRCN0000003904,-7.4329917182385365,9.13540985956733,2.5135046203078158e-85
TRCN0000117560,-6.5383916724214295,8.963255981064707,3.791678905895847e-34
TRCN0000007171,-7.350679081287843,10.264120097993885,8.274305286405177e-249
TRCN0000117712,-7.35336012458624,12.132820274988559,0
TRCN0000003906,-6.95472404788146,8.465105059377423,6.73028688564803e-38
TRCN0000074794,-7.113493391993771,8.347962782283716,1.747103409422432e-20
TRCN0000117507,-6.333141020805934,7.82401091061854,9.126044508115187e-24
TRCN0000003907,-6.77225605662775,9.42554885429901,1.0340108691707591e-134
TRCN0000155168,-6.5180458599632285,9.387040380626972,1.267098059611969e-62
TRCN0000117776,-6.580834957045222,9.209039377411242,3.0156737765318693e-62
TRCN0000117715,-6.5010983709990064,10.341453208475968,1.0712712138302286e-246
TRCN0000117774,-5.969072851734869,8.889431118685858,6.33176813789807e-25
TRCN0000151585,-6.457014104698785,9.506515241526179,4.214206546474601e-126
TRCN0000117713,-6.3016028823037376,9.929638951940095,1.0268558851395205e-102
TRCN0000117714,-6.1581965102413,9.677763993050727,2.7750576503026336e-62
TRCN0000077926,-6.244909294556649,8.48426845463688,8.607412587729382e-39
TRCN0000117508,-6.246768653069361,10.13774181694667,5.572904798381665e-165
TRCN0000074782,-5.982894692477211,9.518626313828786,1.0958235916844363e-57
TRCN0000058106,-6.179983110478081,11.34835679953117,0
TRCN0000117676,-6.099164099556429,10.666732285138798,7.015801390964374e-180
TRCN0000021365,-5.905284304470824,10.332275623501333,3.6518923220322545e-56
TRCN0000003882,-6.1901150354381125,6.993861120013888,1.5122468461781144e-21
TRCN0000074993,-5.468480790535491,8.993748343863276,5.435241209168655e-20
TRCN0000003883,-5.9756800631654245,9.632185119612574,1.4768988990937016e-98
TRCN0000059961,-6.079165676118935,9.648003717804938,5.481239486605663e-168
TRCN0000074778,-5.926976246150955,10.204325333658959,9.156711883466017e-108
TRCN0000117772,-5.90320424776065,10.412898686423391,2.88216064675481e-101
TRCN0000021368,-5.962284216754741,9.588645894159853,2.0752986209461524e-127
TRCN0000004997,-5.98952498183042,9.5059147226663665,4.2165025232032937e-79
TRCN0000117673,-5.950561294203834,8.40117552567062,1.0165791645373404e-35
TRCN0000117674,-5.768439261541161,8.171411639594032,3.4785495465193423e-28
TRCN0000074978,-5.710324150919027,9.870814955006338,8.880662420733293e-107
TRCN0000021285,-5.700929004781544,9.747634796429118,3.6900525962381563e-156
TRCN0000074913,-5.34846638264849,7.995650201985193,7.374052861200094e-20
TRCN0000007173,-5.568301242650969,8.296720281832126,1.365372420774224e-32
TRCN0000118346,-5.278509838802719,9.558023135863122,4.315983562138269e-34
TRCN0000021834,-3.084516238817021,2.4162433765596236,8.858173456260638e-4
TRCN0000074709,-5.4377437203190935,8.603193086646288,2.1576207632322435e-39
TRCN0000052040,-5.387319112651515,9.394834910700913,2.451557903377577e-75
TRCN0000003946,-5.411477538168877,10.905074700853522,1.5628077462728154e-209
TRCN0000144555,-5.236373145666249,10.39723686236601,8.162228857147854e-70
TRCN0000059959,-5.360830622646933,11.128543922688719,0
TRCN0000074797,-5.279313203030844,8.92931177327608,9.77787789390255e-49
TRCN0000046913,-5.066965720079685,9.263970733467152,6.995289846363426e-33
TRCN0000142957,-5.217519917144008,9.981164415196753,1.1940821460612736e-112
TRCN0000065002,-5.241709502033764,9.092982716756602,1.8660015878732483e-64
TRCN0000052954,-5.11201209969414,8.599419092933426,6.238733730430719e-32
TRCN0000058066,-5.163991518345771,10.511404312706597,1.5789995452134773e-207
TRCN0000056673,-4.959035289386336,10.826637864424379,4.926348927565563e-68
TRCN0000074780,-4.251552226669338,3.307607393357295,1.6695903707930766e-5
TRCN0000117509,-4.694550213741568,7.479048781395045,8.125670742887544e-15
TRCN0000065272,-5.059695758878519,9.765697982771927,1.2322870589408435e-145
TRCN0000117570,-4.758792292739636,8.78033904234408,2.2594266527517038e-23
TRCN0000117659,-4.955101603379256,9.260521829368598,4.136622173762385e-74
TRCN0000074996,-4.877649409074585,9.133213714806669,8.296678694964791e-55
TRCN0000003911,-4.961951431073378,7.778052402877439,2.6193857871635844e-21
TRCN0000004998,-4.843165051283027,8.009514784277501,1.0045299223118085e-19
TRCN0000074711,-4.749653199981686,8.549593370871321,1.0043401327258919e-25
TRCN0000072558,-4.794623132000506,9.302533614554353,4.383172026053771e-58
TRCN0000074795,-4.692469378583361,8.924940203192016,3.0389938515459467e-33
