gene,m.x,NScore.x,p.value.pos,FDR.pos,rank.pos,m.y,NScore.y,p.value.neg,FDR.neg,rank.neg,p.value.twosides
FAM71B,24,8.978743170201966,3.5829451809387314e-4,0.00833034754568255,1,24,8.978743170201966,1,1,93,7.165890361877463e-4
DEFB129,15,4.574311057920872,3.5829451809387314e-4,0.00833034754568255,2,15,4.574311057920872,1,1,92,7.165890361877463e-4
MAGEB3,15,4.133145517322117,7.165890361877463e-4,0.00833034754568255,3,15,4.133145517322117,0.9996417054819061,1,91,0.0014331780723754925
OTUD6A,21,4.125215717609774,7.165890361877463e-4,0.00833034754568255,4,21,4.125215717609774,0.9996417054819061,1,90,0.0014331780723754925
VN1R2,15,3.91619794433958,7.165890361877463e-4,0.00833034754568255,5,15,3.91619794433958,0.9996417054819061,1,89,0.0014331780723754925
ADH7,15,3.6589399459536414,7.165890361877463e-4,0.00833034754568255,6,15,3.6589399459536414,0.9996417054819061,1,88,0.0014331780723754925
CABP5,15,3.650161392010264,7.165890361877463e-4,0.00833034754568255,7,15,3.650161392010264,0.9996417054819061,1,87,0.0014331780723754925
TAAR1,15,3.6500909491508273,7.165890361877463e-4,0.00833034754568255,8,15,3.6500909491508273,0.9996417054819061,1,86,0.0014331780723754925
TAAR8,15,3.533624269328452,0.0014331780723754925,0.014809506747880091,9,15,3.533624269328452,0.9989251164457184,1,85,0.002866356144750985
OC90,15,3.4343125570204602,0.004657828735220351,0.043317807237549265,10,15,3.4343125570204602,0.9957004657828735,1,84,0.009315657470440702
RXFP2,15,3.4018806913013786,0.005374417771408097,0.04543825934008664,11,15,3.4018806913013786,0.9949838767466858,1,83,0.010748835542816195
KRT77,15,3.0736579358640337,0.02185596560372626,0.16938373342887852,12,15,3.0736579358640337,0.9785023289143676,1,82,0.04371193120745252
OR9Q2,15,2.9989651699816555,0.027588677893228233,0.1799355069867431,13,15,2.9989651699816555,0.9727696166248656,1,81,0.05517735578645647
LHX5,15,2.9754772832825953,0.029021855965603725,0.1799355069867431,14,15,2.9754772832825953,0.9713364385524902,1,80,0.05804371193120745
POU4F2,15,2.9679068250933613,0.029021855965603725,0.1799355069867431,15,15,2.9679068250933613,0.9713364385524902,1,79,0.05804371193120745
HTR3D,15,2.8990083666490234,0.03511286277319957,0.2040935148692225,16,15,2.8990083666490234,0.9652454317448943,1,78,0.07022572554639914
RPTN,15,2.87179882098933,0.0401289860265138,0.2195291588509284,17,15,2.87179882098933,0.9602293084915801,1,77,0.0802579720530276
RNASE9,15,2.6379688482475316,0.06700107488355428,0.30522393407380866,18,15,2.6379688482475316,0.9333572196345395,1,76,0.13400214976710856
ABCG8,15,2.595607569366317,0.07237549265496238,0.30522393407380866,19,15,2.595607569366317,0.9279828018631315,1,75,0.14475098530992475
LUZP4,15,2.5946437863015315,0.07237549265496238,0.30522393407380866,20,15,2.5946437863015315,0.9279828018631315,1,74,0.14475098530992475
LYZL6,18,2.571103709830658,0.07452525976352561,0.30522393407380866,21,18,2.571103709830658,0.9258330347545682,1,73,0.14905051952705123
MRGPRD,15,2.495088451395973,0.08169115012540308,0.30522393407380866,22,15,2.495088451395973,0.9186671443926908,1,72,0.16338230025080616
OR52E8,15,2.483886369634507,0.08204944464349695,0.30522393407380866,23,15,2.483886369634507,0.9183088498745969,1,71,0.1640988892869939
DMRTC2,15,2.478108431621005,0.08204944464349695,0.30522393407380866,24,15,2.478108431621005,0.9183088498745969,1,70,0.1640988892869939
PIWIL3,30,2.47381174224588,0.08204944464349695,0.30522393407380866,25,30,2.47381174224588,0.9183088498745969,1,69,0.1640988892869939
OLIG2,15,2.3596632659158416,0.09029021855965604,0.3070328095408712,26,15,2.3596632659158416,0.9100680759584379,1,68,0.18058043711931207
DMRTB1,15,2.3163685456842864,0.09243998566821927,0.3070328095408712,27,15,2.3163685456842864,0.9079183088498746,1,67,0.18487997133643855
KRT25,15,2.314893404123021,0.09243998566821927,0.3070328095408712,28,15,2.314893404123021,0.9079183088498746,1,66,0.18487997133643855
PLA2G2E,15,1.8140229066229312,0.09781440343962737,0.3087782156932999,29,15,1.8140229066229312,0.9025438910784666,1,65,0.19562880687925474
SAGE1,15,0.6914270999858821,0.09960587603009674,0.3087782156932999,30,15,0.6914270999858821,0.9007524184879971,1,64,0.19921175206019348
NPHS2,15,0.4824945004353192,0.1053385883195987,0.3092641526334647,31,15,0.4824945004353192,0.8950197061984951,1,63,0.2106771766391974
