gene,log2FC,p_value_neg,p_value_pos,p_value_twosided,fdr_neg,fdr_pos,fdr_twosided
RPL9,-4.734319029224386,5.623510417231367e-11,0.5415704219002683,0.5415704219002683,2.273854212184857e-10,0.7195149890960707,0.7195149890960707
RPS3A,-2.7282100363775115,1.100834964220294e-10,0.4149030815818813,0.4149030815818813,4.265735486353639e-10,0.5936305628786916,0.5936305628786916
RPL5,-4.286395869471756,3.4825640512428737e-16,0.9999999999999953,0.9999999999999953,5.397974279426454e-15,1,1
RPS7,-2.948868360124829,0.004371383897177392,0.00507836547316483,0.00507836547316483,0.006664568892417991,0.010495288644540648,0.010495288644540648
RPL34,-4.025904037052222,2.3553986633635667e-11,0.035227922017534885,0.035227922017534885,1.0952603784640586e-10,0.058503513350549007,0.058503513350549007
RPS19,-Inf,1.50291639589667e-4,0.9200005832503035,0.9200005832503035,2.852473975885517e-4,1,1
RPS13,-6.675533722285751,2.3541455724930753e-14,0.7462638630055873,0.7462638630055873,1.5638252731561143e-13,0.9507197158838305,0.9507197158838305
RPS11,-Inf,1.5368734104875396e-9,0.017751818020861485,0.017751818020861485,4.9285940405290064e-9,0.030572575480372555,0.030572575480372555
PSMD1,-4.256321167198418,1.9908431449058479e-13,0.22046256313695184,0.22046256313695184,1.157177577976524e-12,0.3361150552743692,0.3361150552743692
COPS4,-3.6428736761413205,4.828839816695662e-15,0.9999999999999153,0.9999999999999153,4.989801143918851e-14,1,1
PSMB2,-Inf,3.1837118353760747e-9,0.39139331618710027,0.39139331618710027,9.869506689665832e-9,0.56874341258438,0.56874341258438
RPL11,-6.685636798332413,8.074559740066748e-19,0.9999999999998097,0.9999999999998097,1.8773351395655187e-17,1,1
RPS9,-5.627743742193381,1.0053495989518986e-7,0.9999999807312417,0.9999999807312417,2.4604608605928045e-7,1,1
RPL3,-4.097462148474858,1.2650543815948448e-14,0.9941263560986618,0.9941263560986618,9.050004422178506e-14,1,1
COPB1,-Inf,5.389583691444368e-15,0.9999999999999863,0.9999999999999863,5.012312833043262e-14,1,1
RPL27,-4.535764666064374,4.039458298297605e-11,0.6440765960536992,0.6440765960536992,1.7889029606746537e-10,0.8436496258168172,0.8436496258168172
RPS8,-6.07453840407651,1.1918062922164154e-10,0.9999999549722426,0.9999999549722426,4.4335194070450656e-10,1,1
RPL36,-5.075612631879851,6.66918861656294e-21,0.8275036855159227,0.8275036855159227,3.101172706701767e-19,1,1
POLR2D,-4.892784470449267,6.903307578163187e-15,0.9999999999999954,0.9999999999999954,5.836432770628876e-14,1,1
PSMA3,-5.301237332390878,5.282732192583908e-11,5.717922263706968e-4,5.717922263706968e-4,2.2331549723195612e-10,0.001326662185617385,0.001326662185617385
NUP93,-4.479100029958119,6.532307794559551e-19,0.49740393896761526,0.49740393896761526,1.8773351395655187e-17,0.6704140046954814,0.6704140046954814
