gene,sgRNA,t_value,dof,p_value_neg,p_value_pos,p_value_twosided,log2FC,fdr_neg,fdr_pos,fdr_twosided
RPL9,TRCN0000117565,-13.566733228499675,2.0141825718027846,0.0026207206993816208,0.9973792793006184,0.005241441398763369,-7.412576587567726,0.007512732671560646,0.9999999989387793,0.009355478421188956
RPS3A,TRCN0000074712,-33.790690184228175,2.5895439580112756,8.480529223460763e-5,0.9999151947077654,1.69610584469293e-4,-5.578019866683871,5.278013582495976e-4,0.9999999989387793,6.63023193834509e-4
RPL5,TRCN0000074994,-25.520557353035915,2.180984400659195,4.818812315889385e-4,0.999518118768411,9.63762463177753e-4,-6.948848873842628,0.002091099289372183,0.9999999989387793,0.0025754782208083455
RPS7,TRCN0000074765,-28.799570988503003,2.0615420681153225,5.096513706797998e-4,0.9994903486293202,0.00101930274135964,-6.97864897948574,0.0021146061257153095,0.9999999989387793,0.0026490670146324708
RPL34,TRCN0000077925,-40.70462294206772,2.0227136572329427,2.813199889174541e-4,0.99971868001108255,5.626399778349e-4,-9.08399108453205,0.0015227608501213834,0.9999999989387793,0.0018353704104545363
RPL9,TRCN0000117564,-21.494485515174812,2.0217580727310867,0.0010235144450437882,0.9989764855549562,0.0020470288900875655,-7.966398537529804,0.0035860913518941614,0.9999999989387793,0.00446195698161944
RPS19,TRCN0000074916,-13.682650112178855,2,0.0026495177750079,0.9973504822249921,0.005299035550015763,-Inf,0.00754952956372733,0.9999999989387793,0.009422721109614495
RPS13,TRCN0000007174,-164.19892169473107,3.8188842319010634,8.563425184351574e-9,0.9999999914365748,1.7126850382354064e-8,-7.72401628331402,1.0126250280495737e-6,0.9999999989387793,2.025250057713368e-6
RPS11,TRCN0000074981,-146.82934056827645,2,2.319071251059932e-5,0.9999768092874894,4.638142502133569e-5,-Inf,1.662001063259618e-4,0.9999999989387793,2.0696617014237528e-4
PSMD1,TRCN0000058107,-21.289324246989953,2.0036843406915086,0.001089831105651176,0.9989101688943488,0.002179662211302391,-8.79921011463302,0.003746067020137992,0.9999999989387793,0.0046572725115229365
RPL34,TRCN0000077927,-117.5318432046019,3.591977139700568,7.155363916786173e-8,0.9999999284463609,1.4310727847188787e-7,-7.134894885913171,2.2467373714287627e-6,0.9999999989387793,3.5626180377475245e-6
COPS4,TRCN0000118343,-9.990799969140093,2.0483525173920523,0.004555235981531688,0.9954447640184683,0.00911047196306325,-6.529992889815675,0.011970147884802714,0.9999999989387793,0.014757716570304509
PSMB2,TRCN0000003904,-190.8000618305826,2,1.3733938177685521e-5,0.9999862660618223,2.7467876355435905e-5,-Inf,1.1396759224640792e-4,0.9999999989387793,1.3676111069601244e-4
RPS3A,TRCN0000117560,-26.62244141640706,2.203902860339914,4.1438158258398405e-4,0.999585618417416,8.287631651680005e-4,-4.756267445548485,0.00193054527401081,0.9999999989387793,0.0023473351923620615
RPS13,TRCN0000007171,-8.377835569183487,2.002064053805332,0.006953513581724977,0.993046486418275,0.013907027163449825,-8.507027278221805,0.016866727816184174,0.9999999989387793,0.020176312292114224
RPL11,TRCN0000117712,-46.89352279414694,2.0273095502543375,2.082590336861338e-4,0.9997917409663138,4.165180673723068e-4,-8.911864504334769,0.0011726967015897771,0.9999999989387793,0.0014380514296868695
PSMB2,TRCN0000003906,-38.725149990303066,2.012492781050422,3.2081997915404833e-4,0.999679180020846,6.416399583080157e-4,-9.440899334678479,0.0016521791762756904,0.9999999989387793,0.001974032262563287
RPS9,TRCN0000074794,-4.738217299539941,2.0076431324842674,0.020731338258206635,0.9792686617417934,0.04146267651641322,-5.882735422093498,0.04477590409192574,0.9999999989387793,0.051339910974511654
RPL3,TRCN0000117507,-115.29628119053118,3.9988481314599253,1.7040230476313e-8,0.9999999829597696,3.4080460897811804e-8,-6.3781197979688375,1.4474051851236494e-6,0.9999999989387793,2.6364591325285978e-6
PSMB2,TRCN0000003907,-32.05950938660462,2.0503417427069555,4.217327080903632e-4,0.9995782672919097,8.434654161808552e-4,-6.349175931091114,0.00193054527401081,0.9999999989387793,0.00235435363772879
COPB1,TRCN0000155168,-180.20440251838167,2,1.539639875580756e-5,0.9999846036012442,3.079279751161401e-5,-Inf,1.2343214595757587e-4,0.9999999989387793,1.501545693092106e-4
RPL27,TRCN0000117776,-75.73589282502985,3.0746578661807473,1.9663762706742785e-6,0.9999980336237293,3.932752541402351e-6,-7.3256815604881425,2.3252399400723344e-5,0.9999999989387793,2.513772908220692e-5
RPL11,TRCN0000117715,-242.1419169139372,3.955607591718497,1.0612206995042361e-9,0.9999999989387793,2.1224413337961323e-9,-6.869715070277985,4.454547494758727e-7,0.9999999989387793,8.909094793008165e-7
RPL27,TRCN0000117774,-35.858875953266285,2.1800457600660863,2.304407389129484e-4,0.999769559261087,4.6088147782596955e-4,-5.2349085782116695,0.0012823349353626421,0.9999999989387793,0.001557120992940597
COPB1,TRCN0000151585,-55.566758844584584,2.0249419435529976,1.4884200445696862e-4,0.999851157995543,2.976840089139454e-4,-9.1185453269271175,8.800283513518269e-4,0.9999999989387793,0.0010915080326844666
RPL11,TRCN0000117713,-24.98011916610179,2.0005267590045417,7.982726858963595e-4,0.9992017273141036,0.001596545371792768,-6.1837196895519275,0.0030023546747984854,0.9999999989387793,0.003752279922960936
RPL11,TRCN0000117714,-110.26961024981958,2.7957835792112777,1.79202523057096e-6,0.9999982079747695,3.584050461080679e-6,-6.503312228684949,2.173404959128369e-5,0.9999999989387793,2.3817047706012456e-5
RPL34,TRCN0000077926,-69.71715196177459,2.535698438334791,1.566609790946855e-5,0.9999843339020905,3.133219581896718e-5,-5.470790088243067,1.2350107185297708e-4,0.9999999989387793,1.512258022690967e-4
RPL3,TRCN0000117508,-201.81839543052382,2.6628345642450406,5.982109783278924e-7,0.9999994017890217,1.1964219566173995e-6,-5.861789702683925,8.80705424972496e-6,0.9999999989387793,9.757027335862586e-6
RPS8,TRCN0000074782,-39.31526788418646,2.0414317836637825,2.852452757515839e-4,0.9997147547242484,5.704905515031555e-4,-7.665348624042911,0.0015227608501213834,0.9999999989387793,0.0018438872879018241
PSMD1,TRCN0000058106,-36.21069970258025,2.03354646873458,3.4521219400363674e-4,0.9996547878059964,6.904243880072602e-4,-7.562551708222113,0.001718793344881265,0.9999999989387793,0.0020800683791556314
RPL36,TRCN0000117676,-178.48176111613319,3.5583507838240687,1.8360319473027266e-8,0.9999999816396805,3.672063897397493e-8,-6.33134548632381,1.4474051851236494e-6,0.9999999989387793,2.6364591325285978e-6
POLR2D,TRCN0000021365,-29.343604010281496,2.0495832832319367,5.065512147488903e-4,0.9994934487852511,0.0010131024294977031,-6.8829971110388435,0.0021146061257153095,0.9999999989387793,0.002647499719074108
PSMA3,TRCN0000003882,-13.447677987212847,2.0033996918092227,0.0027239966156335617,0.9972760033843664,0.00544799323126699,-6.482656820697757,0.007715271851465118,0.9999999989387793,0.009643810694004277
RPL5,TRCN0000074993,-27.04736089834913,3.9189212429907325,6.653122056837274e-6,0.9999933468779432,1.3306244113664434e-5,-3.68103535410474,6.422299454865369e-5,0.9999999989387793,7.404533489133267e-5
PSMA3,TRCN0000003883,-168.5116028467555,3.2969423226749246,6.64258180321729e-8,0.9999999335741819,1.3285163613652173e-7,-8.348011294447636,2.2467373714287627e-6,0.9999999989387793,3.5626180377475245e-6
NUP93,TRCN0000059961,-168.15470352907053,3.1398891579437733,1.2882188024594436e-7,0.9999998711781197,2.576437605483761e-7,-8.432377174509098,3.3851527420184265e-6,0.9999999989387793,4.352339240692211e-6
RPS8,TRCN0000074778,-278.5268318126138,2.085651951269982,4.213384983370741e-6,0.9999957866150166,8.426769966707326e-6,-5.713472291562272,4.42873577140969e-5,0.9999999989387793,4.982327742815707e-5
RPL27,TRCN0000117772,-37.872616994242144,2.087846062998244,2.683071644615427e-4,0.9997316928355384,5.366143289231573e-4,-6.557053935234885,0.0014756894045384848,0.9999999989387793,0.0017749550879765973
POLR2D,TRCN0000021368,-18.21211007455298,2.024864334214242,0.0014190536545057827,0.9985809463454942,0.0028381073090115727,-6.9861224573046385,0.004566070602593436,0.9999999989387793,0.005761479644474136
RPL6,TRCN0000004997,-19.019264234711677,2.1971971198251,8.804752995572809e-4,0.9991195247004427,0.0017609505991145191,-6.429712622054572,0.0031864490385993495,0.9999999989387793,0.0039646455248631375
RPL36,TRCN0000117673,-164.86907477433607,3.3865710801071183,4.93011818998196e-8,0.9999999506988181,9.860236382941423e-8,-7.443818839239455,1.9432882532178892e-6,0.9999999989387793,3.213093039825902e-6
RPL36,TRCN0000117674,-101.89961754717841,3.738165742747962,7.06448970856641e-8,0.999999929355103,1.412897943087188e-7,-6.254655330060109,2.2467373714287627e-6,0.9999999989387793,3.5626180377475245e-6
RPS11,TRCN0000074978,-13.911881394308454,2.0152990311309478,0.0024868967245453206,0.9975131032754547,0.004973793449090769,-7.0684465216578705,0.007261124387098375,0.9999999989387793,0.00904847808238436
