gene,pvalue,log2FoldChange,stat,padj
ABCG8,3.4142148674204644e-51,0.5930402588558966,4.93921716805674,4.7092618860971923e-51
ADH7,1.83721786130566e-66,0.40852419435140674,4.8663088287823,3.195161497922887e-66
CABP5,0,0.365852703543104,8.31521775916783,0
COPA,1.8758344372094704e-62,-3.77988738048088,-4.3612261686537686,2.8858991341684163e-62
COPB1,8.515361372340198e-178,-7.960766763563272,-11.933325384432573,6.812289097872158e-177
COPS2,NA,-2.888176900869905,-7.516354660085878,NA
COPS4,4.001661505999156e-42,-3.505487379082758,-5.907355009864227,4.70783706588136e-42
COPS6,NA,-2.2190480794237266,-6.727768588469905,NA
COPS8,9.334168656840146e-143,-0.8813841757231757,-3.433275610052634,4.667084328420073e-142
COPZ1,4.705473481294006e-102,-0.831569546197926,-1.502518054062693,1.2143157371081305e-101
CRYGB,3.2200734771523666e-35,0.04358415401869639,1.7828881910536536,3.6282518052421033e-35
CYP7A1,3.7700522593779304e-72,0.530131066944245,5.041005483375199,7.356199530493522e-72
DEFB129,1.2746794340862513e-187,1.3283141101881908,11.761949030156998,1.1330483858544457e-186
DMRTB1,3.017916306053839e-29,0.38335696430274735,2.1522910779530915,3.135497460835157e-29
DMRTC2,8.735253862469729e-66,-1.4432174384316727,3.491644703754945,1.3976406179951567e-65
FAM71B,3.349790133213882e-100,-0.28436723654332596,0.20031317563812287,8.374475333034705e-100
FCRL4,5.8241679075079775e-77,0.3193129289782841,4.89019667886959,1.1947011092324055e-76
HTR3D,2.3762954683542343e-28,0.7563613021074607,4.590484458983104,2.437226121388958e-28
IL1F10,7.330905207151126e-96,-1.3084174983822796,-1.2388536054501302,1.724918872270853e-95
IL22,1.4569320522208164e-30,0.10180529296700114,1.3101181275671425,1.5540608557022041e-30
KRT25,1.3677126443793465e-54,0.03783172564693682,1.5449424504280385,1.9538752062562093e-54
KRT74,1.2047294295729746e-44,0.10838876962457308,0.9748418846916698,1.4827439133205843e-44
KRT77,2.1723209230119095e-45,0.19862492577637608,2.734816706204301,2.7585027593802024e-45
KRT9,2.980776640577142e-45,0.07945511707375993,2.0518725337161676,3.7259708007214277e-45
LHX5,6.979335548383306e-66,-0.9882507006611766,2.7527492887392553,1.1394833548380907e-65
LUZP4,4.830929154206085e-80,0.7786029066229039,7.315002880335786,1.0170377166749652e-79
LYZL6,6.736073491348803e-35,0.6638200771280325,3.3895246667597925,7.381998346683619e-35
MAGEB3,4.060767840239125e-133,0.9453324076443923,9.415491349876923,1.4766428509960455e-132
MRGPRD,1.4805494990961269e-52,0.23342840176171134,2.785070864649201,2.0779642092577217e-52
NLRP5,2.0335841889803777e-167,0.39138839191936214,4.0959173230082095,1.3557227926535852e-166
NPHS2,2.1755491110607294e-55,-1.0226746562913962,-1.7807051220770687,3.1644350706337882e-55
NPSR1,1.848482967591784e-44,-0.19821302342721567,1.1687411961519236,2.2405854152627688e-44
NUP133,6.084926004615517e-275,-2.539189502614533,-5.800169742691631,8.113234672820689e-274
NUP205,NA,-3.3235033914627454,-2.1692978720727814,NA
NUP54,1.1008905060711381e-111,-1.6313819781980003,-9.358981579791228,3.261897795766335e-111
