id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,twosided.p.value
RPL11,5,2.3872e-6,2.496e-5,0.002321,1,5,-6.7085,0.99996,0.99997,0.999965,93,0,-6.7085,4.992e-5
COPB1,5,2.4255e-4,0.0011831,0.055014,2,5,-6.5421,0.99976,0.99976,0.999965,92,0,-6.5421,0.0023662
POLR2D,5,5.0737e-4,0.0022114,0.067665,3,5,-4.9823,0.99695,0.9969,0.999965,88,0,-4.9823,0.0044228
PSMD1,5,6.5807e-4,0.0029103,0.067665,4,4,-4.251,0.77013,0.87328,0.999965,70,1,-4.251,0.0058206
RPS9,4,0.0011185,0.0043879,0.074612,5,4,-5.5693,0.99888,0.99874,0.999965,91,0,-5.5693,0.0087758
RPL9,5,0.001126,0.0050768,0.074612,6,4,-6.4867,0.48321,0.70426,0.999965,59,1,-6.4867,0.0101536
RPL6,5,0.0012634,0.005616,0.074612,7,5,-8.8167,0.99874,0.99869,0.999965,90,0,-8.8167,0.011232
PSMB3,5,0.0020015,0.0085113,0.098944,8,5,-4.7983,0.998,0.99794,0.999965,89,0,-4.7983,0.0170226
PSMD11,5,0.0024214,0.010229,0.105695,9,4,-4.6865,0.026149,0.093265,0.542102,16,1,-4.6865,0.020458
RPL36,5,0.0028313,0.011816,0.109889,10,4,-6.2238,0.82835,0.89648,0.999965,74,1,-6.2238,0.023632
COPS2,5,0.0049889,0.020192,0.170718,11,4,-2.7497,0.91704,0.93062,0.999965,76,1,-2.7497,0.040384
RPL5,5,0.005675,0.022659,0.175604,12,5,-3.3719,0.99409,0.99376,0.999965,87,0,-3.3719,0.045318
COPS4,5,0.0064512,0.025694,0.177577,13,5,-1.873,0.99355,0.9933,0.999965,86,0,-1.873,0.051388
RPS8,4,0.0078135,0.026732,0.177577,14,4,-7.0742,0.98501,0.9852,0.999965,85,0,-7.0742,0.053464
RPS11,5,0.008782,0.03427,0.212473,15,4,-5.8693,0.69708,0.82623,0.999965,68,1,-5.8693,0.06854
RPS13,5,0.012126,0.04665,0.271153,16,4,-11.491,0.79801,0.8883,0.999965,72,1,-11.491,0.0933
