sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
TRCN0000056335,CABP5,18615/18771/18080,84166/91308/90349,18486,88550,2.26,131250,1634e3,54.812,1,0,0,0,True
TRCN0000063065,OR9Q2,16350/14906/13247,80395/61450/72317,14779,70958,2.2633,2415400,1182300,51.666,1,0,0,0,True
TRCN0000003949,PSMD11,8196/7104.7/9386,43486/50098/39885,8176.1,44292,2.4374,1306100,502690,50.939,1,0,0,0,True
TRCN0000052955,POLA1,45616/42084/37959,1.4874e+05/1.3915e+05/1.5697e+05,41769,148110,1.8261,14708e3,5313900,46.131,1,0,0,0,True
TRCN0000073248,TRIM42,6901.8/5734.2/6323.6,36675/30098/32472,6301.8,32972,2.3872,341340,345220,45.392,1,0,0,0,True
TRCN0000155025,NLRP5,6970.5/5734.2/5153.2,29262/32966/31870,5905.7,31327,2.407,864730,314350,45.341,1,0,0,0,True
TRCN0000121583,NUP133,11979/11290/9881.2,53813/46906/50344,11015,50275,2.1903,1145100,773080,44.652,1,0,0,0,True
TRCN0000116782,KRT77,16575/12583/11793,57908/54859/63751,13498,58725,2.1211,6606400,1037100,44.411,1,0,0,0,True
TRCN0000009004,RXFP2,14999/13505/12694,58411/53851/63322,13700,58400,2.0917,1369e3,1059600,43.426,1,0,0,0,True
TRCN0000056675,TPH2,8519.1/7067.8/7151.4,33893/44105/32726,7551.3,36574,2.2758,665130,448190,43.351,1,0,0,0,True
TRCN0000153271,PIWIL3,10448/10429/10786,50817/40911/47006,10553,46061,2.1258,40391,726720,41.653,1,0,0,0,True
TRCN0000009302,OR12D2,10873/11020/11588,52388/51845/40359,11156,47858,2.1008,142800,787460,41.36,1,0,0,0,True
TRCN0000014034,TAS2R13,16670/16646/14725,66169/61774/59722,15987,62498,1.9668,1247200,1324500,40.414,1,0,0,0,True
TRCN0000054164,OC90,4963/5273.7/5424.7,31951/20842/24899,5216.9,25500,2.289,55444,262860,39.56,1,0,0,0,True
TRCN0000046917,NUP98,15337/16324/12942,53960/54102/66090,14797,57784,1.9653,3032600,1184400,39.499,1,0,0,0,True
TRCN0000005063,LHX5,24752/23072/24957,88786/88082/75179,24246,83774,1.7887,1069400,2418700,38.276,1,7.61e-321,1.5217e-320,4.4986e-319,True
TRCN0000014004,TAAR1,27865/24360/25356,95862/73863/93806,25819,87251,1.7567,3264200,2649100,37.744,1,4.751e-312,9.5019e-312,2.6438e-310,True
TRCN0000139275,FAM71B,5898/5632.1/6859.1,25055/30483/27620,6107.8,27631,2.1774,417400,329980,37.467,1,1.5756e-307,3.1512e-307,8.2808e-306,True
TRCN0000135246,DEFB129,10485/10169/9005.8,39639/39196/40355,9865.7,39727,2.0095,607560,659340,36.776,1,2.2748e-296,4.5497e-296,1.1326e-294,True
TRCN0000063028,FCRL4,13559/12443/11793,47066/43481/51347,12577,47189,1.9076,799e3,936400,35.768,1,1.7264e-280,3.4528e-280,8.1658e-279,True
TRCN0000056294,TGM6,8579.3/8506.8/7978.5,29151/38905/34461,8350.5,33936,2.0228,107590,518240,35.541,1,5.7039e-277,1.1408e-276,2.5695e-275,True
TRCN0000135207,DEFB129,22068/19307/18269,65842/65295/71127,19818,67371,1.7652,3862400,1806900,35.376,1,2.0317e-274,4.0634e-274,8.7364e-273,True
TRCN0000009303,OR12D2,10504/7615.2/9642.7,32152/38649/38309,9170.9,36242,1.9824,221e4,593340,35.145,1,7.0141e-271,1.4028e-270,2.8849e-269,True
TRCN0000121679,PSMD6,14835/13596/12142,43709/51480/50336,13479,48383,1.8437,1819900,1035e3,34.309,1,2.8465e-258,5.693e-258,1.122e-256,True
TRCN0000060813,OR52E8,6220.3/5818.9/6371.3,27895/25209/24134,6132.4,25698,2.067,81562,331900,33.962,1,4.047e-253,8.0941e-253,1.5314e-251,True
TRCN0000014167,TAS2R9,85.006/143.35/0.67187,469.45/354.56/298.63,21.022,367.68,4.0653,9736.6,107.34,33.46,1,9.3039e-246,1.8608e-245,3.3852e-244,True
TRCN0000116927,KRT74,11841/11542/8782,38019/45075/35308,10627,39259,1.8851,2858e3,734120,33.416,1,3.9796e-245,7.9592e-245,1.3943e-243,True
TRCN0000059649,ABCG8,15044/13117/12218,46802/43344/51608,13409,47131,1.8134,2088600,1027200,33.272,1,4.8757e-243,9.7514e-243,1.6473e-241,True
TRCN0000151784,LYZL6,8309.4/6420.5/5418,21565/27523/32245,6611.9,26749,2.0162,2171800,369990,33.105,1,1.2589e-240,2.5179e-240,4.1068e-239,True
TRCN0000018161,OLIG2,8438.3/7407.7/5701.5,26837/30560/26765,7089.9,27999,1.9814,1923400,409210,32.687,1,1.2145e-234,2.429e-234,3.8297e-233,True
TRCN0000074708,RPS3A,12351/12522/11373,38118/42769/47893,12071,42741,1.824,384690,882450,32.649,1,4.1767e-234,8.3534e-234,1.2746e-232,True
TRCN0000026491,ADH7,13821/10603/11347,42408/43859/40097,11847,42093,1.8289,2847800,858900,32.635,1,6.5086e-234,1.3017e-233,1.9241e-232,True
TRCN0000064259,CYP7A1,9777.2/8692.5/8050.4,32229/30658/36817,8811.6,33135,1.9107,762990,560070,32.501,1,5.1896e-232,1.0379e-231,1.4877e-230,True
TRCN0000009304,OR12D2,23131/22070/20256,72358/68184/64394,21786,68235,1.6471,2115900,2072e3,32.268,1,9.7989e-229,1.9598e-228,2.7264e-227,True
TRCN0000115753,SAGE1,26011/22135/21091,80226/66008/66029,22985,70450,1.6159,6732300,2238900,31.722,1,3.8888e-221,7.7777e-221,1.0511e-219,True
TRCN0000116494,KRT25,11558/10964/9547.3,42138/34115/37208,10656,37677,1.822,1069100,736940,31.477,1,8.9162e-218,1.7832e-217,2.343e-216,True
TRCN0000019571,POU4F2,10951/11726/11531,45498/42296/32169,11398,39559,1.7951,162520,812220,31.247,1,1.2215e-214,2.4429e-214,3.123e-213,True
TRCN0000151560,PIWIL3,13018/9231.1/9859.7,37004/35820/38955,10582,37237,1.8151,4140500,729560,31.207,1,4.2396e-214,8.4791e-214,1.0554e-212,True
