Gene,pos.pvalue,pos.fdr,neg.pvalue,neg.fdr,p.value.twosides
ABCG8,0.13547068933588413,0.4938341515575364,0.9687281928192851,0.9999985854808958,0.27094137867176826
ADH7,0.07760965609375436,0.38824030495643475,0.9845213372064869,0.9999985854808958,0.15521931218750873
CABP5,0.0044638294844507875,0.08785140788434764,0.9979945773566827,0.9999985854808958,0.008927658968901575
COPA,0.843831145643839,0.9999997238635215,0.38967414894570984,0.8815961823316353,0.7793482978914197
COPB1,0.9999911566999532,0.9999997238635215,1.467606106765329e-4,0.002729747358583512,2.935212213530658e-4
COPS2,0.9895434206988626,0.9999997238635215,0.059874531241410844,0.18370631771317536,0.11974906248282169
COPS4,0.9758937848279292,0.9999997238635215,0.10729509190564435,0.28509838706356927,0.2145901838112887
COPS6,0.9909609038762431,0.9999997238635215,0.05412695751545904,0.1735795534116445,0.10825391503091808
COPS8,0.7414747432545373,0.9999997238635215,0.544682881984341,0.9999985854808958,1
COPZ1,0.5865429454889647,0.9999997238635215,0.7150594466090541,0.9999985854808958,1
CRYGB,0.13870800471500766,0.4938341515575364,0.9561898761965093,0.9999985854808958,0.2774160094300153
CYP7A1,0.19455840998657303,0.560607479393673,0.9409505164852806,0.9999985854808958,0.38911681997314607
DEFB129,3.846022034581509e-5,0.003576800492160803,0.9999985854808958,0.9999985854808958,7.692044069163018e-5
DMRTB1,0.19892523462356138,0.560607479393673,0.9410009804947427,0.9999985854808958,0.39785046924712275
DMRTC2,0.03288027566574514,0.24689375514575204,0.9946284090041544,0.9999985854808958,0.06576055133149028
FAM71B,0.5721291114660476,0.9999997238635215,0.7161470516992663,0.9999985854808958,1
FCRL4,0.1539912945717049,0.4938341515575364,0.962281468309564,0.9999985854808958,0.3079825891434098
HTR3D,0.09940401480632932,0.4059786799152717,0.9781599564827754,0.9999985854808958,0.19880802961265864
IL1F10,0.2737729091697273,0.727453730079561,0.9136436105568846,0.9999985854808958,0.5475458183394546
IL22,0.5895664892482176,0.9999997238635215,0.7005101192779317,0.9999985854808958,1
