gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
RPS13,5,5,-8.250197766390723,-3.1463094313998976,0.0016534497337582627,0.010983630374251317,2.232217243955211
COPB1,5,5,-8.023696882683947,-3.6596433807038093,2.525664937754986e-4,0.0029360854901401712,1.7665973538229272
RPL11,5,5,-7.665447900417495,-5.599678436302399,2.1474978464570508e-8,1.9971729972050573e-6,0.8119124234844096
PSMB2,5,5,-7.223689348912,-2.6231501581599406,0.008712086626597866,0.03375933567806673,2.4551742309402695
RPL6,5,5,-7.047070370727112,-3.5037222319789394,4.588036534801025e-4,0.0047409710859610595,1.649628738643369
PSMD7,4,4,-6.7661730003606,-3.3788212304153964,7.279732933744525e-4,0.006708113290423979,1.572087926573719
RPL35A,4,4,-6.596713427406225,-2.1378838635111155,0.032526170225276325,0.08642668088430566,2.7803024635753344
RPS8,4,4,-6.398198741142597,-2.815059327449654,0.004876822988445345,0.022677226896270854,1.9166427231342622
RPS9,4,4,-6.396441301827156,-4.625050486631193,3.745071684067094e-6,1.1918109005530162e-4,0.8728896773096834
PSMA3,5,5,-6.2123062358072545,-2.295664088275516,0.021695095289496914,0.0630513706851004,2.4716818211644034
RPS19,4,4,-6.144411479804792,-1.8177649479560816,0.06910006618048102,0.15673917450694475,3.120902310443237
RPL27,5,5,-6.0145785347516965,-2.4956114552382873,0.012574024669300883,0.044976319009422394,2.1699437858853647
RPS11,5,5,-5.866114588879918,-2.439428657031419,0.014710507034640009,0.0506695242304267,2.174154888146484
PSMB3,5,5,-5.660712755542729,-4.331836438964149,1.4787077670069575e-5,3.4379955582911764e-4,0.9646871423726266
RPL36,5,5,-5.635136255239693,-2.958099112067352,0.0030954257980251813,0.015151294695596939,1.65069320899701
NUP93,5,5,-5.529580292500012,-2.3491192478067338,0.018817879072273967,0.0583354251240493,2.1420326751440073
POLR2D,5,5,-5.396584933319131,-4.1293272390558435,3.638262643351614e-5,5.473537679421101e-4,0.9924827262531732
RPL9,5,5,-5.394785186236239,-2.296799268166421,0.02163022333940684,0.0630513706851004,2.145188270598585
RPL5,5,5,-5.198029571562846,-2.783040319353323,0.005385211339094575,0.02384879307313312,1.643499964481661
RPL34,5,5,-4.938644472577952,-1.6821456655575413,0.09254059714590467,0.1955971712402076,2.7798472442015267
PSMD1,5,5,-4.66698243802284,-2.3541955272508797,0.018562843978921155,0.0583354251240493,1.803340391843204
NUP205,4,4,-4.533407549541042,-1.6698599783749888,0.09494707025542047,0.19622394519453565,2.531350855160809
COPS4,5,5,-4.47738315510389,-1.9642095857896171,0.049505791626355544,0.12115891108555435,2.126023617226411
RPL3,5,5,-4.418139965948295,-2.7209573816614783,0.006509315299815236,0.027516651040128043,1.4362330015346412
RPS24,5,5,-3.9611324453388,-2.01457999082113,0.043948675757902525,0.11046559041851176,1.8284542172053628
PSMD11,5,5,-3.856000167722864,-2.524215962990568,0.01159566682638706,0.04313588059415987,1.3724383560805857
RPS7,2,2,-3.72224828688873,-0.7884746840579626,0.4304191009417191,0.5886614174644099,4.404102798463102
COPA,5,5,-3.4776727423002534,-1.322933495213436,0.1858574951745281,0.3142681282042021,2.5283185503227545
COPS2,5,5,-3.4033734495665944,-2.6560739515783434,0.00790562757365973,0.031966233232624125,1.1393939553466925
RPS3A,5,5,-3.2027322307117068,-1.9149239287563717,0.05550220568098479,0.12904262820828966,1.5643069632039903
RPL18A,5,5,-3.169097343547598,-4.225434146738399,2.384805591993295e-5,4.435738401107529e-4,0.5620891360755992
POLR2F,5,5,-3.0426384255784145,-1.475608647594902,0.14004898231278104,0.2553834383350713,1.9709470731617431
PSMD6,5,5,-2.8301662190773835,-1.150563789763792,0.2499117370272108,0.41503199184876083,2.3804083405084095
COPS6,5,5,-2.7303959973151533,-1.9504159968959145,0.051126556724276274,0.12191717372712034,1.3066978036247838
PSMC1,5,5,-2.6914783720426585,-2.2834759648499072,0.022402347062931267,0.06313388717735176,1.0774663260022341
NUP133,5,5,-2.6811979256911203,-1.5068055349070861,0.1318605104355594,0.25026586674504137,1.698561755985549
PSMC4,5,5,-2.0337575164496973,-3.332840443356988,8.596422636725585e-4,0.006708113290423979,0.5097735910871314
NUP54,5,5,-1.7672725120433257,-4.100652569317678,4.1198670705320114e-5,5.473537679421101e-4,0.32856012567441734
OLIG2,5,5,-1.7655648610011403,-1.7146413653950239,0.08641099981762802,0.18688890658231175,0.9733916396290819
POLA1,5,5,-1.7176920459882703,-1.477938447982258,0.13942425407793416,0.2553834383350713,1.1108142264676777
IL1F10,5,5,-1.4347556433705617,-1.0598871069222502,0.2891959618946478,0.4637107664862456,1.3137712487786728
RPS27,5,5,-1.3073640504131905,-3.0897289383523954,0.0020033924072101125,0.012421032924702698,0.3621784836142462
NPHS2,5,5,-1.1678565282719406,-0.9650969951752609,0.3344962318478827,0.501744347771824,1.1776493740013307
DMRTC2,5,5,-1.1053179262034527,-0.5663955528499047,0.5711249172125047,0.690399298700308,1.915823884769924
PLA2G2E,5,5,-1.0912252589078753,-2.3976655673221323,0.01649992224590928,0.05480331317391297,0.41273211411498334
COPS8,5,5,-1.0178499290654222,-1.0451295080753562,0.2959631177102967,0.46651813469589143,0.9456028554722441
NUP98,5,5,-1.0151794728235233,-0.9322961191163991,0.3511835128062363,0.5171707591189758,1.0606541008992887
COPZ1,5,5,-0.9747689782292045,-0.9232010190750716,0.3559024578883274,0.5171707591189758,1.0287154045861993
RPL30,5,5,-0.8236046830251198,-0.7552631693331032,0.45009109287034377,0.6066445164774199,1.0667474855179866
LHX5,5,5,-0.814457826973409,-0.6218569404084602,0.5340359411355886,0.690399298700308,1.2845713193098034
TGM6,5,5,-0.7081890771902541,-1.1052417602877593,0.2690548461784374,0.4389842227121873,0.6209843482348532
TPH2,5,5,-0.49386915798974645,-0.4027935027487052,0.6871001412683257,0.8088647232652443,1.2064199856738105
FAM71B,8,8,-0.4404722175507746,-0.8592671563867516,0.3901931399386144,0.5498176062771385,0.5051925236357792
PSMC2,3,3,-0.37058465475759506,-0.5985583968515886,0.549467406068642,0.690399298700308,0.598240635677073
NPSR1,5,5,-0.3250537391032448,-0.6197815360266882,0.5354016263499993,0.690399298700308,0.5144137873304045
POLR2A,5,5,-0.1333122605253153,-0.4229996993828008,0.6722954803891925,0.8015830727717296,0.3100244563938804
KRT25,5,5,-0.10652570093507135,-0.18673351566400426,0.8518695765782739,0.9320455367268174,0.562325909588043
CRYGB,6,6,-0.10320885363102161,-0.19795282548807833,0.8430819730862262,0.9320455367268174,0.5152579323873359
KRT9,5,5,-0.05845911307559694,-0.08293759494861958,0.9339011605570536,0.9650311992422889,0.695071610521832
IL22,5,5,-0.043012947103479644,-0.09235738187767772,0.9264140989870413,0.9650311992422889,0.4592468225490942
KRT74,5,5,-0.0301113819791541,-0.05419895263979329,0.9567766551321986,0.9693638647362444,0.5478893850415857
RXFP2,5,5,-0.016543261018850352,-0.015056567892193418,0.9879870508315902,0.9879870508315902,1.083589928195027
SPATA16,6,6,0.02627289677061614,0.05148306343565907,0.958940597373489,0.9693638647362444,0.5045413667878614
KRT77,5,5,0.05419770770904959,0.09508243192848934,0.9242493521387922,0.9650311992422889,0.5620773148161498
MRGPRD,5,5,0.09742906882282888,0.15260863530913166,0.8787069147813675,0.939307391662841,0.6294147327915277
TRIM42,5,5,0.13661512723815555,0.16156116782592597,0.8716514390689305,0.939307391662841,0.8336272533834643
OC90,5,5,0.15948074698991344,0.31775065149965126,0.7506740864270572,0.8503723568912198,0.4942760454080169
FCRL4,5,5,0.18095222533596364,0.36261962852445895,0.7168890454777631,0.8333835153678997,0.49121514225874374
POU4F2,5,5,0.2081090439097805,0.30688032011861377,0.7589344690534543,0.8503723568912198,0.6679002626233533
CABP5,5,5,0.23340777294135565,0.33697273965792207,0.7361374501190017,0.8451948501366315,0.6820096854412209
NLRP5,11,11,0.25417548794336386,0.8230707273825624,0.41046777409088764,0.5697537759769037,0.30573180317681053
TAS2R13,5,5,0.25950857280091993,0.5790438300496281,0.5625595991890628,0.690399298700308,0.4398846232516475
ADH7,5,5,0.27870798039456995,0.5656658934563558,0.5716209247303625,0.690399298700308,0.48370739659484996
VN1R2,5,5,0.31791123034428065,0.6067908274148694,0.5439897361901704,0.690399298700308,0.5139982290002225
RPTN,5,5,0.3471128176046558,0.7168072226659941,0.47349305449003587,0.6290693438224761,0.47408975828781713
RNASE9,5,5,0.367290474893121,0.9834558732365218,0.32538312286535054,0.4960759086307803,0.3632699851629661
