gene,m.x,NScore.x,p.value.pos,FDR.pos,rank.pos,m.y,NScore.y,p.value.neg,FDR.neg,rank.neg,p.value.twosides
DEFB129,15,2.9886123955193646,3.5829451809387314e-4,0.011107130060910067,1,15,2.9886123955193646,1,1,93,7.165890361877463e-4
OR12D2,15,2.9059824884244323,3.5829451809387314e-4,0.011107130060910067,2,15,2.9059824884244323,1,1,92,7.165890361877463e-4
RXFP2,15,2.611769495607566,3.5829451809387314e-4,0.011107130060910067,3,15,2.611769495607566,1,1,91,7.165890361877463e-4
OR9Q2,15,2.5106905324260773,7.165890361877463e-4,0.013328556073092081,4,15,2.5106905324260773,0.9996417054819061,1,90,0.0014331780723754925
SAGE1,15,2.353351277626328,7.165890361877463e-4,0.013328556073092081,5,15,2.353351277626328,0.9996417054819061,1,89,0.0014331780723754925
PIWIL3,30,2.3410091603010654,0.0010748835542816195,0.016660695091365103,6,30,2.3410091603010654,0.9992834109638122,1,88,0.002149767108563239
CABP5,15,2.255394852799867,0.00573271228950197,0.06664278036546041,7,15,2.255394852799867,0.9946255822285919,1,87,0.01146542457900394
OR52E8,15,2.2400796328976234,0.006091006807595844,0.06664278036546041,8,15,2.2400796328976234,0.994267287710498,1,86,0.012182013615191688
TAAR1,15,2.2339489249953237,0.006449301325689717,0.06664278036546041,9,15,2.2339489249953237,0.9939089931924041,1,85,0.012898602651379433
VN1R2,15,2.1439504920491097,0.011107130060910068,0.0939057359695124,10,15,2.1439504920491097,0.9892511644571838,1,84,0.022214260121820137
TAAR8,15,2.1426928187071224,0.011107130060910068,0.0939057359695124,11,15,2.1426928187071224,0.9892511644571838,1,83,0.022214260121820137
MAGEB3,15,2.1146046880246505,0.016123253314224293,0.11790645756966073,12,15,2.1146046880246505,0.9842350412038696,1,82,0.032246506628448586
TPH2,15,2.109510794692218,0.016481547832318165,0.11790645756966073,13,15,2.109510794692218,0.9838767466857757,1,81,0.03296309566463633
NLRP5,33,2.0926902685211006,0.01827302042278753,0.12138506423708861,14,33,2.0926902685211006,0.9820852740953063,1,80,0.03654604084557506
TRIM42,15,2.0388917500267696,0.025797205302758867,0.15994267287710498,15,15,2.0388917500267696,0.974561089215335,1,79,0.05159441060551773
LUZP4,15,2.006057480299244,0.03188821211035471,0.18535023289143676,16,15,2.006057480299244,0.9684700824077391,1,78,0.06377642422070942
POU4F2,15,1.8878981039077867,0.06162665711214618,0.3371340653782115,17,15,1.8878981039077867,0.9387316374059477,1,77,0.12325331422429237
LYZL6,18,1.866368380877078,0.06771766391974203,0.34381616233998896,18,18,1.866368380877078,0.9326406305983519,1,76,0.13543532783948406
ADH7,15,1.8510434356046968,0.07130060910068076,0.34381616233998896,19,15,1.8510434356046968,0.9290576854174131,1,75,0.1426012182013615
FCRL4,15,1.8328828752654307,0.07595843783590112,0.34381616233998896,20,15,1.8328828752654307,0.9243998566821927,1,74,0.15191687567180223
ABCG8,15,1.8267323886852624,0.07846649946255822,0.34381616233998896,21,15,1.8267323886852624,0.9218917950555356,1,73,0.15693299892511645
HTR3D,15,1.821631938817221,0.08133285560730921,0.34381616233998896,22,15,1.821631938817221,0.9190254389107847,1,72,0.16266571121461842
RPTN,15,1.8080598589156205,0.08706556789681118,0.3520477310610191,23,15,1.8080598589156205,0.9132927266212827,1,71,0.17413113579362235
LHX5,15,1.7774532963475393,0.10211393765675385,0.3956915084199212,24,15,1.7774532963475393,0.8982443568613401,1,70,0.2042278753135077
TAS2R13,15,1.7559767766974612,0.11357936223575779,0.4113910095637075,25,15,1.7559767766974612,0.8867789322823361,1,69,0.22715872447151558
KRT77,15,1.7537009210505063,0.11501254030813328,0.4113910095637075,26,15,1.7537009210505063,0.8853457542099605,1,68,0.23002508061626656
CYP7A1,15,1.7290988757270216,0.12504478681476172,0.43070982125084595,27,15,1.7290988757270216,0.8753135077033322,1,67,0.25008957362952344
DMRTC2,15,1.6988755146876067,0.13471873880329632,0.43432708583006957,28,15,1.6988755146876067,0.8656395557147976,1,66,0.26943747760659265
MRGPRD,15,1.6947880568990008,0.13543532783948406,0.43432708583006957,29,15,1.6947880568990008,0.8649229666786098,1,65,0.2708706556789681
RNASE9,15,1.67713242386415,0.14403439627373701,0.44650662844858474,30,15,1.67713242386415,0.8563238982443568,1,64,0.28806879254747403
SPATA16,18,1.6554822700832088,0.15120028663561447,0.45192135435327835,31,18,1.6554822700832088,0.8491580078824794,1,63,0.30240057327122893
KRT74,15,1.6306842207832617,0.15549982085274094,0.45192135435327835,32,15,1.6306842207832617,0.8448584736653529,1,62,0.3109996417054819
OC90,15,1.5630199468876416,0.1762809029021856,0.4909351486922251,33,15,1.5630199468876416,0.8240773916159083,1,61,0.3525618058043712
CRYGB,18,1.4797724193176267,0.1952705123611609,0.4909351486922251,34,18,1.4797724193176267,0.805087782156933,1,60,0.3905410247223218
KRT9,15,1.4741169540598222,0.19777857398781798,0.4909351486922251,35,15,1.4741169540598222,0.8025797205302759,1,59,0.39555714797563596
KRT25,15,1.4612037140321736,0.20207810820494446,0.4909351486922251,36,15,1.4612037140321736,0.7982801863131495,1,58,0.4041562164098889
NPSR1,15,1.3619102165789534,0.2160515944106055,0.4909351486922251,37,15,1.3619102165789534,0.7843067001074884,1,57,0.432103188821211
IL22,15,1.305189770902889,0.2228591902543891,0.4909351486922251,38,15,1.305189770902889,0.7774991042637047,1,56,0.4457183805087782
DMRTB1,15,1.2521687146698366,0.22644213543532785,0.4909351486922251,39,15,1.2521687146698366,0.773916159082766,1,55,0.4528842708706557
TAS2R9,15,1.2211075368053081,0.2268004299534217,0.4909351486922251,40,15,1.2211075368053081,0.7735578645646721,1,54,0.4536008599068434
OTUD6A,21,1.0557457115199453,0.2321748477248298,0.4909351486922251,41,21,1.0557457115199453,0.7681834467932641,1,53,0.4643496954496596
POLR2F,15,0.24053327848392073,0.23396632031529918,0.4909351486922251,42,15,0.24053327848392073,0.7663919742027947,1,52,0.46793264063059836
PLA2G2E,15,0.11908058646866868,0.23539949838767465,0.4909351486922251,43,15,0.11908058646866868,0.7649587961304192,1,51,0.4707989967753493
TGM6,15,0.08794861184432431,0.23754926549623792,0.4909351486922251,44,15,0.08794861184432431,0.762809029021856,1,50,0.47509853099247584
IL1F10,15,0.06673967900567296,0.23754926549623792,0.4909351486922251,45,15,0.06673967900567296,0.762809029021856,1,49,0.47509853099247584
POLR2A,15,-0.0030294279542307165,0.24865639555714797,0.49414912675240324,46,15,-0.0030294279542307165,0.7517018989609459,1,48,0.49731279111429594
RPL30,15,-0.010587427551550318,0.2497312791114296,0.49414912675240324,47,15,-0.010587427551550318,0.7506270154066643,1,47,0.4994625582228592
FAM71B,24,-0.05031477525804689,0.25833034754568257,0.50051504836976,48,24,-0.05031477525804689,0.7420279469724114,1,46,0.5166606950913651
OLIG2,15,-0.1253739965802831,0.2869939089931924,0.5447027252319774,49,15,-0.1253739965802831,0.7133643855249014,1,45,0.5739878179863848
COPZ1,15,-0.19575443747643245,0.3296309566463633,0.6131135793622359,50,15,-0.19575443747643245,0.6707273378717306,1,44,0.6592619132927267
NPHS2,15,-0.22354590825975323,0.3486205661053386,0.6357198558391468,51,15,-0.22354590825975323,0.6517377284127552,1,43,0.6972411322106772
PSMC2,9,-0.2655737460708394,0.3830168398423504,0.6850108866411267,52,9,-0.2655737460708394,0.6173414546757434,1,42,0.7660336796847008
RPS7,6,-0.42978446176815305,0.5406664278036546,0.948716561995092,53,6,-0.42978446176815305,0.4596918667144393,1,41,0.9193837334288786
NUP98,15,-0.4894704541639012,0.5994267287710499,1,54,15,-0.4894704541639012,0.4009315657470441,0.9321658903618776,40,0.8018631314940882
PSMD6,15,-0.5250046165321834,0.6399140093156575,1,55,15,-0.5250046165321834,0.3604442852024364,0.8595209877904252,39,0.7208885704048728
COPA,15,-0.6915967505181972,0.7911142959512719,1,56,15,-0.6915967505181972,0.20924399856682194,0.512097154387222,38,0.4184879971336439
PSMC4,15,-0.8042597006236739,0.8670727337871731,1,57,15,-0.8042597006236739,0.13328556073092082,0.3350150580533956,37,0.26657112146184164
RPL35A,12,-0.8051674489833016,0.8681476173414546,1,58,12,-0.8051674489833016,0.1322106771766392,0.3350150580533956,36,0.2644213543532784
RPS19,12,-0.8218738932854431,0.8763883912576138,1,59,12,-0.8218738932854431,0.12396990326048012,0.3294057429492757,35,0.24793980652096023
NUP133,15,-0.827965530155708,0.8792547474023648,1,60,15,-0.827965530155708,0.12110354711572913,0.3294057429492757,34,0.24220709423145825
RPS27,15,-0.9107491322494434,0.920816911501254,1,61,15,-0.9107491322494434,0.07954138301683984,0.22416207941109412,33,0.15908276603367968
RPL34,15,-0.9197344474561012,0.9254747402364744,1,62,15,-0.9197344474561012,0.0748835542816195,0.21763032963095666,32,0.149767108563239
NUP205,12,-0.9395017115613187,0.9340738086707273,1,63,12,-0.9395017115613187,0.06628448584736654,0.19885345754209963,31,0.13256897169473308
PSMC1,15,-1.0659684636412574,0.9677534933715514,1,64,15,-1.0659684636412574,0.032604801146542454,0.10107488355428161,30,0.06520960229308491
COPS8,15,-1.0674725416766893,0.9677534933715514,1,65,15,-1.0674725416766893,0.032604801146542454,0.10107488355428161,29,0.06520960229308491
NUP93,15,-1.1012948117845205,0.9720530275886778,1,66,15,-1.1012948117845205,0.02830526692941598,0.09401392230127452,28,0.05661053385883196
