"Gene_ID","Well_ID","Score"
"RPS19","RPS19-10",9.71940298507463
"NUP93","NUP93-4",14.7986230636833
"PSMD11","PSMD11-2",9.27810650887574
"RPS3A","RPS3A-3",7.04739336492891
"PSMB3","PSMB3-3",15.4622222222222
"POLR2A","POLR2A-5",11.0351390922401
"RPS8","RPS8-8",10.4751879699248
"RPL36","RPL36-3",22.1541353383459
"RPS13","RPS13-4",29.0366492146597
"RPS11","RPS11-2",4.97052631578947
"NUP93","NUP93-7",6.11596505162828
"PSMC1","PSMC1-10",7.78190255220418
"RPS9","RPS9-10",7.77102803738318
"COPB1","COPB1-3",9.76076555023923
"PSMC1","PSMC1-6",5.72442748091603
"PSMC1","PSMC1-9",5.60463432295438
"RPL5","RPL5-6",6.83687258687259
"RPL11","RPL11-2",7.68335273573923
"PSMB2","PSMB2-1",9.48372093023256
"RPS11","RPS11-10",12.3333333333333
"PSMB2","PSMB2-13",9.77796901893287
"NUP93","NUP93-1",6.053494391717
"COPZ1","COPZ1-18",4.46681294569391
"RPS8","RPS8-7",12.2721088435374
"PSMC1","PSMC1-8",5.89102005231037
"PSMD6","PSMD6-7",8.76761619190405
"COPA","COPA-8",12.1235431235431
"RPL18A","RPL18A-6",11.1663286004057
"RPL5","RPL5-5",6.37524366471735
"POLR2F","POLR2F-2",6.25046382189239
"PSMB3","PSMB3-9",9.82142857142857
"POLR2D","POLR2D-9",12.6675191815857
"PSMB2","PSMB2-2",27.725
"PSMA3","PSMA3-6",9.48677248677249
"RPL34","RPL34-1",10.961145194274
"PSMB2","PSMB2-10",9.60644007155635
"RPS24","RPS24-7",5.31712626995646
"NUP93","NUP93-2",14.8821752265861
"PSMC4","PSMC4-5",3.14030612244898
"RPL27","RPL27-10",10.3613445378151
"RPL36","RPL36-1",10.7713625866051
"RPL9","RPL9-3",7.24444444444444
"RPS19","RPS19-2",6.49043869516311
"PSMC2","PSMC2-14",5.86653771760155
"NUP54","NUP54-18",11.4452736318408
"PSMB2","PSMB2-12",18.2649572649573
"COPS4","COPS4-9",4.30778164924506
"RPS11","RPS11-1",9.54081632653061
"POLR2F","POLR2F-1",3.57479706223425
"NUP133","NUP133-7",7.37315634218289
"RPL11","RPL11-8",31.2
"PSMB2","PSMB2-3",8.40590405904059
"RPL35A","RPL35A-5",5.70381836945304
"RPS13","RPS13-9",7.65993788819876
"PSMD6","PSMD6-18",6.24684270952928
"PSMD6","PSMD6-4",6.31572629051621
"RPL35A","RPL35A-4",19.4946808510638
"RPS19","RPS19-8",5.5162932790224
"POLR2D","POLR2D-2",7.48494453248811
"RPS13","RPS13-8",5.74553571428571
"COPZ1","COPZ1-17",3.3780487804878
"RPS8","RPS8-4",15.0549019607843
