gene,class
RPS19,decreasing
NUP93,decreasing
PSMD11,decreasing
RPS3A,decreasing
PSMB3,decreasing
POLR2A,decreasing
RPS8,decreasing
RPL36,decreasing
RPS13,decreasing
RPS11,decreasing
NUP93,decreasing
PSMC1,decreasing
RPS9,decreasing
COPB1,decreasing
PSMC1,decreasing
PSMC1,decreasing
RPL5,decreasing
RPL11,decreasing
PSMB2,decreasing
RPS11,decreasing
PSMB2,decreasing
NUP93,decreasing
COPZ1,decreasing
RPS8,decreasing
PSMC1,decreasing
PSMD6,decreasing
COPA,decreasing
RPL18A,decreasing
RPL5,decreasing
POLR2F,decreasing
PSMB3,decreasing
POLR2D,decreasing
PSMB2,decreasing
PSMA3,decreasing
RPL34,decreasing
PSMB2,decreasing
RPS24,decreasing
NUP93,decreasing
PSMC4,decreasing
RPL27,decreasing
RPL36,decreasing
RPL9,decreasing
RPS19,decreasing
PSMC2,decreasing
NUP54,decreasing
PSMB2,decreasing
COPS4,decreasing
RPS11,decreasing
POLR2F,decreasing
NUP133,decreasing
RPL11,decreasing
PSMB2,decreasing
RPL35A,decreasing
RPS13,decreasing
PSMD6,decreasing
PSMD6,decreasing
RPL35A,decreasing
RPS19,decreasing
POLR2D,decreasing
RPS13,decreasing
COPZ1,decreasing
RPS8,decreasing
RPL35A,decreasing
PSMD11,decreasing
RPL18A,decreasing
PSMD11,decreasing
POLR2A,decreasing
POLR2D,decreasing
COPS4,decreasing
RPL34,decreasing
RPL11,decreasing
NUP54,decreasing
RPL9,decreasing
RPL3,decreasing
RPS3A,decreasing
RPS24,decreasing
COPZ1,decreasing
RPL30,decreasing
POLA1,decreasing
RPL36,decreasing
RPS19,decreasing
RPL18A,decreasing
RPL11,decreasing
COPB1,decreasing
NUP93,decreasing
RPL9,decreasing
PSMC1,decreasing
RPS13,decreasing
RPS9,decreasing
NUP98,decreasing
COPS2,decreasing
COPS4,decreasing
PSMC2,decreasing
RPS8,decreasing
COPS4,decreasing
RPL6,decreasing
POLR2F,decreasing
RPS9,decreasing
RPS13,decreasing
RPS13,decreasing
PSMD7,decreasing
PSMC2,decreasing
PSMC4,decreasing
PSMC4,decreasing
PSMB2,decreasing
PSMB2,decreasing
POLA1,decreasing
PSMD6,decreasing
RPL30,decreasing
PSMB2,decreasing
POLR2F,decreasing
PSMD7,decreasing
PSMC2,decreasing
