gene,class
RPS24,decreasing
RPL11,decreasing
PSMA3,decreasing
PSMA3,decreasing
RPL34,decreasing
RPS8,decreasing
RPL30,decreasing
COPZ1,decreasing
POLR2D,decreasing
COPZ1,decreasing
PSMC2,decreasing
RPS7,decreasing
RPL30,decreasing
POLR2D,decreasing
RPS24,decreasing
PSMD1,decreasing
PSMD1,decreasing
RPS8,decreasing
RPL34,decreasing
RPL11,decreasing
POLA1,decreasing
RPL6,decreasing
PSMD11,decreasing
RPL36,decreasing
RPL34,decreasing
NUP205,decreasing
RPL6,decreasing
RPL30,decreasing
RPL6,decreasing
PSMC1,decreasing
RPL36,decreasing
PSMD1,decreasing
RPS8,decreasing
RPL36,decreasing
RPL11,decreasing
COPZ1,decreasing
RPS19,decreasing
NUP93,decreasing
RPS24,decreasing
RPL9,decreasing
NUP93,decreasing
NUP93,decreasing
POLR2A,decreasing
COPB1,decreasing
RPS7,decreasing
COPZ1,decreasing
POLA1,decreasing
RPS8,decreasing
RPL6,decreasing
POLR2A,decreasing
POLR2D,decreasing
POLA1,decreasing
RPL11,decreasing
POLR2D,decreasing
PSMA3,decreasing
COPZ1,decreasing
PSMD1,decreasing
RPS7,decreasing
RPL11,decreasing
RPL34,decreasing
COPZ1,decreasing
RPS24,decreasing
RPL6,decreasing
PSMA3,decreasing
RPL5,decreasing
PSMC2,decreasing
COPZ1,decreasing
COPZ1,decreasing
RPL11,decreasing
NUP93,decreasing
PSMD7,decreasing
NUP205,decreasing
RPS27,decreasing
RPL11,decreasing
RPL36,decreasing
NUP205,decreasing
RPS11,decreasing
RPS27,decreasing
RPL6,decreasing
RPL3,decreasing
RPL36,decreasing
RPL34,decreasing
RPL27,decreasing
PSMD11,decreasing
PSMD1,decreasing
COPB1,decreasing
NUP133,decreasing
RPS8,decreasing
NUP133,decreasing
RPS24,decreasing
RPL27,decreasing
NUP93,decreasing
PSMC2,decreasing
POLA1,decreasing
PSMD7,decreasing
RPL36,decreasing
PSMA3,decreasing
RPL11,decreasing
RPS7,decreasing
RPS19,decreasing
PSMD6,decreasing
RPS24,decreasing
PSMD7,decreasing
RPS3A,decreasing
RPL5,decreasing
NUP205,decreasing
PSMD1,decreasing
RPL11,decreasing
PSMD11,decreasing
COPS4,decreasing
RPS11,decreasing
NUP54,decreasing
COPB1,decreasing
