gene	rank	fdr	effect_size	#_active_guide-RNA
OR52E8	1	1.075269e-02	0.437944	10
POU4F2	2	1.075269e-02	0.411063	10
NLRP5	3	1.075269e-02	0.411429	10
TGM6	4	1.075269e-02	0.372146	14
FAM71B	5	1.075269e-02	0.389392	10
TAAR1	6	1.075269e-02	0.396775	9
MAGEB3	7	1.075269e-02	0.381662	10
TAAR8	8	1.075269e-02	0.374685	10
PLA2G2E	9	1.075269e-02	0.373858	10
VN1R2	10	1.075269e-02	0.373413	10
SAGE1	11	1.075269e-02	0.372517	10
LHX5	12	1.075269e-02	0.389077	8
DEFB129	13	1.075269e-02	0.366657	10
TAS2R9	14	1.075269e-02	0.36487	10
ADH7	15	1.075269e-02	0.378853	8
OLIG2	16	1.075269e-02	0.357504	10
RXFP2	17	1.075269e-02	0.364738	9
IL22	18	1.075269e-02	0.364289	9
NPSR1	19	1.075269e-02	0.353018	10
TAS2R13	20	1.075269e-02	0.366227	8
TRIM42	21	1.075269e-02	0.352464	10
KRT77	22	1.075269e-02	0.352505	9
CABP5	23	1.075269e-02	0.343405	9
SPATA16	24	1.075269e-02	0.330086	10
RPS9	25	4.301075e-02	0.455502	3
NUP133	26	4.301075e-02	0.49054	2
FCRL4	27	4.301075e-02	0.334534	9
LUZP4	28	4.301075e-02	0.33962	8
CRYGB	29	4.301075e-02	0.323619	10
ABCG8	30	4.301075e-02	0.320576	10
CYP7A1	31	4.301075e-02	0.317288	10
COPA	32	9.646697e-02	0.533037	1
OR12D2	33	9.646697e-02	0.320621	9
KRT74	34	9.646697e-02	0.311298	10
OTUD6A	35	9.646697e-02	0.324033	8
POLR2A	36	1.083137e-01	0.485678	1
RPTN	37	1.083137e-01	0.317194	9
TPH2	38	1.083137e-01	0.316372	9
KRT9	39	1.083137e-01	0.307012	10
RNASE9	40	1.083137e-01	0.301417	10
NPHS2	41	1.083137e-01	0.307596	9
RPL27	42	1.171357e-01	0.341959	5
OR9Q2	43	1.171357e-01	0.30416	8
OC90	44	1.171357e-01	0.294161	8
HTR3D	45	1.171357e-01	0.27403	9
KRT25	46	1.171357e-01	0.255481	10
PIWIL3	47	1.171357e-01	0.273716	8
COPS4	48	1.357527e-01	0.371051	1
PSMB2	49	1.536098e-01	0.308454	4
DMRTC2	50	1.707527e-01	0.227641	10
DMRTB1	51	1.872233e-01	0.238413	9
MRGPRD	52	2.222911e-01	0.214976	10
RPS24	53	2.560357e-01	0.270303	6
PSMC2	54	2.885305e-01	0.317097	3
LYZL6	55	3.198436e-01	0.214127	9
COPZ1	56	3.500384e-01	0.267867	5
COPS8	57	3.791737e-01	0.210758	7
RPL36	58	4.073044e-01	0.300024	2
PSMB3	59	4.344815e-01	0.263227	4
RPS7	60	4.607527e-01	0.260463	4
RPL30	61	4.861625e-01	0.232307	5
IL1F10	62	5.107527e-01	0.195283	7
COPB1	63	5.345622e-01	0.317031	1
PSMD1	64	5.576277e-01	0.22776	3
PSMD6	65	5.799835e-01	0.303066	1
PSMA3	66	6.016618e-01	0.237402	3
RPS11	67	6.226930e-01	0.242119	2
RPL35A	68	6.431056e-01	0.235763	2
COPS2	69	6.629266e-01	0.170162	4
RPL5	70	6.821813e-01	0.193801	3
COPS6	71	7.008935e-01	0.222161	1
PSMC1	72	7.190860e-01	0.132647	2
NUP93	73	7.367801e-01	0.147517	2
POLA1	74	7.539959e-01	0.0828081	3
RPL9	75	7.707527e-01	0.191075	1
RPS8	76	7.870685e-01	0.115723	2
NUP205	77	8.029605e-01	0.0748961	2
POLR2D	78	8.184450e-01	0.144551	1
POLR2F	79	8.335375e-01	0.0648858	2
NUP54	80	8.482527e-01	0.117782	1
RPS19	81	8.626045e-01	0.104416	1
RPL3	82	8.766063e-01	0.0717158	1
RPS27	83	8.902708e-01	0.041175	1
NUP98	84	9.036098e-01	0.0322902	1
PSMD11	85	1	0	0
RPS13	86	1	0	0
RPS3A	87	1	0	0
PSMD7	88	1	-0.0537831	0
RPL11	89	1	-0.203719	0
RPL34	90	1	-0.236283	0
PSMC4	91	1	-0.420994	0
RPL18A	92	1	-0.467994	0
RPL6	93	1	-0.625786	0
