gene	rank	fdr	effect_size	#_active_guide-RNA
TRIM42	1	1.075269e-02	0.443122	10
TAS2R9	2	1.075269e-02	0.428469	10
FAM71B	3	1.075269e-02	0.427262	9
OLIG2	4	1.075269e-02	0.397907	10
HTR3D	5	1.075269e-02	0.392158	10
ABCG8	6	1.075269e-02	0.384524	10
POU4F2	7	1.075269e-02	0.401721	9
SPATA16	8	1.075269e-02	0.378183	10
NLRP5	9	1.075269e-02	0.379105	10
LUZP4	10	1.075269e-02	0.39344	8
OR52E8	11	1.075269e-02	0.360966	10
MAGEB3	12	1.075269e-02	0.368151	9
TGM6	13	1.075269e-02	0.322325	14
DEFB129	14	1.075269e-02	0.350318	10
NPSR1	15	1.075269e-02	0.351074	10
VN1R2	16	1.075269e-02	0.347135	10
SAGE1	17	1.075269e-02	0.341912	10
OC90	18	1.075269e-02	0.370374	8
TAAR1	19	1.075269e-02	0.338168	10
CRYGB	20	1.075269e-02	0.339055	9
RPS9	21	5.075269e-02	0.528073	3
OR12D2	22	5.075269e-02	0.336305	9
TAAR8	23	5.075269e-02	0.325532	10
RXFP2	24	5.075269e-02	0.32208	9
TAS2R13	25	5.075269e-02	0.327098	8
POLR2A	26	7.741935e-02	0.514013	2
PLA2G2E	27	7.741935e-02	0.306296	9
OTUD6A	28	7.741935e-02	0.304872	9
NUP133	29	7.741935e-02	0.392638	4
CYP7A1	30	7.741935e-02	0.287802	10
COPA	31	1.045027e-01	0.489678	1
RNASE9	32	1.045027e-01	0.290424	8
RPL27	33	1.283997e-01	0.315325	6
ADH7	34	1.283997e-01	0.267612	9
COPB1	35	1.536098e-01	0.429331	1
COPS8	36	1.629266e-01	0.276724	8
OR9Q2	37	1.629266e-01	0.269157	8
IL1F10	38	1.629266e-01	0.293379	6
LHX5	39	1.629266e-01	0.264562	8
DMRTB1	40	1.629266e-01	0.248211	9
CABP5	41	1.629266e-01	0.248217	9
PIWIL3	42	1.629266e-01	0.270268	7
FCRL4	43	1.629266e-01	0.24519	9
RPTN	44	1.629266e-01	0.236962	9
IL22	45	1.629266e-01	0.231647	9
TPH2	46	1.629266e-01	0.258316	7
COPS6	47	2.022420e-01	0.36152	2
RPS24	48	2.190860e-01	0.213573	10
RPS7	49	2.352425e-01	0.292523	4
COPZ1	50	2.507527e-01	0.255743	6
NPHS2	51	2.656546e-01	0.227007	8
POLA1	52	2.992142e-01	0.285443	4
KRT77	53	3.126395e-01	0.20429	9
PSMC2	54	3.440860e-01	0.296642	3
KRT9	55	3.562072e-01	0.201383	8
RPL30	56	3.857527e-01	0.24833	5
COPS4	57	4.142615e-01	0.335867	1
PSMB2	58	4.417872e-01	0.279772	3
NUP98	59	4.683798e-01	0.217002	6
DMRTC2	60	4.774194e-01	0.167927	9
KRT74	61	4.861625e-01	0.143804	10
RPL5	62	5.107527e-01	0.231815	5
KRT25	63	5.345622e-01	0.186615	7
PSMB3	64	5.576277e-01	0.208435	5
RPL35A	65	5.799835e-01	0.264276	2
MRGPRD	66	6.016618e-01	0.172857	6
RPL36	67	6.226930e-01	0.243238	2
RPL9	68	6.431056e-01	0.288648	1
PSMD1	69	6.629266e-01	0.206715	4
NUP54	70	6.821813e-01	0.208519	3
LYZL6	71	7.008935e-01	0.170929	5
POLR2F	72	7.190860e-01	0.212495	3
RPS11	73	7.367801e-01	0.167359	4
PSMC1	74	7.539959e-01	0.162432	3
POLR2D	75	7.707527e-01	0.214456	2
NUP205	76	7.870685e-01	0.142158	3
COPS2	77	8.029605e-01	0.10588	3
PSMA3	78	8.184450e-01	0.114998	2
NUP93	79	8.335375e-01	0.0889088	2
PSMD6	80	8.482527e-01	0.13247	1
RPS8	81	8.626045e-01	0.0547704	2
RPL3	82	8.766063e-01	0.0957283	1
RPL11	83	8.902708e-01	0.0940368	1
RPS19	84	9.036098e-01	0.0920697	1
PSMC4	85	9.166350e-01	0.0356186	1
RPS27	86	9.293573e-01	0.0119651	1
PSMD11	87	1	0	0
RPL34	88	1	-0.183298	0
PSMD7	89	1	-0.220977	0
RPS13	90	1	-0.2494	0
RPL6	91	1	-0.262386	0
RPS3A	92	1	-0.403425	0
RPL18A	93	1	-0.693003	0
