	sgID	gene	Control_3	Control_2	Control_1	Model	Mean	Sample Variance	Model Variance	n	p
0	ABCG8-1	ABCG8	1347.91506671	1347.1430956	1253.23862004	Neg. Binomial	1316.09892745	1975.80844707	2823.06347892	1149.40751934	0.4661953007
1	ABCG8-2	ABCG8	1608.40408475	1744.37327497	1746.70812004	Neg. Binomial	1699.82849325	4180.11981868	4213.66006114	1149.40751934	0.403409024124
2	ABCG8-3	ABCG8	1762.15425959	1799.3380621	1857.57571695	Neg. Binomial	1806.35601288	1542.16823736	4645.14207472	1149.40751934	0.388869916964
3	ABCG8-4	ABCG8	1425.75350109	1437.17744016	1317.7302287	Neg. Binomial	1393.55372332	2896.35223192	3083.11286322	1149.40751934	0.451995689143
4	ABCG8-7	ABCG8	1537.50174847	1611.17639819	1517.36436563	Neg. Binomial	1555.3475041	1626.01840578	3660.00213511	1149.40751934	0.424958086547
5	ADH7-10	ADH7	633.496961026	593.484818085	611.945657487	Neg. Binomial	612.975812199	267.359206488	939.874096768	1149.40751934	0.652189281849
6	ADH7-11	ADH7	663.1680474	577.973283067	604.337096914	Neg. Binomial	615.159475794	1268.25325393	944.390992285	1149.40751934	0.6513821932
7	ADH7-12	ADH7	2823.37727095	2549.2870595	2665.17007488	Neg. Binomial	2679.27813511	12620.4260172	8924.69693088	1149.40751934	0.300209425133
8	ADH7-14	ADH7	2111.65653675	1989.52296972	2081.84709764	Neg. Binomial	2061.00886804	2703.21727241	5756.61506746	1149.40751934	0.35802443691
9	ADH7-2	ADH7	2494.29794934	2647.75158614	2531.83910865	Neg. Binomial	2557.96288138	4265.89552526	8250.61234853	1149.40751934	0.310033094917
10	ADH7-3	ADH7	1834.98328978	2017.84838149	1928.95126137	Neg. Binomial	1927.26097755	5574.70215739	5158.78227272	1149.40751934	0.37358835393
11	ADH7-6	ADH7	942.538665857	1017.35437282	1112.29909324	Neg. Binomial	1024.06404397	4825.61029436	1936.4533824	1149.40751934	0.528834855142
12	ADH7-8	ADH7	786.861797089	841.669378375	782.957114167	Neg. Binomial	803.829429877	718.471942619	1365.98144425	1149.40751934	0.588462920385
13	ADH7-9	ADH7	1542.89649145	1600.04855785	1514.10355396	Neg. Binomial	1552.34953442	1275.77062631	3648.89844024	1149.40751934	0.425429635777
14	CABP5-10	CABP5	1453.11255476	1471.23537574	1572.79816409	Neg. Binomial	1499.0486982	2774.23129982	3454.0968093	1149.40751934	0.433991512387
15	CABP5-2	CABP5	924.042404221	979.587157123	898.172459982	Neg. Binomial	933.934007109	1153.64738894	1692.78821239	1149.40751934	0.551713439562
16	CABP5-6	CABP5	749.869273818	919.227053466	870.999029365	Neg. Binomial	846.698452216	5075.6019461	1470.40958767	1149.40751934	0.575824898937
