gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
RPL11	1.99232263851e-07	0.0	0.0	True	14	9	-1.57614430148
COPZ1	4.02604324591e-07	0.0	0.0	True	14	9	-1.33946201722
RPS24	7.6376134553e-07	0.0	0.0	True	18	10	-0.488272692572
RPL34	3.97051696884e-06	0.0	0.0	True	9	7	-2.31615929459
PSMD1	4.87398068704e-06	0.0	0.0	True	10	7	-1.41889052025
RPL6	4.89571150544e-06	0.0	0.0	True	9	6	-1.96625325953
POLA1	2.46430176232e-05	0.0	0.0	True	9	7	-1.62992544813
RPS8	2.96278488298e-05	0.0	0.0	True	12	7	-0.48585858816
RPL36	3.55066617037e-05	0.0	0.0	True	14	5	0.0990475018593
NUP93	3.94184051197e-05	0.0	0.0	True	6	6	-2.63771606066
PSMA3	8.58702993617e-05	0.0294117647059	0.248663101604	False	7	5	-2.19353790929
RPS7	9.54097839945e-05	0.0441176470588	0.293067226891	False	13	6	-0.561665229165
RPL30	0.000112792366472	0.0441176470588	0.293067226891	False	10	3	0.226914943004
POLR2D	0.000259569081219	0.0441176470588	0.293067226891	False	6	5	-1.84988588774
RPS19	0.000264090267625	0.0588235294118	0.364705882353	False	16	6	0.0341015212046
NUP205	0.000750708882105	0.102941176471	0.575851393189	False	7	5	-1.43624227949
RPL3	0.000848080195846	0.117647058824	0.575851393189	False	12	5	0.245338088541
NUP54	0.000927534355463	0.117647058824	0.575851393189	False	12	5	-0.137536294518
PSMC2	0.000952888683861	0.117647058824	0.575851393189	False	13	4	0.182182214275
PSMD11	0.00127184166489	0.161764705882	0.752205882353	False	8	3	0.275558592128
PSMD7	0.00152634342158	0.176470588235	0.781512605042	False	8	4	-0.459306577747
POLR2A	0.00203137074776	0.191176470588	0.808155080214	False	5	4	-2.20246773897
NUP133	0.00366061716792	0.235294117647	0.951406649616	False	7	4	-0.27366306327
RPS11	0.00406459597517	0.264705882353	0.984705882353	False	8	3	0.150371935387
COPB1	0.0056992457098	0.264705882353	0.984705882353	False	4	3	-1.45046495406
PSMD6	0.00861235644596	0.338235294118	1.0	False	7	3	0.0311058220752
RPS27	0.0101747333191	0.367647058824	1.0	False	4	3	-0.90621448218
RPL5	0.0108060937456	0.367647058824	1.0	False	7	3	0.0360608714746
NUP98	0.0165342931683	0.455882352941	1.0	False	4	3	-0.23162284833
POLR2F	0.0171110197433	0.470588235294	1.0	False	6	3	-0.148005189537
RPL27	0.0288452675197	0.602941176471	1.0	False	10	2	0.251547730213
RPL9	0.0396493808	0.647058823529	1.0	False	12	2	0.0
RPL18A	0.0408241137519	0.647058823529	1.0	False	7	2	0.265352287162
PSMC1	0.0434415388144	0.661764705882	1.0	False	10	2	0.160882500598
RPL35A	0.0521684326962	0.705882352941	1.0	False	10	2	0.123215835766
COPS4	0.0569552551078	0.764705882353	1.0	False	5	2	0.221211578622
PSMB3	0.0619521575	0.823529411765	1.0	False	7	2	0.29397186831
RPS3A	0.156661786237	0.867647058824	1.0	False	6	1	0.287157612386
COPA	0.190336749634	0.897058823529	1.0	False	8	1	-0.0113471937267
TGM6	1.0	1.0	1.0	False	3	0	0.295707942698
COPS2	1.0	1.0	1.0	False	6	0	0.373667354431
IL22	1.0	1.0	1.0	False	7	0	0.252834598224
FAM71B	1.0	1.0	1.0	False	4	0	0.267067888312
LHX5	1.0	1.0	1.0	False	5	0	0.259085272024
OR12D2	1.0	1.0	1.0	False	3	0	0.238339075482
RXFP2	1.0	1.0	1.0	False	6	0	0.261941490014
SAGE1	1.0	1.0	1.0	False	11	0	0.286999829726
RPTN	1.0	1.0	1.0	False	5	0	0.337195467333
RNASE9	1.0	1.0	1.0	False	4	0	0.271497491062
TAS2R13	1.0	1.0	1.0	False	4	0	0.21213357166
DMRTC2	1.0	1.0	1.0	False	4	0	0.234099955166
TAAR1	1.0	1.0	1.0	False	7	0	0.187447480231
OR9Q2	1.0	1.0	1.0	False	1	0	0.291245431973
OTUD6A	1.0	1.0	1.0	False	8	0	0.280233794003
PSMC4	1.0	1.0	1.0	False	9	0	0.266083172558
TAS2R9	1.0	1.0	1.0	False	7	0	0.261424601009
COPS8	1.0	1.0	1.0	False	10	0	0.2617635257
COPS6	1.0	1.0	1.0	False	3	0	0.263931764422
DMRTB1	1.0	1.0	1.0	False	8	0	0.30955146682
KRT9	1.0	1.0	1.0	False	5	0	0.365288013215
VN1R2	1.0	1.0	1.0	False	8	0	0.205046686152
SPATA16	1.0	1.0	1.0	False	5	0	0.285881340642
TRIM42	1.0	1.0	1.0	False	3	0	0.276779401123
MAGEB3	1.0	1.0	1.0	False	8	0	0.306273336536
ABCG8	1.0	1.0	1.0	False	5	0	0.271632663085
CABP5	1.0	1.0	1.0	False	4	0	0.322150386141
TPH2	1.0	1.0	1.0	False	7	0	0.322450249699
NPHS2	1.0	1.0	1.0	False	7	0	0.226069490949
KRT74	1.0	1.0	1.0	False	4	0	0.256354084897
KRT77	1.0	1.0	1.0	False	4	0	0.25978926634
PIWIL3	1.0	1.0	1.0	False	7	0	0.230657782854
CRYGB	1.0	1.0	1.0	False	6	0	0.297403846064
RPS9	1.0	1.0	1.0	False	14	0	0.251346041328
NLRP5	1.0	1.0	1.0	False	5	0	0.202712774117
CYP7A1	1.0	1.0	1.0	False	8	0	0.205700603594
IL1F10	1.0	1.0	1.0	False	11	0	0.27768953904
LYZL6	1.0	1.0	1.0	False	5	0	0.322822110815
PLA2G2E	1.0	1.0	1.0	False	5	0	0.257670347298
OLIG2	1.0	1.0	1.0	False	12	0	0.308060372049
ADH7	1.0	1.0	1.0	False	9	0	0.256871262709
TAAR8	1.0	1.0	1.0	False	7	0	0.286035912805
HTR3D	1.0	1.0	1.0	False	8	0	0.319134934778
PSMB2	1.0	1.0	1.0	False	6	0	0.258078035647
RPS13	1.0	1.0	1.0	False	3	0	0.300019267323
OC90	1.0	1.0	1.0	False	6	0	0.369948946375
FCRL4	1.0	1.0	1.0	False	9	0	0.234395788753
MRGPRD	1.0	1.0	1.0	False	5	0	0.217128962299
OR52E8	1.0	1.0	1.0	False	1	0	0.272361350012
LUZP4	1.0	1.0	1.0	False	7	0	0.323998881563
POU4F2	1.0	1.0	1.0	False	5	0	0.242578333809
NPSR1	1.0	1.0	1.0	False	6	0	0.243283217447
DEFB129	1.0	1.0	1.0	False	6	0	0.271208850234
KRT25	1.0	1.0	1.0	False	3	0	0.331484105801
