sgRNA	gene	Control_3	T1_2	Control_2	Control_1	T1_3	T1_1	Variance
RPL11-5	RPL11	2482.35244704	284.948188304	2474.76424996	2516.62198751	293.979131393	308.779014935	1205097.97844
POLR2D-2	POLR2D	2597.95408226	715.905426711	2696.64664217	2739.80643097	562.862483276	625.475440509	1047594.4068
RPL30-17	RPL30	2435.34111538	453.089136527	2218.82392216	2515.53505028	362.096247203	369.901425071	1003578.17375
RPS8-20	RPS8	2405.670029	387.92299206	2435.64820513	2444.15950586	495.07128668	425.956692397	993310.712726
COPZ1-5	COPZ1	2447.28661768	488.131308552	2518.93840403	2446.33338031	533.203834765	552.318566201	947962.627239
RPS24-5	RPS24	2375.61360385	331.671084337	2272.77708744	2147.06333112	320.704506974	335.698211109	941211.57385
PSMA3-3	PSMA3	2201.05513466	295.706749891	2143.96390533	2294.52448127	333.415356336	309.729104211	904766.134975
PSMC2-6	PSMC2	2180.24684032	363.024606675	2260.30041797	2272.78573677	431.191120657	408.538388991	844755.501083
RPL34-28	RPL34	1881.22394387	120.495889768	1936.244219	1953.58850513	79.1983691003	138.07964155	820795.954372
COPZ1-11	COPZ1	2108.57382648	281.259538618	2112.60362801	2016.63086416	330.80800262	313.212764893	785163.506237
RPL11-2	RPL11	1955.97966798	250.828178702	1941.30232825	2104.31046695	272.468463242	299.278122168	747968.651327
POLR2D-7	POLR2D	2025.34064912	201.03140793	1895.44213776	1814.09822797	236.943268872	246.073122671	712609.648458
POLA1-22	POLA1	2133.23550866	548.071865962	2237.37032272	2127.49846108	544.61100727	459.526513508	681609.924248
PSMA3-5	PSMA3	1876.59987846	240.069617115	1951.75575402	1968.44331387	316.141637972	304.028568551	678288.583845
RPS7-11	RPS7	1898.56418916	340.277933606	1964.90683806	1975.32724962	304.082627039	346.782586004	653525.46263
RPS19-8	RPS19	2362.51208519	714.368489341	2436.65982698	2383.65333369	868.900625602	798.074992447	642876.017777
PSMD1-9	PSMD1	1851.93819628	239.147454693	1845.87266716	1891.27077092	260.735371523	284.710086591	641573.197011
PSMD11-6	PSMD11	1956.75034555	397.759391225	1998.96477364	1951.05231827	365.681358562	359.767139452	635991.027438
RPS8-11	RPS8	2100.48171201	398.066778699	2001.66243191	1963.00862775	436.079908873	461.743388487	633847.214908
RPL30-1	RPL30	1879.68258874	290.788550308	1838.45410693	1808.66354184	271.816624813	275.525890249	611113.717488
RPL34-15	RPL34	1854.63556777	422.350389137	2022.56928345	1810.11279148	380.673642424	332.214550427	580457.964621
PSMD1-1	PSMD1	2238.8183355	764.472647587	2250.85861404	2302.85766666	838.916057877	770.205706996	543375.66497
RPL36-9	RPL36	2101.63772837	565.592951974	2105.18506779	2005.76149192	605.231981149	634.659636851	540975.627386
NUP205-3	NUP205	1702.04140928	213.019519412	1636.46694441	1573.88510132	187.729467497	189.384462493	520378.180916
