sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPL34-28	RPL34	79.1983691003	1923.685556	71.7163011262	0.0411701220365	0.0	0.0	True
RPL11-5	RPL11	293.979131393	2491.24622817	88.8302733027	0.118004847561	7.06513516655e-310	2.41274365938e-307	True
RPL36-27	RPL36	67.7911965961	1287.08392389	52.2334679741	0.0526703778501	5.57941399263e-283	1.27024658566e-280	True
RPS24-5	RPS24	320.704506974	2265.1513408	82.0311682513	0.141581933709	2.31694990278e-268	3.956191959e-266	True
POLR2D-7	POLR2D	236.943268872	1911.62700495	71.3507718422	0.123948483809	8.57000597392e-265	1.17066281604e-262	True
RPL30-17	RPL30	362.096247203	2389.90002927	85.7851275822	0.151511043461	4.49258331557e-264	5.11405734089e-262	True
RPL11-2	RPL11	272.468463242	2000.53082106	74.0434477002	0.136198083216	9.70126008084e-258	9.46565805031e-256	True
PSMA3-3	PSMA3	333.415356336	2213.18117375	80.46524553	0.150649824917	1.20443120407e-255	1.02828314048e-253	True
NUP205-3	NUP205	187.729467497	1637.464485	63.0097039565	0.114646436131	1.63617140284e-252	1.24167229793e-250	True
RPL34-17	RPL34	117.6568364	1339.5284263	53.8574528754	0.087834520037	7.72465368132e-250	5.27593846434e-248	True
NUP93-5	NUP93	139.167504551	1402.10232617	55.789370644	0.0992563110077	6.24180780806e-245	3.87559521173e-243	True
PSMD1-9	PSMD1	260.735371523	1863.02721145	69.876542061	0.139952529904	8.50736732649e-245	4.84210990333e-243	True
NUP93-9	NUP93	81.8057228155	1135.82721575	47.5208857222	0.0720230345612	5.64734077882e-240	2.96702596303e-238	True
COPZ1-11	COPZ1	330.80800262	2079.26943955	76.4241585078	0.159098189166	7.02441580613e-240	3.42691142542e-238	True
RPL30-1	RPL30	271.816624813	1842.26674584	69.2462711925	0.147544662263	3.72689723259e-236	1.6969805399e-234	True
PSMC1-1	PSMC1	179.907406351	1497.02908505	58.7095632417	0.120176293265	1.08138469984e-234	4.61616093745e-233	True
RPS7-11	RPS7	304.082627039	1946.26609228	72.4005180677	0.156238978958	2.26809347137e-234	9.11239906439e-233	True
COPZ1-19	COPZ1	125.80481676	1261.87930712	51.4512972411	0.0996963941402	1.57817023806e-229	5.98827929221e-228	True
PSMA3-5	PSMA3	316.141637972	1932.26631545	71.9763484605	0.163611835203	7.98356390972e-227	2.86988113176e-225	True
POLR2D-2	POLR2D	562.862483276	2678.13571847	94.4363790338	0.210169514336	1.79303891353e-219	6.1232278897e-218	True
POLR2A-6	POLR2A	128.73808969	1217.99898559	50.0867514155	0.105696384983	3.84705783551e-219	1.25120976269e-217	True
RPL6-15	RPL6	246.069006875	1634.94100888	62.9326218045	0.150506351935	1.64384084302e-218	5.10337861718e-217	True
PSMC2-6	PSMC2	431.191120657	2237.77766502	81.2065239738	0.192687203647	3.40078674754e-217	1.00988580373e-215	True
RPS8-20	RPS8	495.07128668	2428.49258	86.9451735239	0.203859501469	1.44351099203e-215	4.10799169816e-214	True
RPL30-15	RPL30	234.987753586	1571.83670467	61.0028964643	0.149498833363	4.16766915902e-215	1.13860721424e-213	True
NUP93-12	NUP93	158.722657415	1304.06808383	52.759902941	0.12171347446	1.01841286386e-214	2.67529225391e-213	True
RPS8-18	RPS8	280.616443602	1704.44705949	65.0534990417	0.164637817314	8.41410221621e-212	2.12845622729e-210	True
PSMD11-6	PSMD11	365.681358562	1968.92247915	73.0866957781	0.185726641061	3.86060926244e-210	9.41712902232e-209	True
RPL11-1	RPL11	190.336821212	1390.07694924	55.4185533117	0.136925384826	4.37600312249e-210	1.03062418368e-208	True
COPB1-14	COPB1	152.856111556	1253.77471577	51.199543549	0.121916728447	1.66545299975e-209	3.79168132943e-208	True
RPL6-2	RPL6	144.708131196	1220.62382404	50.1684806824	0.11855260265	1.18774516801e-208	2.61687080564e-207	True
COPZ1-5	COPZ1	533.203834765	2470.85280067	88.2178196665	0.215797490899	3.52874701295e-207	7.53166940576e-206	True
RPS7-20	RPS7	222.276904224	1480.55199743	58.2035329389	0.150131102866	4.67650008971e-207	9.67893806445e-206	True
RPL11-10	RPL11	88.3241071036	994.180574798	43.0592328178	0.0888411113057	1.16439824128e-204	2.3390705847e-203	True
RPS7-14	RPS7	144.382211981	1195.93947651	49.3993388961	0.120727022409	4.7792778144e-204	9.32641927781e-203	True
COPZ1-6	COPZ1	162.307768773	1216.85678246	50.0511825028	0.133382803229	2.02552932801e-196	3.84287925287e-195	True
RPL34-15	RPL34	380.673642424	1895.77254757	70.8700252035	0.200801326568	1.90888308321e-194	3.52369498874e-193	True
PSMA3-2	PSMA3	198.158882358	1313.54236263	53.0533499939	0.15085838721	2.03062932448e-192	3.64978902268e-191	True
PSMD1-24	PSMD1	329.830244977	1724.84361046	65.6750180048	0.191223275535	2.29287841951e-192	4.01547682185e-191	True
RPL6-13	RPL6	283.875635746	1564.24563487	60.7704745391	0.181477658891	1.46683948264e-189	2.5046284166e-188	True
RPS8-11	RPS8	436.079908873	2021.71759056	74.6844034212	0.215697736869	4.0895353561e-189	6.81256743468e-188	True
POLR2D-6	POLR2D	174.366779706	1207.5165903	49.7602250273	0.144401146209	1.80947499003e-187	2.94255099569e-186	True
RPL6-18	RPL6	287.460747105	1547.44311521	60.2557888421	0.185764985013	3.50917497464e-185	5.57387559926e-184	True
RPL34-25	RPL34	109.182936825	949.559077557	41.6415360931	0.114982774011	3.36108754218e-179	5.2173245257e-178	True
POLR2A-2	POLR2A	343.518851982	1608.67507046	62.1299182635	0.213541477885	4.48583332988e-170	6.80849814291e-169	True
POLA1-22	POLA1	544.61100727	2166.03476415	79.0435487795	0.251432255975	5.97430797018e-170	8.87054857312e-169	True
RPS8-13	RPS8	183.166598495	1138.6711493	47.6099381926	0.160859962604	9.44930571316e-170	1.37316506427e-168	True
POLA1-3	POLA1	312.882445828	1501.72817227	58.8538157628	0.2083482561	2.62101732598e-167	3.72948923676e-166	True
PSMA3-1	PSMA3	346.452124912	1584.7615902	61.3984825185	0.218614665483	1.84991918021e-165	2.57856081649e-164	True
RPS24-7	RPS24	379.044046352	1638.9778066	63.0559268542	0.231268565581	2.61962270799e-160	3.57840461912e-159	True
RPL9-1	RPL9	530.59648105	1993.68432177	73.8362642608	0.266138663607	1.86320212207e-154	2.49522950857e-153	True
RPL11-9	RPL11	278.009089887	1322.51010386	53.3309695617	0.210213206746	2.60481623228e-154	3.42132593586e-153	True
NUP205-4	NUP205	125.80481676	861.18987231	38.8128020538	0.146082554852	1.15356298268e-149	1.48657267391e-148	True
RPS8-7	RPS8	146.663646482	896.70061038	39.953148197	0.163559213392	3.51022121437e-144	4.43977979522e-143	True
RPL36-9	RPL36	605.231981149	2070.86142936	76.1701086126	0.292260975345	1.03618398524e-141	1.28675211258e-140	True
PSMC2-1	PSMC2	389.473461213	1529.717684	59.7124831371	0.25460479753	1.52768949667e-141	1.86323558255e-140	True
PSMD1-7	PSMD1	470.6273456	1712.24920196	65.2912881473	0.27485914145	8.94923570349e-139	1.07233824307e-137	True
NUP205-11	NUP205	268.557432669	1189.8040445	49.207970605	0.225715683108	4.34460205102e-137	5.11614344974e-136	True
RPL6-10	RPL6	363.725843275	1421.26600917	56.3798778433	0.255916795961	1.8100951692e-135	2.09541525519e-134	True
NUP93-2	NUP93	226.839773225	1069.35319936	45.433772998	0.2121280166	2.98561291283e-135	3.3986226991e-134	True
RPL11-8	RPL11	344.496609625	1371.37666296	54.8414833297	0.251204952607	3.82965686544e-135	4.28796006409e-134	True
COPZ1-14	COPZ1	352.318670771	1358.36786896	54.4397348165	0.259369114083	2.85710291709e-130	3.14742143931e-129	True
PSMD7-25	PSMD7	394.688168644	1450.44437071	57.2779973748	0.272115343831	9.50342356989e-129	1.03029179337e-127	True
RPL34-13	RPL34	287.786666319	1185.195643	49.0641795408	0.242817857135	2.07391216773e-128	2.2132531415e-127	True
RPL36-38	RPL36	327.548810476	1263.36409784	51.4974063169	0.259267151121	3.4506866168e-125	3.62587532196e-124	True
RPL3-13	RPL3	303.756707825	1189.06940881	49.1850515421	0.255457507841	1.06238952421e-122	1.09941218945e-121	True
PSMD11-20	PSMD11	326.571052833	1237.00877366	50.6783510706	0.264000595458	1.65928400735e-121	1.69147907018e-120	True
POLA1-26	POLA1	592.847051001	1834.84386653	69.0208403071	0.32310490381	8.58460021506e-119	8.6224734513e-118	True
PSMD11-9	PSMD11	227.16569244	974.241278442	42.4265379573	0.233171902553	9.11096185349e-118	9.0185318057e-117	True
COPZ1-1	COPZ1	262.039048381	1052.49915005	44.9027886549	0.248968418044	1.5098888673e-116	1.47322013766e-115	True
RPL11-7	RPL11	517.559712474	1641.2936266	63.1266568449	0.315336454176	5.04841495734e-116	4.85643298009e-115	True
RPL36-34	RPL36	211.847489363	918.077559745	40.6372079291	0.230751189934	1.11269943654e-114	1.05551904882e-113	True
RPS19-8	RPS19	868.900625602	2394.27508195	85.9166656374	0.362907600782	2.2669588003e-113	2.12100391864e-112	True
RPS11-4	RPS11	102.338633323	622.327160901	30.9721749693	0.164445069656	6.95759801618e-111	6.42167492574e-110	True
