sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPL34-28	RPL34	124.349938491	1923.685556	71.7163011262	0.0646415096808	0.0	0.0	True
RPL11-5	RPL11	294.062226993	2491.24622817	88.8302733027	0.118038202594	2.37463374461e-309	8.10937423784e-307	True
POLR2D-7	POLR2D	230.618380824	1911.62700495	71.3507718422	0.120639842515	3.33516350894e-268	7.59305558868e-266	True
PSMA3-3	PSMA3	310.240407766	2213.18117375	80.46524553	0.140178495753	1.18693351033e-266	2.02668896889e-264	True
RPL11-2	RPL11	265.195276986	2000.53082106	74.0434477002	0.132562455022	2.04527632016e-261	2.79384745334e-259	True
RPS24-5	RPS24	336.252384696	2265.1513408	82.0311682513	0.148445880255	9.27126449219e-261	1.05537894136e-258	True
RPL30-17	RPL30	370.512061627	2389.90002927	85.7851275822	0.155032452023	1.67014615145e-260	1.6295854592e-258	True
RPL34-17	RPL34	114.516142335	1339.5284263	53.8574528754	0.0854898933734	3.80761397562e-252	3.25075043168e-250	True
NUP205-3	NUP205	189.697100045	1637.464485	63.0097039565	0.115848069856	2.84950219765e-251	2.16245555666e-249	True
PSMD1-9	PSMD1	253.775384676	1863.02721145	69.876542061	0.136216681708	1.66517803935e-248	1.13731660087e-246	True
COPZ1-11	COPZ1	313.729819306	2079.26943955	76.4241585078	0.150884639258	7.45812533996e-248	4.63081782472e-246	True
RPL36-27	RPL36	113.881703873	1287.08392389	52.2334679741	0.0884804026833	3.3277466006e-243	1.89404244018e-241	True
NUP93-9	NUP93	79.6220269421	1135.82721575	47.5208857222	0.0701004746479	9.77440582097e-242	5.13532244287e-240	True
RPS8-20	RPS8	426.659865486	2428.49258	86.9451735239	0.175689178135	1.76770192148e-241	8.62386008838e-240	True
RPL30-1	RPL30	275.980730835	1842.26674584	69.2462711925	0.149804978817	3.93637201456e-234	1.79236139063e-232	True
NUP93-5	NUP93	156.071861576	1402.10232617	55.789370644	0.111312747053	2.58660525489e-233	1.10415711818e-231	True
COPZ1-19	COPZ1	120.22608849	1261.87930712	51.4512972411	0.0952754259553	3.37800078539e-233	1.35716149201e-231	True
PSMA3-5	PSMA3	304.530461611	1932.26631545	71.9763484605	0.157602737871	1.83719567105e-232	6.97113690738e-231	True
PSMC1-1	PSMC1	192.234853892	1497.02908505	58.7095632417	0.128410901172	8.95572980085e-227	3.2193491863e-225	True
