	sgID	gene	Control_3	Control_2	Control_1	Model	Mean	Sample Variance	Model Variance	n	p
0	ABCG8-1	ABCG8	1097.59802185	1123.07870501	1101.57604448	Neg. Binomial	1107.41759045	125.27269869	1602.01151377	2479.55678752	0.691266935931
1	ABCG8-10	ABCG8	998.781345231	1036.44872606	1036.27459757	Neg. Binomial	1023.83488962	313.845096689	1446.58700664	2479.55678752	0.707758942199
2	ABCG8-2	ABCG8	875.450045516	794.506989268	823.510610535	Neg. Binomial	831.155881773	1121.18814528	1109.76216467	2479.55678752	0.748949557151
3	ABCG8-3	ABCG8	1191.360137	1230.76790536	1216.98151067	Neg. Binomial	1213.03651768	266.610186045	1806.47224806	2479.55678752	0.671494687495
4	ABCG8-4	ABCG8	935.346598861	928.998835042	950.314147452	Neg. Binomial	938.219860452	79.8515732735	1293.22544491	2479.55678752	0.725488246574
5	ABCG8-5	ABCG8	882.526431566	915.118893663	920.869131389	Neg. Binomial	906.171485539	285.055161019	1237.33823491	2479.55678752	0.732355519269
6	ABCG8-6	ABCG8	1652.33614249	1687.37011486	1637.52282879	Neg. Binomial	1659.07636205	436.84060126	2769.16764487	2479.55678752	0.599124565505
7	ABCG8-7	ABCG8	1123.12355724	1157.06063046	1179.70032097	Neg. Binomial	1153.29483622	540.57896881	1689.71690405	2479.55678752	0.682537313474
8	ABCG8-8	ABCG8	1077.37977599	1081.19957154	1116.53601232	Neg. Binomial	1091.70511995	310.718414286	1572.36362913	2479.55678752	0.694308301033
9	ABCG8-9	ABCG8	1197.67833883	1180.75225453	1141.46929205	Neg. Binomial	1173.2999618	554.344490095	1728.49305409	2479.55678752	0.678799350119
10	ADH7-1	ADH7	957.333941229	916.794059002	957.200481853	Neg. Binomial	943.776160695	364.019874444	1302.99900487	2479.55678752	0.724310730224
11	ADH7-10	ADH7	1079.1488725	1082.39611821	1041.02379371	Neg. Binomial	1067.52292814	352.859496886	1527.12329214	2479.55678752	0.699041743148
12	ADH7-2	ADH7	425.846803318	441.047102778	421.016237739	Neg. Binomial	429.303381278	72.8465579664	503.631742744	2479.55678752	0.85241525671
13	ADH7-3	ADH7	1131.21085558	1214.97348931	1171.62668754	Neg. Binomial	1172.60367748	1169.84038957	1727.13801658	2479.55678752	0.678928763203
14	ADH7-4	ADH7	481.699707493	487.233804262	518.612218399	Neg. Binomial	495.848576718	264.196062465	595.005737494	2479.55678752	0.833350916592
15	ADH7-5	ADH7	1056.65607399	1093.88296625	1102.28842391	Neg. Binomial	1084.27582138	393.200509448	1558.41461214	2479.55678752	0.69575568205
16	ADH7-6	ADH7	1001.56135404	965.134544494	931.079903088	Neg. Binomial	965.925267207	828.251775921	1342.20687791	2479.55678752	0.719654535457
17	ADH7-7	ADH7	571.92362962	604.49537798	558.505465969	Neg. Binomial	578.308157856	372.89310153	713.187232668	2479.55678752	0.810878450099
18	ADH7-8	ADH7	313.130082677	271.855403557	296.349839085	Neg. Binomial	293.778441773	287.239231478	328.585377143	2479.55678752	0.894070345817
19	ADH7-9	ADH7	1061.71063545	1087.9002329	1125.32202518	Neg. Binomial	1091.64429784	681.410495047	1572.24925072	2479.55678752	0.694320125989
20	CABP5-1	CABP5	2081.46841076	2010.19840658	2040.01720159	Neg. Binomial	2043.89467298	854.086308147	3728.67376545	2479.55678752	0.548155940033
21	CABP5-10	CABP5	746.306000118	722.714189033	761.296141112	Neg. Binomial	743.438776754	252.20498928	966.342005897	2479.55678752	0.769332981716
22	CABP5-2	CABP5	411.441303147	414.483766691	437.638424226	Neg. Binomial	421.187831355	136.853766979	492.73254861	2479.55678752	0.854800099046
23	CABP5-3	CABP5	1196.92015461	1171.65849984	1194.42282901	Neg. Binomial	1187.66716115	129.178057715	1756.54031332	2479.55678752	0.676139996418
24	CABP5-4	CABP5	1915.1733386	2021.68525462	1891.60482224	Neg. Binomial	1942.82113849	3202.35356731	3465.09076149	2479.55678752	0.560684054825
25	CABP5-5	CABP5	999.792257524	976.621392531	964.561735869	Neg. Binomial	980.325128641	213.723773268	1367.90945931	2479.55678752	0.716659368037
26	CABP5-6	CABP5	1673.31257256	1706.99348026	1784.27298949	Neg. Binomial	1721.52634744	2157.63780173	2916.76131033	2479.55678752	0.590218452686
27	CABP5-7	CABP5	736.95506141	691.364666264	740.399678099	Neg. Binomial	722.906468591	499.42021104	933.667425937	2479.55678752	0.774265491661
28	CABP5-8	CABP5	1062.46881967	1086.94299556	1061.68279692	Neg. Binomial	1070.36487072	137.520083621	1532.41557358	2479.55678752	0.698482114885
29	CABP5-9	CABP5	1100.37803065	1135.04417172	1121.04774866	Neg. Binomial	1118.82331701	202.764270864	1623.65773782	2479.55678752	0.68907583843
