gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
PSMB2	1.59235826286e-09	0.0	0.0	True	24	20	-2.08334668401
PSMD6	2.01997739356e-09	0.0	0.0	True	19	18	-1.30403332419
NUP98	1.11422628477e-06	0.0	0.0	True	16	14	-0.499225392892
COPB1	2.78536025984e-06	0.0	0.0	True	10	9	-1.55551743375
PSMC2	5.39188038689e-06	0.0	0.0	True	14	11	-1.33186333797
POLR2D	5.40097965123e-06	0.0	0.0	True	10	8	-1.91274528853
RPS9	5.61688556155e-06	0.0	0.0	True	10	7	-2.3466550272
RPS13	6.26247640079e-06	0.0	0.0	True	10	10	-2.14362807014
RPS19	7.61464086451e-06	0.0	0.0	True	10	9	-2.19423152035
PSMD11	1.00346437646e-05	0.0	0.0	True	10	10	-1.34712791147
COPS4	1.05501839274e-05	0.0	0.0	True	10	9	-1.585609662
POLR2A	1.09084586172e-05	0.0	0.0	True	10	9	-1.2852294406
RPS8	1.36630732238e-05	0.0	0.0	True	10	7	-2.03520624868
RPL11	2.29521291167e-05	0.0	0.0	True	10	9	-2.19142793127
PSMD7	2.78362681403e-05	0.0	0.0	True	10	8	-1.68086969556
NUP93	4.62405372085e-05	0.0	0.0	True	11	9	-1.99319844932
RPL3	0.000115678742567	0.0	0.0	True	11	9	-0.422382964645
RPL36	0.000123438220085	0.0	0.0	True	10	8	-1.56508883389
COPA	0.000124887470449	0.0	0.0	True	10	9	-1.58152667161
COPZ1	0.00017536935279	0.0104166666667	0.0440340909091	False	16	8	-0.250977448642
COPS6	0.000179719383414	0.0104166666667	0.0440340909091	False	10	8	-0.936467618451
PSMC4	0.000212904398158	0.0104166666667	0.0440340909091	False	10	8	-0.588627506283
PSMD1	0.000282372038431	0.0208333333333	0.0668103448276	False	12	8	-0.566458824973
PSMC1	0.000288967297935	0.0208333333333	0.0668103448276	False	10	8	-1.46414130421
POLR2F	0.000295696953578	0.0208333333333	0.0668103448276	False	10	8	-1.20843843798
NUP205	0.000309568849725	0.0208333333333	0.0668103448276	False	10	8	-0.940133866009
NUP54	0.000339550922464	0.0208333333333	0.0668103448276	False	11	7	-0.854295093447
POLA1	0.000347369194691	0.0208333333333	0.0668103448276	False	10	7	-0.959740293857
NUP133	0.000362709246846	0.0208333333333	0.0668103448276	False	10	8	-0.99960886809
RPL9	0.000417748258147	0.03125	0.096875	False	10	6	-0.929327223281
RPL34	0.000627751669086	0.0520833333333	0.1513671875	False	7	6	-2.41031679105
PSMA3	0.000638490329543	0.0520833333333	0.1513671875	False	10	6	-0.923764217799
RPL35A	0.000781021468146	0.0625	0.176136363636	False	7	5	-2.1300123893
COPS8	0.000957384235752	0.0729166666667	0.19375	False	16	7	-0.029966588909
RPS3A	0.00102201838904	0.0729166666667	0.19375	False	6	6	-1.25097707169
PSMB3	0.00149609730239	0.135416666667	0.349826388889	False	10	6	-0.45920620924
RPL18A	0.00189304037023	0.166666666667	0.407894736842	False	8	6	-0.795606937743
RPS11	0.00196125099192	0.166666666667	0.407894736842	False	10	6	-0.70112519514
RPL5	0.00206739943974	0.177083333333	0.422275641026	False	10	6	-0.450036416493
RPL30	0.00258998541772	0.208333333333	0.484375	False	10	5	-0.32081944077
COPS2	0.00277230888571	0.229166666667	0.519817073171	False	10	5	-0.352415898406
RPL27	0.00587726501969	0.416666666667	0.922619047619	False	10	5	-0.032874729923
RPS24	0.0192592138678	0.708333333333	1.0	False	13	4	0.156175726624
RPS27	0.0348833978526	0.822916666667	1.0	False	5	3	-0.538584351856
RPS7	0.0352177412546	0.822916666667	1.0	False	8	3	0.25612782323
RPL6	0.0935939734992	0.9375	1.0	False	2	2	-1.25962901546
LYZL6	0.366285119667	0.989583333333	1.0	False	10	1	0.267703773206
TGM6	1.0	1.0	1.0	False	14	0	0.547081118065
IL22	1.0	1.0	1.0	False	10	0	0.448134655265
FAM71B	1.0	1.0	1.0	False	10	0	0.601660152068
LHX5	1.0	1.0	1.0	False	10	0	0.482379217093
OR12D2	1.0	1.0	1.0	False	10	0	0.469636528214
RXFP2	1.0	1.0	1.0	False	10	0	0.515001831658
SAGE1	1.0	1.0	1.0	False	10	0	0.527697870491
RPTN	1.0	1.0	1.0	False	10	0	0.47100163281
RNASE9	1.0	1.0	1.0	False	11	0	0.37895121406
KRT25	1.0	1.0	1.0	False	10	0	0.437668031241
DMRTC2	1.0	1.0	1.0	False	10	0	0.294166644043
ADH7	1.0	1.0	1.0	False	10	0	0.507305462586
OR9Q2	1.0	1.0	1.0	False	10	0	0.471086988717
OTUD6A	1.0	1.0	1.0	False	10	0	0.53598221686
FCRL4	1.0	1.0	1.0	False	10	0	0.473859560377
TAS2R9	1.0	1.0	1.0	False	10	0	0.474192818834
DMRTB1	1.0	1.0	1.0	False	10	0	0.363622525792
KRT9	1.0	1.0	1.0	False	10	0	0.405901831972
VN1R2	1.0	1.0	1.0	False	10	0	0.50558992017
SPATA16	1.0	1.0	1.0	False	10	0	0.447598150065
