sgRNA	gene	Control_3	T1_2	Control_2	Control_1	T1_3	T1_1	Variance
IL22-4	IL22	2892.47279761	5089.84483628	2851.84933467	2983.44501464	4890.85580502	5237.06964184	1181580.54366
RPS19-10	RPS19	2350.11835256	380.357397068	2292.10480217	2378.39742651	314.056245193	318.386047805	1003712.37019
PSMD11-2	PSMD11	2387.77483546	374.991359101	2304.30957821	2259.90498283	280.018864429	306.80837334	998930.466273
NUP93-4	NUP93	2078.94113003	150.564712366	2011.87357192	2116.00433982	196.504466266	207.48411345	888679.991117
RPS3A-3	RPS3A	2206.31607891	416.025767083	2132.24616698	2102.23167101	409.852172497	393.640931832	758271.074142
RPS11-2	RPS11	2176.49416628	680.855523216	2236.34572732	2167.53311793	582.846282978	567.001373173	628383.282337
POLR2A-5	POLR2A	1835.31126748	298.288581103	1803.43514191	1832.2398705	260.719318635	221.194517423	611805.500595
PSMB3-3	PSMB3	1717.03452923	190.652172472	1648.12338406	1748.65401845	136.149523056	136.494688437	601967.003752
COPZ1-18	COPZ1	2122.41035862	674.542537372	2176.51839379	2322.59437187	646.008432849	673.028497227	598600.962596
PSMC4-5	PSMC4	2495.43699464	1096.8812903	2622.11237392	2601.60964505	1047.43898536	1159.29082478	544173.425419
RPS8-8	RPS8	1697.82719566	205.172039912	1653.86680808	1640.13488667	162.467085502	203.218654437	543412.804626
PSMC1-9	PSMC1	1854.01314489	456.428876481	1890.78304886	1905.14003124	416.519288317	424.413171859	526628.126696
NUP93-7	NUP93	1822.42213574	333.956951118	1810.85373126	1858.59790907	449.15306575	381.149230435	521553.752975
PSMC1-6	PSMC1	1838.34400436	408.765833363	1827.12676598	1788.30980621	401.781453347	406.437308873	498857.33203
NPHS2-8	NPHS2	2246.75257062	3358.824118	2186.56938583	2129.0646292	3600.94434432	3615.28118972	455339.42696
POLR2F-1	POLR2F	2212.88700882	784.388491048	2209.5430819	2242.33295712	891.989916514	1000.2501387	445803.134243
RPS24-7	RPS24	1821.41122345	580.794697597	1822.3405793	1824.87861648	476.523330695	436.295521969	440764.982708
RPL5-6	RPL5	1677.86167788	314.386695004	1682.10530951	1642.98440435	354.409840944	362.868691805	438463.649131
RPL36-3	RPL36	1390.00440252	89.9600482691	1401.87407926	1418.34742697	69.4783648583	81.3483969034	437781.862457
PSMB2-13	PSMB2	1514.5993426	187.49567955	1477.97444751	1546.81318253	178.608523802	219.671139204	434746.707042
RPS9-10	RPS9	1527.23574626	279.349623572	1571.78370648	1653.90755547	267.035533622	258.060270327	434484.078879
NUP93-1	NUP93	1665.73073037	361.102790245	1739.5395497	1635.38569053	331.952187656	438.428251476	426455.471486
PSMC1-10	PSMC1	1533.30122002	279.980922157	1562.68995178	1566.52234651	227.032838704	257.450919039	422422.820086
PSMC1-8	PSMC1	1701.36538869	375.307008393	1538.04109037	1626.59967767	315.810749356	350.072314764	408892.60277
