sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPS13-4	RPS13	59.0264176362	1301.124802	44.5407473111	0.0453656847871	0.0	0.0	True
RPL36-3	RPL36	89.9600482691	1403.40863625	46.8799138057	0.0641011077924	0.0	0.0	True
NUP93-4	NUP93	150.564712366	2068.93968059	61.6056885494	0.0727738530894	0.0	0.0	True
PSMB3-3	PSMB3	190.652172472	1704.60397725	53.6326060943	0.111845434492	0.0	0.0	True
PSMD11-2	PSMD11	374.991359101	2317.32979883	66.9555557041	0.161820453563	0.0	0.0	True
RPS19-10	RPS19	380.357397068	2340.20686041	67.4454979535	0.16253152809	0.0	0.0	True
RPS8-8	RPS8	205.172039912	1663.94296347	52.7309804882	0.123304731242	8.30030285013e-322	1.13951300557e-319	True
PSMB2-2	PSMB2	49.2412895789	1066.12289348	39.0450833636	0.046187254659	1.15559749971e-307	1.38816149652e-305	True
RPS8-7	RPS8	139.201337848	1385.93278257	46.4821606296	0.100438736711	3.16710934482e-306	3.38176897819e-304	True
PSMB2-13	PSMB2	187.49567955	1513.12899088	49.3609503959	0.123912555162	7.15642272584e-300	6.87732223953e-298	True
POLR2A-5	POLR2A	298.288581103	1823.6620933	56.2576872433	0.163565707813	6.49316265288e-296	5.67266300856e-294	True
RPS3A-3	RPS3A	416.025767083	2146.93130563	63.2918469516	0.193776934545	4.0741166571e-295	3.2626884229e-293	True
RPL11-8	RPL11	26.8301898346	892.279439157	34.8334627657	0.0300692682776	5.11286229922e-285	3.77958513042e-283	True
POLR2D-9	POLR2D	101.639072079	1170.53063784	41.5103118955	0.0868316204577	3.2415044478e-283	2.22506126738e-281	True
NUP93-2	NUP93	95.9573848204	1148.1004818	40.9841606076	0.0835792566431	1.1453070821e-282	7.33760070596e-281	True
NUP93-7	NUP93	333.956951118	1830.62459202	56.4105572312	0.182427873292	3.11755421158e-277	1.87248099833e-275	True
RPL34-1	RPL34	143.936077231	1263.88232828	43.6819158876	0.113884080828	4.10113160013e-272	2.31834556925e-270	True
PSMB3-9	PSMB3	174.238409279	1308.9074152	44.7197151394	0.133117443797	5.14480908719e-260	2.74675640711e-258	True
RPS11-10	RPS11	176.132305032	1299.782186	44.5098554371	0.13550909293	2.48669002483e-256	1.25774163887e-254	True
PSMD6-7	PSMD6	204.540741328	1379.76236661	46.3415403832	0.148243455741	2.64841570455e-256	1.27256374603e-254	True
COPA-8	COPA	162.243736177	1257.47090194	43.5336519172	0.129023849321	5.66183972129e-256	2.56760337969e-254	True
