gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
PSMB2	5.9184229717e-13	0.0	0.0	True	24	20	-2.37287881194
PSMD6	1.28362860795e-08	0.0	0.0	True	19	17	-1.26631250363
COPA	3.51927224124e-06	0.0	0.0	True	10	8	-2.03327974852
COPB1	4.07218785951e-06	0.0	0.0	True	10	9	-2.01899898645
RPS19	6.99660926712e-06	0.0	0.0	True	10	9	-2.37747880924
POLR2D	7.27387472948e-06	0.0	0.0	True	10	8	-1.60269482728
NUP93	1.20490646425e-05	0.0	0.0	True	11	9	-1.91524492714
RPL11	1.2072226924e-05	0.0	0.0	True	10	9	-2.15740006021
PSMC2	1.34341285213e-05	0.0	0.0	True	14	10	-0.832657399274
RPS9	1.693495313e-05	0.0	0.0	True	10	6	-1.82674683649
RPS13	1.89765048323e-05	0.0	0.0	True	10	10	-1.90579363607
RPS8	2.22418232546e-05	0.0	0.0	True	10	8	-2.05858093994
PSMD7	2.34988203503e-05	0.0	0.0	True	10	10	-1.86936930689
PSMD11	2.98917951669e-05	0.0	0.0	True	10	9	-1.65516092426
NUP98	4.36801876159e-05	0.0	0.0	True	16	9	-0.374525840703
COPS4	4.75700481318e-05	0.0	0.0	True	10	9	-1.49612774748
COPS6	7.88476994674e-05	0.0	0.0	True	10	8	-0.548112865273
COPZ1	8.10114838699e-05	0.0	0.0	True	16	8	-0.296672961097
RPL9	8.78177701199e-05	0.0	0.0	True	10	8	-1.05765566748
RPL36	0.000158876576214	0.0	0.0	True	10	8	-1.57598942726
PSMD1	0.000192061950469	0.0	0.0	True	12	7	-0.573781128833
POLR2A	0.000269296948033	0.0104166666667	0.0440340909091	False	10	7	-0.657518820159
POLR2F	0.000288924965012	0.0208333333333	0.0745192307692	False	10	7	-0.641323996283
RPL35A	0.000335267697063	0.0208333333333	0.0745192307692	False	7	5	-2.34778222127
RPL18A	0.000349060540309	0.0208333333333	0.0745192307692	False	8	6	-0.999785857336
NUP54	0.000424963002551	0.0208333333333	0.0745192307692	False	11	7	-0.602206782215
PSMC1	0.00045392712418	0.03125	0.103794642857	False	10	7	-1.19475174794
NUP205	0.000539576705716	0.03125	0.103794642857	False	10	7	-0.720742074144
NUP133	0.00056119548248	0.0416666666667	0.133620689655	False	10	6	-0.640347946989
PSMA3	0.000625025294517	0.0520833333333	0.161458333333	False	10	6	-0.945747505844
RPS11	0.000874424612058	0.09375	0.28125	False	10	5	-0.540148282857
RPL34	0.00110512282932	0.104166666667	0.284926470588	False	7	6	-1.65371002995
COPS8	0.00114456764715	0.104166666667	0.284926470588	False	16	5	0.155948383041
PSMC4	0.00121685144575	0.104166666667	0.284926470588	False	10	6	-0.3982523863
RPL30	0.0015645977307	0.145833333333	0.366554054054	False	10	5	-0.317184661104
RPL5	0.00159445560431	0.145833333333	0.366554054054	False	10	5	-0.253090144479
POLA1	0.00165553881883	0.145833333333	0.366554054054	False	10	5	-0.351738969362
RPL3	0.0017311116338	0.15625	0.382401315789	False	11	6	-0.210821206087
COPS2	0.00185968367726	0.166666666667	0.397435897436	False	10	6	-0.556087058778
RPS3A	0.00442384463875	0.364583333333	0.84765625	False	6	5	-0.649744126155
PSMB3	0.00500495289725	0.385416666667	0.874237804878	False	10	5	-0.0934496084289
RPL27	0.0109685193422	0.572916666667	1.0	False	10	4	0.147047193117
RPS27	0.0365764781543	0.78125	1.0	False	5	3	-0.312851780789
RPS24	0.0382709218307	0.78125	1.0	False	13	2	0.226332068622
LYZL6	0.0419825909432	0.8125	1.0	False	10	3	0.03453111401
RPS7	0.078937024713	0.90625	1.0	False	8	2	0.243040122338
KRT25	0.108125316046	0.927083333333	1.0	False	10	2	0.123606795066
MRGPRD	0.122245189877	0.947916666667	1.0	False	10	2	0.113596805865
RPL6	0.232049947971	0.96875	1.0	False	2	1	-0.609932213445
TPH2	0.296566077003	0.979166666667	1.0	False	10	1	0.109274977012
RNASE9	0.34547346514	1.0	1.0	False	11	1	0.295579711321
TGM6	1.0	1.0	1.0	False	14	0	0.493919088364
IL22	1.0	1.0	1.0	False	10	0	0.209784907205
FAM71B	1.0	1.0	1.0	False	10	0	0.627696230102
LHX5	1.0	1.0	1.0	False	10	0	0.311684073656
OR12D2	1.0	1.0	1.0	False	10	0	0.401163101748
RXFP2	1.0	1.0	1.0	False	10	0	0.416098883199
SAGE1	1.0	1.0	1.0	False	10	0	0.461382448688
RPTN	1.0	1.0	1.0	False	10	0	0.296089581998
DMRTC2	1.0	1.0	1.0	False	10	0	0.167975137816
ADH7	1.0	1.0	1.0	False	10	0	0.274371631251
OR9Q2	1.0	1.0	1.0	False	10	0	0.372401829309
OTUD6A	1.0	1.0	1.0	False	10	0	0.412004004611
FCRL4	1.0	1.0	1.0	False	10	0	0.342458015095
TAS2R9	1.0	1.0	1.0	False	10	0	0.593723070189
DMRTB1	1.0	1.0	1.0	False	10	0	0.44882397056
CRYGB	1.0	1.0	1.0	False	10	0	0.47439707576
VN1R2	1.0	1.0	1.0	False	10	0	0.37326377495
SPATA16	1.0	1.0	1.0	False	10	0	0.596386967654
NPHS2	1.0	1.0	1.0	False	10	0	0.33254476013
TRIM42	1.0	1.0	1.0	False	10	0	0.700389002438
MAGEB3	1.0	1.0	1.0	False	10	0	0.432642112654
