sgRNA	gene	Control_3	T1_2	Control_2	Control_1	T1_3	T1_1	Variance
IL22-4	IL22	2867.45625315	5101.09032377	2817.35877876	2880.5005368	5009.69090994	4726.15168873	1105699.23503
RPS19-10	RPS19	2333.21024395	288.389908882	2483.17595671	2358.51420063	391.54442137	359.601011693	1048708.61224
PSMD11-2	PSMD11	2195.44869441	295.545986025	2316.94362748	2182.58877164	220.630210905	210.904258948	991875.990198
NUP93-4	NUP93	2027.11080094	94.221682389	1934.007913	1991.52039432	43.2850750093	117.939881648	902831.886502
COPZ1-18	COPZ1	2188.05661126	664.083958914	2276.35201221	2254.07239532	488.008302819	445.627748895	733570.503221
POLR2A-5	POLR2A	1887.33322872	207.764773065	1865.06659817	1885.07437526	271.335584487	313.812587053	652937.766006
PSMB3-3	PSMB3	1757.29976611	134.534250297	1827.69653966	1678.86304963	187.486210612	155.865647512	638349.343944
RPS8-8	RPS8	1779.14001177	172.938530967	1697.11610534	1736.53986749	180.065912039	161.647014259	613716.415562
HTR3D-1	HTR3D	2060.3751751	3549.65279906	2045.47377717	2185.26105663	3534.28821033	3686.19943819	561565.218348
PSMC1-6	PSMC1	1842.98072985	478.264489088	1929.92727443	1916.69641439	497.654690964	413.714604449	514979.505135
NUP93-7	NUP93	1816.77243506	337.051233457	1712.79434827	1704.02706668	352.216838933	309.187493655	499703.10423
PSMC1-9	PSMC1	1942.10184476	527.164349569	1842.51570079	1920.03677064	535.250870401	499.278832312	477811.70219
FAM71B-2	FAM71B	2219.9769703	3344.98899276	2315.44023432	2191.05100746	3869.43836255	3542.12777884	475959.221458
RPS11-2	RPS11	2021.06273291	664.799566628	2086.92447425	2206.19395578	759.343887306	779.32823756	473569.863694
RPL36-3	RPL36	1489.50475395	125.469885915	1385.05463975	1429.67247362	26.4657315771	62.9012702125	466283.351756
NUP93-1	NUP93	1725.37940707	341.821951553	1675.20951931	1673.29578921	267.378091915	410.245784401	458616.978727
PSMC1-10	PSMC1	1510.00098449	236.627617544	1704.63307113	1592.68185846	248.580002196	287.912064024	455496.690415
PSMB2-1	PSMB2	1423.64801319	96.368505532	1321.05304529	1427.44556945	78.4078215883	86.0267372024	426202.852254
COPB1-3	COPB1	1426.67204721	97.7997209607	1373.02749448	1475.99208024	139.748956459	126.496304435	426064.471837
PSMB2-13	PSMB2	1416.92793761	110.680659819	1430.1564345	1393.59662615	111.551821881	172.515983745	411399.748974
OTUD6A-7	OTUD6A	1465.64848561	2751.27312576	1599.82509094	1486.45852981	2750.45733774	2875.88307486	410025.973698
RPS13-4	RPS13	1304.03066774	84.9187821025	1279.60234821	1377.78560658	58.8677020127	72.8452210182	390467.267504
DEFB129-3	DEFB129	2000.90250615	2825.69632805	2079.83704936	2202.4082187	3472.20504561	3454.48225895	382962.055134
COPS4-9	COPS4	1892.03728164	634.744042625	1854.32807561	1879.72980526	665.106095429	616.756204621	382553.082601
