sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
NUP93-4	NUP93	117.939881648	1984.21303609	76.241883353	0.0594391224646	0.0	0.0	True
PSMD11-2	PSMD11	210.904258948	2231.66036451	84.1114285618	0.0945055360135	3.15220627941e-307	1.51463511726e-304	True
RPL36-3	RPL36	62.9012702125	1434.74395577	58.6217622631	0.0438414603244	2.74125807899e-303	8.78116337969e-301	True
PSMB3-3	PSMB3	155.865647512	1754.61978513	68.9091783752	0.0888315798288	2.71694878468e-278	6.52746945519e-276	True
RPS13-4	RPS13	72.8452210182	1320.47287418	54.918794658	0.0551660109364	2.04184655921e-273	3.92442908679e-271	True
PSMB2-1	PSMB2	86.0267372024	1390.71554264	57.1971156957	0.0618578958563	3.2520037816e-273	5.20862605687e-271	True
RPS8-8	RPS8	161.647014259	1737.59866153	68.3641003105	0.0930289702898	9.2847741672e-272	1.27466685352e-269	True
PSMB2-2	PSMB2	37.2320018537	1072.96066763	46.8239457698	0.0347002485524	4.69752848154e-262	5.64290608844e-260	True
RPS11-10	RPS11	86.0267372024	1312.76358265	54.6683063511	0.0655310204666	1.62588764824e-259	1.73608669996e-257	True
RPL11-8	RPL11	9.48144146586	859.07464016	39.7082800879	0.0110368075399	1.95865151259e-253	1.8822641036e-251	True
COPA-8	COPA	79.3203517754	1242.88510867	52.3935248565	0.0638195366749	5.98343315814e-253	5.22734478634e-251	True
RPS19-10	RPS19	359.601011693	2391.6334671	89.1847963381	0.150357910875	3.28581392971e-250	2.63138932205e-248	True
COPB1-3	COPB1	126.496304435	1425.23054064	58.3141424553	0.0887549774075	2.25478955082e-247	1.66680981411e-245	True
RPL9-6	RPL9	18.5003735919	867.092646359	39.9778007289	0.0213360979009	1.91302121392e-241	1.31315241899e-239	True
NUP93-2	NUP93	81.1703891345	1188.05621739	50.6027620149	0.0683220103109	5.24377118683e-241	3.35950940703e-239	True
PSMB2-12	PSMB2	42.0883499216	937.099403831	42.3208754892	0.0449134315416	8.96287083004e-228	5.38332429229e-226	True
RPS8-7	RPS8	165.809598318	1417.15769255	58.0530144935	0.117001515914	6.74482590022e-220	3.81281040595e-218	True
PSMA3-6	PSMA3	127.421323114	1242.30551779	52.37462318	0.102568427242	2.41284450734e-215	1.28819087308e-213	True
PSMB2-13	PSMB2	172.515983745	1413.56033275	57.9366259257	0.122043594283	5.0463056745e-215	2.55236829116e-213	True
RPL27-10	RPL27	109.614713532	1160.61190024	49.7042632834	0.0944456226145	1.6602200119e-213	7.97735715718e-212	True
PSMB3-9	PSMB3	121.639956367	1206.32810865	51.200154144	0.100834885215	3.81184356815e-213	1.74437222333e-211	True
PSMD6-7	PSMD6	167.659635677	1382.99171407	56.9469307303	0.121229674749	4.00772466847e-213	1.75064700291e-211	True
RPL11-9	RPL11	53.8823380865	919.25510968	41.7252880667	0.0586152173854	1.34492936882e-212	5.61946575405e-211	True
POLR2A-5	POLR2A	313.812587053	1879.15806738	72.8909281999	0.16699637593	2.95811968996e-209	1.18448042586e-207	True
COPZ1-18	COPZ1	445.627748895	2239.49367293	84.3600885633	0.198985937885	1.08480396733e-199	4.1699864504e-198	True
RPS8-4	RPS8	96.201942678	1034.12697588	45.5420353864	0.0930272054804	3.31639838e-199	1.22579186276e-197	True
PSMA3-11	PSMA3	85.7954825325	971.37335872	43.4619249719	0.0883238991087	2.83990417193e-195	1.01079552194e-193	True
PSMB2-10	PSMB2	159.7969769	1236.51830383	52.1858578111	0.129231388169	1.66118201341e-193	5.70141398172e-192	True
NUP93-7	NUP93	309.187493655	1744.53128334	68.5861350432	0.177232415725	1.81915841402e-193	6.02831460645e-192	True
RPS11-1	RPS11	127.190068444	1116.25848908	48.248898191	0.113943203737	1.3915618647e-192	4.45763650658e-191	True
COPS4-1	COPS4	63.1325248824	867.384929796	39.9876208846	0.0727848994301	5.96153040635e-192	1.84807442597e-190	True
RPL9-7	RPL9	57.1199034651	840.677149098	39.0888800996	0.0679451124922	1.55556138481e-191	4.67154528377e-190	True
RPS9-2	RPS9	40.2383125624	746.060071652	35.87935392	0.0539344137172	1.81809181105e-186	5.29450372855e-185	True
RPS9-8	RPS9	103.139582775	985.59370429	43.9342824543	0.104647160718	2.21387254713e-184	6.25744564057e-183	True
PSMC1-10	PSMC1	287.912064024	1602.43863803	64.0272629841	0.179671194385	7.81717540243e-184	2.14637301764e-182	True
RPL35A-4	RPL35A	74.4640037075	859.597036639	39.725847905	0.0866266407789	8.88843213473e-181	2.37271757819e-179	True
RPL36-1	RPL36	140.834093968	1087.28286938	47.2957818897	0.129528476843	9.25972658051e-179	2.40502628213e-177	True
RPS19-7	RPS19	27.7505603879	655.601785061	32.7654034478	0.0423283783239	1.39718703647e-178	3.53341247906e-177	True
RPL34-5	RPL34	119.327409668	992.967502247	44.1789820951	0.120172522664	1.28885934881e-174	3.17588162616e-173	True
RPL11-2	RPL11	306.181182946	1576.89545488	63.2058123678	0.194167078102	4.69922457803e-172	1.12898870487e-170	True
PSMC1-6	PSMC1	413.714604449	1896.53480622	73.4456634027	0.218142373708	7.95576449152e-172	1.8647535796e-170	True
COPB1-7	COPB1	39.3132938828	675.199398963	33.4444485269	0.0582247169402	2.58243573458e-170	5.90885890699e-169	True
RPL18A-7	RPL18A	132.508925852	1009.72426596	44.7344735455	0.131232783364	2.56727535984e-169	5.73756190886e-168	True
PSMD7-7	PSMD7	62.6700155426	756.481991542	36.2350358832	0.0828440283355	5.52795396895e-168	1.20735540095e-166	True
POLR2D-9	POLR2D	193.328904036	1199.14894767	50.9655097532	0.161221760159	8.65833432869e-168	1.84903539775e-166	True
RPL9-3	RPL9	190.785102667	1182.34658683	50.4159569096	0.161361401802	1.50162695548e-166	3.13709457438e-165	True
PSMC4-3	PSMC4	107.533421503	909.87772732	41.4118636702	0.118184474984	2.60573725574e-166	5.32790106972e-165	True
NUP93-10	NUP93	103.602092115	894.419768468	40.8945263696	0.115831621535	5.90065433271e-166	1.18136016953e-164	True
RPL36-6	RPL36	33.7631818053	630.68108552	31.8979496968	0.0535344765849	1.80472506554e-165	3.53947099588e-164	True
RPL35A-6	RPL35A	62.9012702125	744.555168911	35.8279460456	0.0844816782408	3.09158928924e-165	5.94203461392e-164	True
POLR2A-7	POLR2A	31.6818897762	621.007030506	31.5599415321	0.051016958295	3.5499761965e-165	6.68926887222e-164	True
PSMD11-9	PSMD11	267.099143733	1397.71238912	57.4236839207	0.191097357233	2.99494258192e-163	5.53488427159e-162	True
RPS13-9	RPS13	208.591712249	1210.80171321	51.3463212335	0.172275699624	6.01911614493e-162	1.09139068213e-160	True
RPS19-3	RPS19	96.8957066877	838.221444562	39.0060966117	0.115596788076	3.22565739845e-159	5.74047548132e-158	True
RPL34-1	RPL34	210.904258948	1199.34995301	50.9720807495	0.175848807447	4.79835603479e-159	8.38403663533e-158	True
RPS13-8	RPS13	238.423564666	1277.98387788	53.5371039751	0.186562263259	3.6140452809e-158	6.20195984811e-157	True
RPL5-5	RPL5	311.731295024	1480.73100139	60.1072177826	0.210525270783	1.41281013111e-156	2.38194830876e-155	True
PSMD11-5	PSMD11	167.890890347	1047.14770591	45.9722816592	0.160331622177	2.02933857542e-155	3.36240408789e-154	True
RPL35A-1	RPL35A	113.77729759	871.827667154	40.1368472464	0.130504343779	1.82594081753e-154	2.97411716211e-153	True
POLR2A-2	POLR2A	127.652577784	916.663875378	41.6387106475	0.139257781628	2.0237947174e-154	3.24144453903e-153	True
RPS9-4	RPS9	99.6707627265	822.732387117	38.4833577167	0.121146030334	8.46412126309e-154	1.33344598915e-152	True
RPS9-10	RPS9	303.868636247	1436.10588395	58.665791484	0.211592083594	1.69340770633e-153	2.62478194481e-152	True
POLA1-3	POLA1	133.665199202	904.42755528	41.2295583673	0.147789835042	2.80357009099e-148	4.27655691658e-147	True
NUP93-1	NUP93	410.245784401	1691.2949052	66.8801229147	0.242563129079	7.96108702469e-148	1.19540697355e-146	True
NUP54-18	NUP54	152.859336803	959.210234261	43.0574143503	0.159359576601	1.26283224876e-147	1.86704890933e-146	True
RPL5-3	RPL5	85.7954825325	739.128245911	35.6424582943	0.116076584824	1.1824852769e-145	1.72177022894e-144	True
PSMC1-9	PSMC1	499.278832312	1901.55143873	73.6057787983	0.262563937079	1.92285978028e-144	2.75801231172e-143	True
RPL30-1	RPL30	109.845968202	797.397994939	37.6260605857	0.137755510923	1.23743356241e-141	1.74878478452e-140	True
COPS4-7	COPS4	124.183757736	841.690711381	39.1230406124	0.147540843753	3.03447325598e-141	4.21450391585e-140	True
COPA-6	COPA	45.0946606303	583.001490633	30.2245975561	0.0773491343587	3.06987798241e-141	4.21450391585e-140	True
RPS8-6	RPS8	73.5389850279	676.988869615	33.5063222774	0.108626579149	1.633829263e-140	2.211422425e-139	True
PSMB2-3	PSMB2	189.860083987	1027.2817326	45.3156676449	0.184817930624	3.65128487016e-140	4.87345105586e-139	True
RPS19-5	RPS19	167.428381007	962.026010425	43.151099729	0.174037270503	8.04321682344e-140	1.05883991333e-138	True
PSMD6-4	PSMD6	331.156687295	1401.39431822	57.5428842194	0.236305144804	1.25761849422e-137	1.63320455804e-136	True
POLR2D-2	POLR2D	275.19305718	1246.58523629	52.514180056	0.220757513541	5.72233408153e-137	7.33221740314e-136	True
COPS8-10	COPS8	204.891637531	1051.16613653	46.1049747031	0.194918415282	6.47202366893e-137	8.18370361296e-136	True
POLR2D-8	POLR2D	97.3582160275	726.720111038	35.2177433945	0.133969343285	2.11229747667e-134	2.63625698063e-133	True
PSMB2-4	PSMB2	126.496304435	810.8976053	38.0832395867	0.155995410035	1.00955082833e-133	1.24381839234e-132	True
RPL36-5	RPL36	314.737605733	1313.80646274	54.7021966326	0.239561620877	1.58088994834e-131	1.92308258273e-130	True
POLA1-1	POLA1	181.766170541	954.173890421	42.8897850994	0.190495854441	4.62065990029e-131	5.55056770523e-130	True
PSMB2-6	PSMB2	401.458106945	1532.15221004	61.76532875	0.262022339761	1.13751467965e-130	1.34956988536e-129	True
PSMD7-8	PSMD7	125.802540425	792.526748183	37.4608821222	0.158736018328	1.52476738813e-130	1.786953e-129	True
RPS9-7	RPS9	131.583907173	809.401637034	38.0326181803	0.162569361306	1.98706870233e-130	2.30069038909e-129	True
