Gene	sgRNA	T1|beta	T1|z	T1|p-value	T1|fdr	T1|wald-p-value	T1|wald-fdr
RPS19	10	-1.5901	-11.47	0	0	1.8747e-30	4.3587e-29
NUP93	11	-1.3614	-10.292	0	0	7.6883e-25	7.1501e-24
PSMD11	10	-1.2865	-10.877	0.021505	0.036364	1.4831e-27	2.2988e-26
RPS3A	6	-1.1908	-7.8961	0.021505	0.036364	2.8781e-15	1.0707e-14
PSMB3	10	-0.67834	-5.6808	0.22581	0.25	1.3405e-08	2.3087e-08
POLR2A	10	-1.2928	-9.2599	0.021505	0.036364	2.0465e-20	1.0574e-19
RPS8	10	-1.3646	-9.623	0	0	6.3927e-22	4.5733e-21
RPL36	10	-1.2654	-8.9191	0.032258	0.047619	4.7006e-19	2.3008e-18
RPS13	10	-1.6242	-12.251	0	0	1.6637e-34	5.1573e-33
RPS11	10	-0.8221	-6.7054	0.10753	0.12987	2.0083e-11	5.1881e-11
PSMC1	10	-1.039	-8.5691	0.064516	0.088235	1.0428e-17	4.8489e-17
RPS9	10	-1.1752	-8.0087	0.032258	0.047619	1.159e-15	4.6243e-15
COPB1	10	-1.2592	-10.519	0.032258	0.047619	7.0274e-26	8.1693e-25
RPL5	10	-0.78644	-6.691	0.13978	0.16456	2.2172e-11	5.5729e-11
RPL11	10	-1.5907	-11.342	0	0	8.1276e-30	1.5117e-28
PSMB2	24	-1.3727	-15.011	0.021505	0.036364	6.2326e-51	5.7963e-49
COPZ1	16	-0.68882	-7.7011	0.1828	0.20732	1.3492e-14	4.6472e-14
PSMD6	19	-1.1487	-14.127	0	0	2.5825e-45	1.2009e-43
COPA	10	-1.2036	-9.474	0.032258	0.047619	2.6928e-21	1.4731e-20
RPL18A	8	-1.3337	-9.4934	0	0	2.2359e-21	1.2996e-20
POLR2F	10	-0.91216	-8.4326	0.086022	0.11429	3.3821e-17	1.4978e-16
POLR2D	10	-1.3783	-10.589	0	0	3.3606e-26	4.4648e-25
PSMA3	10	-0.7239	-6.579	0.1828	0.20732	4.7355e-11	1.1589e-10
RPL34	7	-1.3402	-8.0051	0	0	1.1934e-15	4.6243e-15
RPS24	13	-0.28183	-4.3953	0.66667	0.67391	1.1064e-05	1.2548e-05
PSMC4	10	-1.1456	-9.523	0.053763	0.076923	1.6828e-21	1.0433e-20
RPL27	10	-0.47263	-4.3862	0.6129	0.63333	1.1535e-05	1.2925e-05
RPL9	10	-1.0318	-7.2682	0.064516	0.088235	3.6443e-13	1.0591e-12
PSMC2	14	-0.89104	-9.5648	0.064516	0.088235	1.124e-21	7.4669e-21
NUP54	11	-0.78186	-7.6852	0.11828	0.14103	1.5278e-14	5.0746e-14
COPS4	10	-1.2074	-10.232	0.032258	0.047619	1.4295e-24	1.2086e-23
NUP133	10	-0.82172	-7.2141	0.10753	0.12987	5.4297e-13	1.5302e-12
RPL35A	7	-1.4078	-7.6073	0	0	2.7994e-14	8.9773e-14
RPL3	11	-0.71435	-7.5966	0.21505	0.24096	3.0391e-14	9.4213e-14
RPL30	10	-0.59864	-5.6384	0.29032	0.31034	1.7166e-08	2.8008e-08
POLA1	10	-0.85783	-7.5739	0.10753	0.12987	3.6205e-14	1.0861e-13
NUP98	16	-0.70223	-9.9011	0.16129	0.1875	4.1154e-23	3.1895e-22
COPS2	10	-0.63893	-6.2162	0.27957	0.30233	5.0939e-10	1.2147e-09
RPL6	2	-1.0075	-4.4101	0.26882	0.29412	1.0333e-05	1.1864e-05
PSMD7	10	-1.2299	-10.297	0.032258	0.047619	7.2459e-25	7.1501e-24
COPS8	16	-0.36368	-6.0116	0.95699	0.95699	1.837e-09	4.2709e-09
COPS6	10	-0.82235	-8.1036	0.10753	0.12987	5.3339e-16	2.2548e-15
NUP205	10	-0.82394	-7.8681	0.10753	0.12987	3.5999e-15	1.2876e-14
PSMD1	12	-0.5504	-7.0808	0.45161	0.47727	1.4334e-12	3.9208e-12
RPS7	8	-0.21834	-3.1774	0.58065	0.60674	0.0014859	0.0015354
RPS27	5	-0.56125	-5.3379	0.62366	0.63736	9.4053e-08	1.3884e-07
LYZL6	10	0.0051838	0.27464	0.10753	0.12987	0.78359	0.78359
CRYGB	10	0.14173	5.2018	0.021505	0.036364	1.9736e-07	2.7394e-07
MRGPRD	10	0.034169	1.9297	0.086022	0.11429	0.053643	0.054821
IL1F10	10	0.0051066	0.34892	0.10753	0.12987	0.72715	0.73505
OTUD6A	10	0.14495	4.6615	0.021505	0.036364	3.1393e-06	3.6956e-06
KRT25	10	0.096659	3.9217	0.021505	0.036364	8.792e-05	9.2915e-05
