Gene	sgRNA	eff
RPS19	RPS19-10	1
RPS19	RPS19-2	1
RPS19	RPS19-8	1
RPS19	RPS19-3	1
RPS19	RPS19-5	1
RPS19	RPS19-7	1
RPS19	RPS19-6	1
RPS19	RPS19-9	1
RPS19	RPS19-4	1
RPS19	RPS19-1	1
NUP93	NUP93-4	1
NUP93	NUP93-7	1
NUP93	NUP93-1	1
NUP93	NUP93-2	1
NUP93	NUP93-10	1
NUP93	NUP93-8	1
NUP93	NUP93-11	1
NUP93	NUP93-9	1
NUP93	NUP93-6	1
NUP93	NUP93-5	1
NUP93	NUP93-3	1
PSMD11	PSMD11-2	1
PSMD11	PSMD11-5	1
PSMD11	PSMD11-9	1
PSMD11	PSMD11-8	1
PSMD11	PSMD11-3	1
PSMD11	PSMD11-6	1
PSMD11	PSMD11-1	1
PSMD11	PSMD11-4	1
PSMD11	PSMD11-10	1
PSMD11	PSMD11-7	1
RPS3A	RPS3A-3	1
RPS3A	RPS3A-1	1
RPS3A	RPS3A-4	1
RPS3A	RPS3A-2	1
RPS3A	RPS3A-5	1
RPS3A	RPS3A-6	1
PSMB3	PSMB3-3	1
PSMB3	PSMB3-9	1
PSMB3	PSMB3-6	1
PSMB3	PSMB3-1	1
PSMB3	PSMB3-7	1
PSMB3	PSMB3-5	1
PSMB3	PSMB3-10	1
PSMB3	PSMB3-2	1
PSMB3	PSMB3-8	1
PSMB3	PSMB3-4	1
POLR2A	POLR2A-5	1
POLR2A	POLR2A-2	1
POLR2A	POLR2A-7	1
POLR2A	POLR2A-1	1
POLR2A	POLR2A-3	1
POLR2A	POLR2A-4	1
POLR2A	POLR2A-10	1
POLR2A	POLR2A-8	1
POLR2A	POLR2A-9	1
POLR2A	POLR2A-6	1
RPS8	RPS8-8	1
RPS8	RPS8-7	1
RPS8	RPS8-4	1
RPS8	RPS8-5	1
RPS8	RPS8-10	1
RPS8	RPS8-6	1
RPS8	RPS8-2	1
RPS8	RPS8-3	1
RPS8	RPS8-1	1
RPS8	RPS8-9	1
RPL36	RPL36-3	1
RPL36	RPL36-1	1
RPL36	RPL36-5	1
RPL36	RPL36-10	1
RPL36	RPL36-6	1
RPL36	RPL36-2	1
RPL36	RPL36-7	1
RPL36	RPL36-9	1
RPL36	RPL36-4	1
RPL36	RPL36-8	1
RPS13	RPS13-4	1
RPS13	RPS13-9	1
RPS13	RPS13-8	1
RPS13	RPS13-2	1
RPS13	RPS13-7	1
RPS13	RPS13-6	1
RPS13	RPS13-5	1
RPS13	RPS13-10	1
RPS13	RPS13-1	1
RPS13	RPS13-3	1
RPS11	RPS11-2	1
RPS11	RPS11-10	1
RPS11	RPS11-1	1
RPS11	RPS11-7	1
RPS11	RPS11-3	1
RPS11	RPS11-9	1
RPS11	RPS11-4	1
RPS11	RPS11-6	1
RPS11	RPS11-8	1
RPS11	RPS11-5	1
PSMC1	PSMC1-10	1
PSMC1	PSMC1-6	1
PSMC1	PSMC1-9	1
PSMC1	PSMC1-8	1
PSMC1	PSMC1-4	1
PSMC1	PSMC1-1	1
PSMC1	PSMC1-7	1
PSMC1	PSMC1-5	1
PSMC1	PSMC1-3	1
PSMC1	PSMC1-2	1
RPS9	RPS9-10	1
RPS9	RPS9-8	1
RPS9	RPS9-4	1
RPS9	RPS9-2	1
RPS9	RPS9-7	1
RPS9	RPS9-3	1
RPS9	RPS9-6	1
RPS9	RPS9-1	1
RPS9	RPS9-5	1
RPS9	RPS9-9	1
COPB1	COPB1-3	1
COPB1	COPB1-6	1
COPB1	COPB1-1	1
COPB1	COPB1-5	1
COPB1	COPB1-2	1
COPB1	COPB1-7	1
COPB1	COPB1-8	1
COPB1	COPB1-4	1
COPB1	COPB1-10	1
COPB1	COPB1-9	1
RPL5	RPL5-6	1
RPL5	RPL5-5	1
RPL5	RPL5-2	1
RPL5	RPL5-3	1
RPL5	RPL5-8	1
RPL5	RPL5-4	1
RPL5	RPL5-1	1
RPL5	RPL5-9	1
RPL5	RPL5-7	1
RPL5	RPL5-10	1
RPL11	RPL11-2	1
RPL11	RPL11-8	1
RPL11	RPL11-7	1
RPL11	RPL11-9	1
RPL11	RPL11-10	1
RPL11	RPL11-5	1
RPL11	RPL11-1	1
RPL11	RPL11-3	1
RPL11	RPL11-4	1
RPL11	RPL11-6	1
PSMB2	PSMB2-1	1
PSMB2	PSMB2-13	1
PSMB2	PSMB2-2	1
PSMB2	PSMB2-10	1
PSMB2	PSMB2-12	1
PSMB2	PSMB2-3	1
PSMB2	PSMB2-5	1
PSMB2	PSMB2-18	1
PSMB2	PSMB2-4	1
PSMB2	PSMB2-15	1
PSMB2	PSMB2-6	1
PSMB2	PSMB2-23	1
PSMB2	PSMB2-21	1
PSMB2	PSMB2-14	1
PSMB2	PSMB2-16	1
PSMB2	PSMB2-20	1
PSMB2	PSMB2-9	1
PSMB2	PSMB2-19	1
PSMB2	PSMB2-17	1
PSMB2	PSMB2-22	1
PSMB2	PSMB2-11	1
PSMB2	PSMB2-24	1
PSMB2	PSMB2-8	1
PSMB2	PSMB2-7	1
COPZ1	COPZ1-18	1
COPZ1	COPZ1-17	1
COPZ1	COPZ1-11	1
COPZ1	COPZ1-4	1
COPZ1	COPZ1-12	1
COPZ1	COPZ1-2	1
COPZ1	COPZ1-3	1
COPZ1	COPZ1-5	1
COPZ1	COPZ1-14	1
COPZ1	COPZ1-15	1
COPZ1	COPZ1-7	1
COPZ1	COPZ1-9	1
COPZ1	COPZ1-8	1
COPZ1	COPZ1-13	1
COPZ1	COPZ1-16	1
COPZ1	COPZ1-6	1
PSMD6	PSMD6-7	1
PSMD6	PSMD6-18	1
PSMD6	PSMD6-4	1
PSMD6	PSMD6-1	1
PSMD6	PSMD6-5	1
PSMD6	PSMD6-12	1
PSMD6	PSMD6-19	1
PSMD6	PSMD6-10	1
PSMD6	PSMD6-8	1
PSMD6	PSMD6-14	1
PSMD6	PSMD6-3	1
PSMD6	PSMD6-13	1
PSMD6	PSMD6-17	1
PSMD6	PSMD6-9	1
PSMD6	PSMD6-6	1
PSMD6	PSMD6-16	1
PSMD6	PSMD6-11	1
PSMD6	PSMD6-15	1
PSMD6	PSMD6-2	1
COPA	COPA-8	1
COPA	COPA-9	1
COPA	COPA-2	1
COPA	COPA-1	1
COPA	COPA-6	1
COPA	COPA-4	1
COPA	COPA-10	1
COPA	COPA-7	1
COPA	COPA-3	1
COPA	COPA-5	1
RPL18A	RPL18A-6	1
RPL18A	RPL18A-8	1
RPL18A	RPL18A-7	1
RPL18A	RPL18A-4	1
RPL18A	RPL18A-1	1
RPL18A	RPL18A-2	1
RPL18A	RPL18A-3	1
RPL18A	RPL18A-5	1
POLR2F	POLR2F-2	1
POLR2F	POLR2F-1	1
POLR2F	POLR2F-9	1
POLR2F	POLR2F-3	1
POLR2F	POLR2F-5	1
POLR2F	POLR2F-6	1
POLR2F	POLR2F-8	1
POLR2F	POLR2F-10	1
POLR2F	POLR2F-7	1
POLR2F	POLR2F-4	1
POLR2D	POLR2D-9	1
POLR2D	POLR2D-2	1
POLR2D	POLR2D-4	1
POLR2D	POLR2D-1	1
POLR2D	POLR2D-7	1
POLR2D	POLR2D-8	1
POLR2D	POLR2D-3	1
POLR2D	POLR2D-6	1
POLR2D	POLR2D-5	1
POLR2D	POLR2D-10	1
PSMA3	PSMA3-6	1
PSMA3	PSMA3-11	1
PSMA3	PSMA3-3	1
PSMA3	PSMA3-1	1
PSMA3	PSMA3-2	1
PSMA3	PSMA3-10	1
PSMA3	PSMA3-5	1
PSMA3	PSMA3-4	1
PSMA3	PSMA3-9	1
PSMA3	PSMA3-7	1
RPL34	RPL34-1	1
RPL34	RPL34-5	1
RPL34	RPL34-7	1
RPL34	RPL34-3	1
RPL34	RPL34-4	1
RPL34	RPL34-6	1
RPL34	RPL34-2	1
RPS24	RPS24-7	1
RPS24	RPS24-5	1
RPS24	RPS24-10	1
RPS24	RPS24-6	1
RPS24	RPS24-4	1
RPS24	RPS24-8	1
RPS24	RPS24-13	1
RPS24	RPS24-3	1
RPS24	RPS24-11	1
RPS24	RPS24-12	1
RPS24	RPS24-2	1
RPS24	RPS24-1	1
RPS24	RPS24-9	1
PSMC4	PSMC4-5	1
PSMC4	PSMC4-2	1
PSMC4	PSMC4-3	1
PSMC4	PSMC4-6	1
PSMC4	PSMC4-4	1
PSMC4	PSMC4-7	1
PSMC4	PSMC4-9	1
PSMC4	PSMC4-1	1
PSMC4	PSMC4-8	1
PSMC4	PSMC4-10	1
RPL27	RPL27-10	1
RPL27	RPL27-2	1
RPL27	RPL27-1	1
RPL27	RPL27-8	1
RPL27	RPL27-7	1
RPL27	RPL27-9	1
RPL27	RPL27-5	1
RPL27	RPL27-3	1
RPL27	RPL27-4	1
RPL27	RPL27-6	1
RPL9	RPL9-3	1
RPL9	RPL9-7	1
RPL9	RPL9-6	1
RPL9	RPL9-9	1
RPL9	RPL9-2	1
RPL9	RPL9-10	1
RPL9	RPL9-4	1
RPL9	RPL9-5	1
RPL9	RPL9-1	1
RPL9	RPL9-8	1
PSMC2	PSMC2-14	1
PSMC2	PSMC2-2	1
PSMC2	PSMC2-11	1
PSMC2	PSMC2-7	1
PSMC2	PSMC2-3	1
PSMC2	PSMC2-13	1
PSMC2	PSMC2-1	1
PSMC2	PSMC2-9	1
PSMC2	PSMC2-4	1
PSMC2	PSMC2-12	1
PSMC2	PSMC2-5	1
PSMC2	PSMC2-10	1
PSMC2	PSMC2-8	1
PSMC2	PSMC2-6	1
NUP54	NUP54-18	1
NUP54	NUP54-19	1
NUP54	NUP54-11	1
NUP54	NUP54-15	1
NUP54	NUP54-8	1
NUP54	NUP54-4	1
NUP54	NUP54-20	1
NUP54	NUP54-10	1
NUP54	NUP54-16	1
NUP54	NUP54-9	1
NUP54	NUP54-2	1
COPS4	COPS4-9	1
COPS4	COPS4-6	1
COPS4	COPS4-4	1
COPS4	COPS4-7	1
COPS4	COPS4-1	1
COPS4	COPS4-2	1
COPS4	COPS4-8	1
COPS4	COPS4-3	1
COPS4	COPS4-10	1
COPS4	COPS4-5	1
NUP133	NUP133-7	1
NUP133	NUP133-6	1
NUP133	NUP133-2	1
NUP133	NUP133-1	1
NUP133	NUP133-3	1
NUP133	NUP133-5	1
NUP133	NUP133-8	1
NUP133	NUP133-10	1
NUP133	NUP133-4	1
NUP133	NUP133-9	1
RPL35A	RPL35A-5	1
RPL35A	RPL35A-4	1
RPL35A	RPL35A-1	1
RPL35A	RPL35A-6	1
RPL35A	RPL35A-2	1
RPL35A	RPL35A-7	1
RPL35A	RPL35A-3	1
RPL3	RPL3-11	1
RPL3	RPL3-4	1
RPL3	RPL3-9	1
RPL3	RPL3-10	1
RPL3	RPL3-2	1
RPL3	RPL3-8	1
RPL3	RPL3-6	1
RPL3	RPL3-7	1
RPL3	RPL3-1	1
RPL3	RPL3-3	1
RPL3	RPL3-5	1
RPL30	RPL30-8	1
RPL30	RPL30-1	1
RPL30	RPL30-7	1
RPL30	RPL30-4	1
RPL30	RPL30-5	1
RPL30	RPL30-2	1
RPL30	RPL30-9	1
