gene,sgRNA,B1,B2,B3,A1,A2,A3
RPL9,TRCN0000117565,1041,1099,1557,0,1,0
RPS3A,TRCN0000074712,942,945,1471,0,2,2
RPL5,TRCN0000074994,748,723,707,3,1,0
RPS7,TRCN0000074765,849,915,1314,3,5,0
RPL34,TRCN0000077925,1007,1129,1216,0,16,2
RPL9,TRCN0000117564,1362,1647,2137,0,14,18
RPS19,TRCN0000074916,537,526,400,10,1,0
RPS13,TRCN0000007174,1769,2030,2770,4,7,4
RPS11,TRCN0000074981,598,575,788,7,9,0
PSMD1,TRCN0000058107,2005,2108,3004,1,14,11
RPL34,TRCN0000077927,1109,1359,2112,4,7,4
COPS4,TRCN0000118343,697,607,530,19,0,10
PSMB2,TRCN0000003904,1610,1625,2137,15,5,5
RPS3A,TRCN0000117560,1307,1549,1892,20,1,20
RPS13,TRCN0000007171,3413,3782,4566,15,29,15
RPL11,TRCN0000117712,12671,13045,17481,73,90,53
PSMB2,TRCN0000003906,1029,940,1401,5,14,3
RPS9,TRCN0000074794,1504,989,399,6,2,10
RPL3,TRCN0000117507,575,696,869,15,4,2
PSMB2,TRCN0000003907,1946,1947,2678,10,19,20
COPB1,TRCN0000155168,1987,2041,2283,34,14,8
RPL27,TRCN0000117776,2074,1792,1608,16,23,9
RPL11,TRCN0000117715,3518,3944,4919,25,40,47
RPL27,TRCN0000117774,1252,1360,1898,4,13,42
COPB1,TRCN0000151585,2006,2168,2747,30,19,15
RPL11,TRCN0000117713,2923,2997,3255,16,54,27
RPL11,TRCN0000117714,2202,2307,3322,42,9,37
RPL34,TRCN0000077926,978,1043,1371,18,10,8
RPL3,TRCN0000117508,3158,3467,4045,45,24,46
RPS8,TRCN0000074782,2017,2013,2964,38,10,41
PSMD1,TRCN0000058106,6807,7619,10589,99,71,110
RPL36,TRCN0000117676,4546,4675,6262,65,36,83
POLR2D,TRCN0000021365,3814,3879,4428,88,57,20
PSMA3,TRCN0000003882,484,404,249,6,3,4
RPL5,TRCN0000074993,1410,1488,1887,51,32,4
PSMA3,TRCN0000003883,2251,2288,2977,20,25,53
NUP93,TRCN0000059961,2124,2412,3097,31,35,26
RPS8,TRCN0000074778,3233,3548,4402,46,78,27
RPL27,TRCN0000117772,3710,3863,5427,46,98,34
POLR2D,TRCN0000021368,2321,2136,2810,19,32,45
RPL6,TRCN0000004997,2455,2137,2146,40,20,28
RPL36,TRCN0000117673,1148,994,971,12,13,17
RPL36,TRCN0000117674,908,849,909,20,7,13
RPS11,TRCN0000074978,2461,2759,3671,55,58,25
POLR2A,TRCN0000021285,2402,2605,3084,37,55,36
RPS19,TRCN0000074913,795,690,874,22,4,21
RPS13,TRCN0000007173,871,871,1214,9,22,20
COPS4,TRCN0000118346,1959,2123,3049,70,64,14
POLR2F,TRCN0000021834,20,7,5,0,3,0
