gene,sgRNA,B1,B2,B3,A1,A2,A3
RPL9,TRCN0000117565,17041,9434,12629,1,36,213
RPS3A,TRCN0000074712,11630,7289,11979,215,280,0
RPL5,TRCN0000074994,12054,6867,11832,0,222,0
RPS7,TRCN0000074765,8774,4959,7804,0,93,75
RPL34,TRCN0000077925,14297,8395,12837,0,0,74
RPL9,TRCN0000117564,22058,12314,18135,13,169,1
RPS19,TRCN0000074916,6295,4395,7736,0,0,0
RPS13,TRCN0000007174,28653,18256,22414,0,295,0
RPS11,TRCN0000074981,8275,5903,7355,0,0,0
PSMD1,TRCN0000058107,24157,12854,21191,0,32,106
RPL34,TRCN0000077927,7313,5409,8214,0,103,39
COPS4,TRCN0000118343,4277,3292,5779,0,0,165
PSMB2,TRCN0000003904,13687,10522,12122,0,0,0
RPS3A,TRCN0000117560,18568,12180,20025,240,606,945
RPS13,TRCN0000007171,11439,8652,16502,0,1,113
RPL11,TRCN0000117712,91934,54139,82398,32,380,1
PSMB2,TRCN0000003906,12810,7473,11546,0,41,0
RPS9,TRCN0000074794,7097,7723,14637,212,15,183
RPL3,TRCN0000117507,10536,7212,8995,1,130,199
PSMB2,TRCN0000003907,28917,16590,25246,220,354,147
COPB1,TRCN0000155168,12071,7992,12352,0,0,0
RPL27,TRCN0000117776,2857,2046,2595,0,42,0
RPL11,TRCN0000117715,49578,33266,49604,371,391,138
RPL27,TRCN0000117774,12601,8377,10410,0,750,0
COPB1,TRCN0000151585,22931,13932,20597,10,79,0
RPL11,TRCN0000117713,29129,16901,29617,313,292,317
RPL11,TRCN0000117714,27696,18124,26231,0,132,737
RPL34,TRCN0000077926,17355,10717,14208,96,619,132
RPL3,TRCN0000117508,17406,13059,18759,168,224,380
RPS8,TRCN0000074782,24065,13922,21943,0,154,139
PSMD1,TRCN0000058106,45905,26612,40367,111,335,57
RPL36,TRCN0000117676,37731,24850,37711,382,485,128
POLR2D,TRCN0000021365,36828,24192,39523,84,479,215
PSMA3,TRCN0000003882,6051,4415,7480,35,83,62
RPL5,TRCN0000074993,18469,10978,16199,738,1610,702
PSMA3,TRCN0000003883,14818,10346,13842,0,0,136
NUP93,TRCN0000059961,15056,9341,12864,0,97,0
RPS8,TRCN0000074778,29098,20681,32193,501,387,508
RPL27,TRCN0000117772,28021,16846,24492,73,372,238
POLR2D,TRCN0000021368,19814,13819,22884,0,152,316
RPL6,TRCN0000004997,11550,7432,12967,233,3,4
RPL36,TRCN0000117673,13907,10142,14444,0,129,88
RPL36,TRCN0000117674,14375,8824,13089,63,307,41
RPS11,TRCN0000074978,21446,11553,16094,166,82,17
