"gene"	"CC1"	"CC2"	"DESeq2"	"MAGeCK"	"PBNPA"	"ScreenBEAM"	"sgRSEA"	"essential"
"ABCG8"	1	1	9.22301989892034e-168	0.999596	0.999995943406308	1	0.999641705481906	0
"ADH7"	1	1	0	0.999596	0.999995943406308	1	0.999641705481906	0
"CABP5"	2.11246323025449e-18	5.4067130498936e-05	1.99852592900518e-200	0.999596	0.999995943406308	0.592124085083223	0.999641705481906	0
"COPA"	1.06375817534779e-24	0	4.26651777928813e-294	0.632397	0.148843279974064	0.123219989909118	0.518332736175803	1
"COPB1"	1.0598867903887e-37	0	3.23764553132e-199	0.126066	0.00359894169394721	4.3541411833453e-05	0.0142805957925987	1
"COPS2"	3.82387326456527e-21	0	8.08619923427412e-49	0.578858	0.479374611703575	8.48570406881757e-06	0.0142805957925987	1
"COPS4"	3.54061523819289e-28	0	2.86075528317503e-62	0.213697	0.119789806522272	0.0010869247656677	0.0249910426370477	1
"COPS6"	2.86938524403392e-23	0	3.26911007202664e-163	0.578858	0.0497717277159035	0.0697513862406526	0.0923911273248428	1
"COPS8"	5.40805713964722e-17	0	1.84945626397614e-67	0.999596	0.64766367510121	0.0296037788396711	0.0299892511644572	1
"COPZ1"	2.58981655023754e-21	0	2.6119750277497e-97	0.969025	0.895143542349	0.0331920837491836	0.117349243687006	1
"CRYGB"	1.78476058980939e-16	0	3.31149082698855e-29	0.999596	0.999995943406308	0.0010869247656677	0.354317448943031	0
"CYP7A1"	4.97844550048326e-15	0.00515009698312618	3.56421201270696e-117	0.999596	0.999995943406308	0.705148431808161	0.999641705481906	0
"DEFB129"	1	1	0	0.999596	0.999995943406308	1	0.999641705481906	0
"DMRTB1"	1	1	7.00285511902256e-150	0.999596	0.999995943406308	1	0.999641705481906	0
"DMRTC2"	1.74888135646383e-12	1	4.76978263967115e-215	0.999596	0.999995943406308	0.705148431808161	0.999641705481906	0
"FAM71B"	6.44814532736811e-20	0.0117373918116781	3.47524794145114e-297	0.999596	0.999995943406308	0.705148431808161	0.999641705481906	0
"FCRL4"	4.61867170602541e-12	4.30668922746236e-09	3.23505387080988e-92	0.999596	0.999995943406308	0.531999236929198	0.999641705481906	0
"HTR3D"	1.89224558722854e-11	1	1.23062264162207e-108	0.999596	0.999995943406308	0.979426670647686	0.999641705481906	0
"IL1F10"	1.42464443965737e-17	1.69442238018291e-12	2.16626915795096e-92	0.999596	0.999995943406308	0.106518982158442	0.822720990940267	0
"IL22"	2.14481233604258e-12	0	1.22615969119275e-68	0.999596	0.999995943406308	0.0697513862406526	0.864084231783981	0
"KRT25"	1	0.00167815182962272	1.65680553156331e-113	0.999596	0.999995943406308	1	0.999641705481906	0
"KRT74"	1.28175012851475e-11	0.000419307666933655	2.33993413380189e-154	0.999596	0.999995943406308	0.592124085083223	0.999641705481906	0
"KRT77"	1.88942472769269e-21	0.596724406044059	3.16782575520628e-245	0.999596	0.999995943406308	0.770312148127122	0.999641705481906	0
"KRT9"	4.29669934757988e-14	0	1.00709349142466e-98	0.999596	0.999995943406308	0.57664872022267	0.703166772317614	0
"LHX5"	3.90768838882139e-09	1	4.45088579139355e-197	0.999596	0.999995943406308	0.979426670647686	0.999641705481906	0
"LUZP4"	1.07102382789714e-13	0.488519326508816	1.46939954111732e-176	0.999596	0.999995943406308	1	0.999641705481906	0
"LYZL6"	1.42165404066021e-13	1	8.80086080497408e-198	0.999596	0.999995943406308	1	0.999641705481906	0
"MAGEB3"	1	1	0	0.999596	0.999995943406308	1	0.999641705481906	0
"MRGPRD"	1.90696462211357e-15	1	1.73562472061378e-218	0.999596	0.999995943406308	0.979426670647686	0.999641705481906	0
"NLRP5"	7.19088756414824e-32	0	0	0.999596	0.999995943406308	0.232524845337948	0.328617848008994	0
"NPHS2"	1.0765505963557e-06	6.94772739118221e-06	2.04669083781041e-66	0.999596	0.999995943406308	0.535477300833276	0.999641705481906	0
"NPSR1"	7.7063977745067e-13	0	2.99476583392846e-08	0.999596	0.999995943406308	7.92901707728761e-05	0.999641705481906	0
"NUP133"	3.05448400736392e-24	0	3.22769814055253e-108	0.909108	0.479374611703575	0.0296037788396711	0.41168040128986	1
"NUP205"	6.24128629722304e-19	0	3.72538063912437e-80	0.616967	0.112723618862678	0.13330854078075	0.87142679108314	1
"NUP54"	1.16905605434901e-13	0	2.11278685161448e-53	0.96444	0.479374611703575	0.0192552670299108	0.931580993619308	1
"NUP93"	8.04073437401066e-37	0	0	0.168524	0.00735311624532951	0.0258534585801686	0.0388749552131852	1
"NUP98"	3.17618529526494e-28	0	1.07036591640887e-96	0.180545	0.0977319606307976	5.69113658094162e-05	0.0470419626109132	1
"OC90"	7.26815394644464e-16	1	5.7711808090716e-320	0.999596	0.999995943406308	0.964584482733242	0.999641705481906	0
"OLIG2"	1	1	1.66907242842602e-99	0.999596	0.999995943406308	1	0.999641705481906	0
"OR12D2"	1.39754846633324e-11	5.55841914173794e-05	1.51846049022685e-133	0.999596	0.999995943406308	0.753389038720401	0.999641705481906	0
"OR52E8"	1	0.348132962337484	3.30076565622675e-264	0.999596	0.999995943406308	1	0.999641705481906	0
"OR9Q2"	1	1	0	0.999596	0.999995943406308	1	0.999641705481906	0
"OTUD6A"	1	1	0	0.999596	0.999995943406308	1	0.999641705481906	0
"PIWIL3"	1	1	4.30602743448597e-268	0.999596	0.999995943406308	0.867305660175159	0.999641705481906	0
"PLA2G2E"	1	0.000138151798195318	4.19158424609486e-47	0.999596	0.999995943406308	1	0.999641705481906	0
"POLA1"	6.57987193492289e-26	0	8.8134509889375e-258	0.856302	0.179114749995433	0.210967829880606	0.461292995342171	1
"POLR2A"	9.97152816017584e-33	0	3.30405642187618e-283	0.122924	0.0207920454907459	7.159173802328e-07	0.00666427803654604	1
"POLR2D"	2.21293792219457e-35	0	4.99931830056453e-193	0.122924	0.00509104194887381	1.5896441630469e-06	0.00666427803654604	1
"POLR2F"	8.61997692651876e-12	0	9.39468486087468e-10	0.150954	0.64766367510121	2.22457450280059e-05	0.999641705481906	1
"POU4F2"	1.08888047288825e-15	1	4.92769174497647e-242	0.999596	0.999995943406308	0.902064254486083	0.999641705481906	0
"PSMA3"	2.62276736041508e-29	0	1.08175827157771e-110	0.29589	0.00735311624532951	0.0192552670299108	0.822720990940267	1
"PSMB2"	1.63624933261756e-35	0	2.58215446893948e-182	0.122924	0	0.0207752850298903	0.602486757628284	1
"PSMB3"	1.02735566145739e-24	0	1.75431509234042e-46	0.190145	0.106789032534426	2.96966018998119e-06	0.703166772317614	1
"PSMC1"	4.75712257514217e-23	0	2.4161636808525e-60	0.578858	0.267885220170043	2.83037544184832e-05	0.240390029175411	1
"PSMC2"	1.40104305392302e-11	0	2.42793242707481e-08	0.999596	0.999995943406308	0.0066293513851477	0.138411928451341	1
"PSMC4"	5.18533422177727e-19	0	7.18152700708385e-68	0.464392	0.243895037342318	0.00680145533594719	0.780553565030455	1
"PSMD1"	2.22445291220868e-33	0	5.78786668106521e-261	0.561478	0.0122952617189976	0.0228156514283515	0.00666427803654604	1
"PSMD11"	6.51969535302333e-28	0	5.04710960110749e-145	0.482478	0.152035767851799	0.00361814124085167	0.00666427803654604	1
"PSMD6"	3.06690366035242e-27	0	9.32074336505162e-191	0.500798	0.0207920454907459	0.080430219154605	0.0481308969306103	1
"PSMD7"	1.28595398373583e-21	0	1.94952180107501e-148	0.333715	0.0345180653521965	0.00866111195484609	0.123955571479756	1
"RNASE9"	1	1	3.70020281482998e-198	0.999596	0.999995943406308	1	0.999641705481906	0
"RPL11"	1.39895168869941e-45	0	0	0.098189	0	1.4732797792647e-09	0.00666427803654604	1
"RPL18A"	2.10858657784032e-19	0	1.97850995340539e-40	0.6383	0.166575578279648	0.00415669005205774	0.864084231783981	1
"RPL27"	5.41364553442046e-37	0	9.48638350054111e-252	0.213697	0	0.0329753232555954	0.0766391974202795	1
"RPL3"	8.34632345625467e-34	0	5.17924175903479e-176	0.175284	0.00430800369604845	0.00170747408528708	0.0470419626109132	1
"RPL30"	7.99663795317436e-19	0	4.86114672027805e-56	0.999596	0.532130955653424	0.0252673547690939	0.87142679108314	1
"RPL34"	2.27026752481721e-43	0	7.08922307090051e-113	0.098189	0	0.00812695366258127	0.0470419626109132	1
"RPL35A"	1.77698270411744e-15	0	1.19853273283257e-60	0.386146	0.125517890388831	0.0228062116606686	0.999641705481906	1
"RPL36"	2.05343161936762e-35	0	9.17603003706729e-201	0.21818	0.000380757145366895	0.0143099314167954	0.170309327600621	1
"RPL5"	1.12982429864184e-38	0	2.62865454329658e-94	0.106871	0.00333408509696539	7.7003783877621e-05	0.0920305062189691	1
"RPL6"	9.97152816017584e-33	0	2.02341010451543e-117	0.126066	0.014617167919932	4.42814159680813e-06	0.0299892511644572	1
"RPL9"	2.36234173129653e-40	0	1.9239701984512e-130	0.181128	0.0593925276641874	0.109875467974443	0.518332736175803	1
"RPS11"	2.30727615666934e-29	0	5.27195219814805e-86	0.329568	0.0114111080775714	0.00211254326660227	0.480220034986406	1
"RPS13"	7.25087242047236e-41	0	4.13352779935822e-253	0.130184	0	0.0128637618172754	0.0470419626109132	1
"RPS19"	2.33565414316278e-18	0	1.00718783190844e-26	0.180545	0.179114749995433	0.140735964625894	0.999641705481906	1
"RPS24"	2.37547871880893e-25	0	1.96985174851755e-94	0.168524	0.106789032534426	8.99529023537362e-07	0.0754115672556526	1
"RPS27"	2.28452267247416e-24	0	1.23912251608369e-98	0.180545	0.209851135263606	7.159173802328e-07	0.0410109417633603	1
"RPS3A"	7.25087242047236e-41	0	6.06176959464329e-122	0.106871	0.000397057853230504	0.017286670038041	0.480220034986406	1
"RPS7"	4.22147734387421e-14	0	2.08777574191197e-46	0.21818	0.0108508961471197	0.515848045449816	0.999641705481906	1
"RPS8"	1.11777203306596e-29	0	4.80285519658161e-140	0.106871	0.000706202858962973	1.5896441630469e-06	0.0363506074720693	1
"RPS9"	2.75878403629808e-29	0	8.78432026349776e-89	0.122924	0.00430800369604845	3.05846462353826e-05	0.123955571479756	1
"RPTN"	1.39567143720825e-13	1	8.42381926159325e-321	0.999596	0.999995943406308	0.979426670647686	0.999641705481906	0
"RXFP2"	3.06834288655745e-18	1	4.58273800722799e-313	0.999596	0.999995943406308	1	0.999641705481906	0
"SAGE1"	2.16599190551426e-09	0.22803117793123	2.41765991446823e-107	0.999596	0.999995943406308	0.806381972649108	0.999641705481906	0
"SPATA16"	4.01987940829474e-17	1	3.03763807600295e-230	0.999596	0.999995943406308	0.87740290714852	0.999641705481906	0
"TAAR1"	1	1	1.03587173759518e-279	0.999596	0.999995943406308	1	0.999641705481906	0
"TAAR8"	1	1	1.88049289370394e-283	0.999596	0.999995943406308	1	0.999641705481906	0
"TAS2R13"	1.30476475704711e-16	0.024074582729007	9.29667216154895e-141	0.999596	0.999995943406308	0.705148431808161	0.999641705481906	0
"TAS2R9"	3.70940516233825e-12	0	1.08507065259655e-32	0.999596	0.999995943406308	0.57664872022267	0.982286814761734	0
"TGM6"	1.65581466045341e-08	0.0235226779122204	1.44660174479939e-88	0.999596	0.999995943406308	0.592124085083223	0.999641705481906	0
"TPH2"	4.03067768535477e-16	4.44089209850063e-16	5.53881229995188e-165	0.999596	0.999995943406308	0.592124085083223	0.999641705481906	0
"TRIM42"	9.36902665975681e-16	0	3.71819949016631e-111	0.999596	0.999995943406308	0.391943023858155	0.999641705481906	0
"VN1R2"	8.19796059583966e-15	1	8.60261941826166e-245	0.999596	0.999995943406308	0.964978558098504	0.999641705481906	0
