"gene"	"CC1"	"CC2"	"DESeq2"	"MAGeCK"	"PBNPA"	"ScreenBEAM"	"sgRSEA"	"essential"
"ABCG8"	1	1	6.49553363606002e-51	0.995113	0.999998585480896	1	1	0
"ADH7"	1	1	5.55680260520254e-66	0.995113	0.999998585480896	1	1	0
"CABP5"	1	1	0	0.995113	0.999998585480896	1	1	0
"COPA"	1.41118324309368e-32	0	4.43984482177119e-62	0.817882	0.881596182331635	0.306596326561423	0.490175187161742	1
"COPB1"	6.52180759233715e-65	0	5.4498312782748e-176	0.055014	0.00272974735858351	0.00239896406109886	0.00333213901827302	1
"COPS2"	1.74841179892899e-23	0	1	0.170718	0.183706317713175	0.0336860710365361	0.00833034754568255	1
"COPS4"	1.80628775720217e-32	0	5.53863184219801e-42	0.177577	0.285098387063569	0.108027190688031	0.0313613084072755	1
"COPS6"	2.3630763256987e-18	0	1	0.557887	0.173579553411644	0.108027190688031	0.0347701462776315	1
"COPS8"	7.51254198676573e-16	2.84024995211851e-06	2.33354216420473e-141	0.487414	0.999998585480896	0.485144132115591	0.116624865639556	1
"COPZ1"	2.90239464349747e-14	0.000349382416895416	3.13371803127253e-101	0.995113	0.999998585480896	0.505207318418424	1	1
"CRYGB"	1.36718680746591e-13	1	4.08817104812291e-35	0.995113	0.999998585480896	0.90049509257892	1	0
"CYP7A1"	1	1	1.43535600590202e-71	0.995113	0.999998585480896	1	1	0
"DEFB129"	1	1	1.00715412076495e-185	0.995113	0.999998585480896	1	1	0
"DMRTB1"	1	1	3.25765969957854e-29	0.995113	0.999998585480896	1	1	0
"DMRTC2"	2.32653945617014e-23	1	2.23622498884654e-65	0.995113	0.999998585480896	0.699585590853918	1	0
"FAM71B"	3.50159734267968e-13	0.290467117222231	2.093618833241e-99	0.995113	0.999998585480896	0.55139836337471	1	0
"FCRL4"	1	1	2.45066894193759e-76	0.995113	0.999998585480896	1	1	0
"HTR3D"	1	1	2.49971909885905e-28	0.995113	0.999998585480896	1	1	0
"IL1F10"	1.65028492820383e-18	0.0053648748690418	4.05863264073074e-95	0.995113	0.999998585480896	0.513573253019187	1	0
"IL22"	1.30457885886565e-06	1	1.65766491274803e-30	0.995113	0.999998585480896	0.967887557890554	1	0
"KRT25"	3.15464190828768e-10	0.542260966212676	2.79125029466407e-54	0.995113	0.999998585480896	0.902252075953376	1	0
"KRT74"	1	1	1.82491558562961e-44	0.995113	0.999998585480896	0.984859757085954	1	0
"KRT77"	1	1	3.5028606468337e-45	0.995113	0.999998585480896	1	1	0
"KRT9"	9.789107621817e-10	1	4.65746350090761e-45	0.995113	0.999998585480896	0.967887557890554	1	0
"LHX5"	1.8173494413401e-10	1	1.8603809875061e-65	0.995113	0.999998585480896	0.699585590853918	1	0
"LUZP4"	1	1	2.14113203544747e-79	0.995113	0.999998585480896	1	1	0
"LYZL6"	1	1	8.0898612018492e-35	0.995113	0.999998585480896	1	1	0
"MAGEB3"	1	1	5.36961036811027e-132	0.995113	0.999998585480896	1	1	0
"MRGPRD"	1	1	2.91644099544997e-52	0.995113	0.999998585480896	1	1	0
"NLRP5"	1	1	9.038151951903e-166	0.995113	0.999998585480896	1	1	0
"NPHS2"	2.68502272688911e-12	7.02127818108522e-08	4.60281464818597e-55	0.995113	0.999998585480896	0.485144132115591	1	0
"NPSR1"	1.30229316331126e-10	0.789123315541712	2.71586110941023e-44	0.995113	0.941038650316137	0.690335378363619	1	0
"NUP133"	2.9947802121264e-29	0	1.08176462313291e-272	0.565385	0.0412187196880998	0.251719398084775	0.319493329399119	1
"NUP205"	2.66490957556212e-27	0	1	0.557887	0.00520267145770945	0.192876227202938	0.246376339532914	1
"NUP54"	2.67419046197594e-15	7.0664640139384e-08	9.66488235764652e-111	0.278389	0.391466457925889	0.000294847396382597	0.0937935427365739	1
"NUP93"	2.22451163652071e-42	0	1	0.318034	0.00596590668877115	0.0544179710759558	0.10353431949634	1
"NUP98"	1.53530994849808e-17	0.112551765929111	5.60367427146913e-164	0.982732	0.652279975560663	0.513573253019187	0.884682909351487	1
"OC90"	1	0.964237427357679	1.05058486605995e-35	0.995113	0.999998585480896	1	1	0
"OLIG2"	1.1225775432034e-19	0.287069355581472	3.09255182800955e-71	0.782215	0.218474059178994	0.166199255126209	1	0
"OR12D2"	1	1	3.60965135099155e-128	0.995113	0.999998585480896	1	1	0
"OR52E8"	1	1	3.98159458338356e-111	0.995113	0.999998585480896	1	1	0
"OR9Q2"	1	1	6.66866951725696e-88	0.995113	0.999998585480896	1	1	0
"OTUD6A"	1	1	6.26472875477978e-32	0.995113	0.999998585480896	1	1	0
"PIWIL3"	1	1	1.74648029806132e-133	0.995113	0.999998585480896	1	1	0
