"gene"	"n.sh_sgRNAs.raw"	"n.sh_sgRNAs.passFilter.4VS4.HIGH_VS_LOW"	"B.4VS4.HIGH_VS_LOW"	"z.4VS4.HIGH_VS_LOW"	"pval.4VS4.HIGH_VS_LOW"	"FDR.4VS4.HIGH_VS_LOW"	"B.sd.4VS4.HIGH_VS_LOW"
"G0019"	10	10	-0.318536168706261	-1.91951197570324	0.0549195721675675	0.0844916494885653	0.162596923177852
"G0008"	10	10	-0.294180710245341	-1.66367543601784	0.0961773077022604	0.120221634627825	0.173954000190772
"G0001"	10	10	-0.274758148550761	-2.14392628914832	0.0320387933808127	0.0682800775689697	0.125067750210765
"G0015"	10	10	-0.273809786141198	-2.76048791965431	0.00577150924490282	0.0192383641496761	0.0955138278772137
"G0020"	10	10	-0.261203109223691	-1.58680868002503	0.112555982338875	0.132418802751617	0.162112786812766
"G0012"	10	10	-0.260274991897343	-2.83995496356206	0.00451199033857076	0.018047961354283	0.08807772456223
"G0014"	10	10	-0.248384281659823	-2.24698056044204	0.0246412694994145	0.0682800775689697	0.107662485999614
"G0005"	10	10	-0.235096747128913	-2.11841379264861	0.0341400387844849	0.0682800775689697	0.108354795521062
"G0009"	10	10	-0.234042523394016	-1.93885747385924	0.0525186954346814	0.0844916494885653	0.118236358208995
"G0003"	10	10	-0.231562870379403	-1.49902155037096	0.133868041468286	0.148742268298096	0.152313641583126
"G0004"	10	10	-0.230414009828806	-0.773264078725109	0.439366110007002	0.439366110007002	0.295924444610927
"G0018"	10	10	-0.229475246610056	-0.791423564501578	0.428696863490261	0.439366110007002	0.287920770911237
"G0010"	10	10	-0.226771233045032	-2.04009045337875	0.0413413173909147	0.0751660316198448	0.108685745819923
"G0007"	10	10	-0.212367639010017	-1.80172208765135	0.0715891411797124	0.0954521882396165	0.115712319979075
"G0011"	10	10	-0.208618480258452	-2.86397057887375	0.0041836686849352	0.018047961354283	0.0699624499557294
"G0006"	10	10	-0.205314094019721	-2.18400579280189	0.0289618223983591	0.0682800775689697	0.0916723000429904
"G0013"	10	10	-0.173196552678338	-1.80242659234258	0.0714783144796404	0.0954521882396165	0.0943313153328729
"G0002"	10	10	1.33594485231706	3.5899593688351	0.00033072950989529	0.00220486339930193	0.350007888426215
"G0016"	10	10	1.6370645442634	4.50057305391127	6.7770507595642e-06	6.7770507595642e-05	0.330845451492224
"G0017"	10	10	2.05540250401207	7.75545263279086	8.80289309923394e-15	1.76057861984679e-13	0.198747704551256
